"","date","fim_bars","fim_bars_ma","state_local_cont","federal_cont","taxes_transfers_cont","subsidies_cont","recession","state_health_outlays","state_social_benefits","state_noncorp_taxes","state_corporate_taxes","state_subsidies","federal_health_outlays","federal_social_benefits","federal_noncorp_taxes","federal_corporate_taxes","federal_subsidies","health_outlays","social_benefits","noncorp_taxes","corporate_taxes","subsidies","federal_nom","federal_cgrants","federal_igrants","pi_federal","state_local_nom","pi_state_local","pi_state_local_c","pi_state_local_i","gdp","gdppot","gdppoth","pi_gdp","pce","pi_pce","add_state_health_outlays","add_state_social_benefits","add_state_noncorp_taxes","add_state_corporate_taxes","add_state_expenditures","add_federal_health_outlays","add_federal_social_benefits","add_federal_noncorp_taxes","add_federal_corporate_taxes","add_federal_subsidies","add_federal_grants","federal_cgrants_cont","federal_igrants_cont","federal_cont_0","state_local_cont_0","purchases_cont","subsidies_net","health_outlays_net","social_benefits_net","noncorp_taxes_net","corporate_taxes_net","state_subsidies_net","state_health_outlays_net","state_social_benefits_net","state_noncorp_taxes_net","state_corporate_taxes_net","federal_subsidies_net","federal_health_outlays_net","federal_social_benefits_net","federal_noncorp_taxes_net","federal_corporate_taxes_net","health_outlays_net_xmpc","state_health_outlays_net_xmpc","federal_health_outlays_net_xmpc","social_benefits_net_xmpc","state_social_benefits_net_xmpc","federal_social_benefits_net_xmpc","noncorp_taxes_net_xmpc","state_noncorp_taxes_net_xmpc","federal_noncorp_taxes_net_xmpc","corporate_taxes_net_xmpc","state_corporate_taxes_net_xmpc","federal_corporate_taxes_net_xmpc","subsidies_net_xmpc","state_subsidies_net_xmpc","federal_subsidies_net_xmpc","transfers_net_taxes","state_transfers_net_taxes","federal_transfers_net_taxes","state_taxes_transfers_cont","federal_taxes_transfers_cont","health_cont","social_benefits_cont","noncorp_cont","corporate_cont","state_subsidies_cont","federal_subsidies_cont"
"106",1996-06-30,0.0904214586981184,-0.630664854402654,0.410031257693348,-0.0242756701214521,-0.282892583309654,-0.0124415455641238,0,63.339,88.448,685.1,33.5,0.3,295.361,465.752,1286.5,171.9,35.1,358.7,554.2,1971.7,205.5,35.4,582.1,83.039,27.904,-0.00536181017101034,905.5,0.00136607297250557,0.0014140814580752,0.001112975298593,8032.8,0.0112915817701393,0.00720629978939669,0.00408528198074265,5220.5,0.00669876203576325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0118806530430202,-0.0749515358181949,0.062556518739763,0.323199068832133,0.385755587571896,-0.593629694793179,13.0597644238031,-5.77976564603603,27.0300914193435,8.4982464873714,-0.00417151854754799,5.7887347857421,-1.96799779332051,-0.401212299990675,1.1564285277774,-0.589458176245628,7.27102963806084,-3.81176785271532,27.3313037193338,7.24181795959402,2.37524560012811,0.599368258594794,1.77587734153332,-1.1766023419546,-1.1017050345147,-0.0748973074398634,-5.43981006923015,-0.159719777133164,-5.26794630303569,-1.07894316519513,-0.0814189185466404,-0.99422422749263,-0.244740753178271,-0.00450042586027287,-0.240200305269477,-5.56485072943003,-0.747975897459982,-4.80139080170434,-0.0380238112707622,-0.244081631909733,0.120747059801899,-0.0598132981866733,-0.276536065030445,-0.0548487343303109,-0.000228781895419603,-0.0122107291234404
"107",1996-09-30,-0.9404213475818,-0.693154847935854,0.144914425644618,-0.713987475771697,-0.356964671329945,-0.0143836261247762,0,59.128,87.004,691.7,33.3,0.3,296.172,466.196,1295.4,172.6,34.9,355.3,553.2,1987.1,205.9,35.2,577.8,83.228,27.116,0.00581115982941927,919,0.00632026109931094,0.00662459467940435,0.004961338067899,8131.4,0.0126088793476067,0.0077456657908852,0.00486321355672148,5274.5,0.00426305218139822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0500095637482505,-0.0568955400694909,-0.607082371953955,0.0380093218268768,-0.569073050127078,-0.625108616218832,-7.70752713665809,-7.65523150023932,-8.27758922595149,-2.06779154330422,-0.00360261539168505,-4.97162018764647,-2.5061470872125,-1.62717268281131,-0.602292052071498,-0.621506000827154,-2.73590694901156,-5.14908441302697,-6.54921567134261,-1.36429861943554,0.582513026871975,-0.565959025989248,1.14847205286122,-1.91205950829665,-1.50330898517605,-0.408750523120605,-4.22053430460717,0.509835022863838,-4.73636944302544,-1.32963176377835,-0.124218653690876,-1.20548645332486,-0.288851979837756,-0.00448506353755233,-0.284326894251683,-7.16856452964796,-1.68813670552989,-5.48646126086136,-0.0840621803371123,-0.273202931025862,0.0290067237761167,-0.0952126037395006,-0.210165038572213,-0.0662101266695724,-0.000223337493155678,-0.0141582957002133
"108",1996-12-31,-0.337772910978401,-0.38536089957051,0.307823287302786,-0.404659507678578,-0.225626654499473,-0.0153100361031375,0,59.291,85.888,703.3,33.4,0.4,298.009,467.412,1322.8,175.3,34.4,357.3,553.4,2026.1,208.6,34.8,576.9,82.691,28.72,0.00341877789886991,938.8,0.00717288717288711,0.00810501887707393,0.00323619252043272,8259.8,0.0124445841433913,0.00821838717534673,0.0042261969680446,5352.8,0.00680281364372304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0932466457894514,0.0636248428053838,-0.37503770469451,0.278201484318719,-0.096836220375791,-0.928746268831262,-3.33703265101548,-8.10972829310936,9.15137185242656,-0.392865248646473,0.0954936397542791,-0.725173562029958,-2.42290455606238,1.20983539344934,-0.400205987275022,-1.02423990858554,-2.61185908898557,-5.78682373704703,7.94153645897677,0.107340738628579,2.62842250730978,1.74056790224859,0.887854605061183,-2.98555745720301,-1.95678758538865,-1.05126987181434,-3.58474378548637,0.152861853779491,-3.7315384714816,-0.333542641690309,0.0655781135306986,-0.405860765125057,-0.31123006892263,0.00620729183359254,-0.319891088707702,-4.58665144599253,0.00842757600371921,-4.62070559206751,0.0004145694962107,-0.227301846770175,0.129297415318876,-0.146865605293209,-0.176340791769504,-0.0164076366524982,0.000305349230567555,-0.0157360891707555
"109",1997-03-31,-1.53563266350629,-0.680851365842093,-0.439348554603995,-0.580118359945228,-0.502461897861591,-0.0137038510954751,0,62.709,84.908,712.9,33.1,0.4,303.091,479.792,1362.3,176.9,34,365.8,564.7,2075.1,210,34.4,570.7,85.909,28.4,0.00342200797476622,945.3,0.00662770688157033,0.00685449235526536,0.00564506838267964,8362.7,0.0131592346181721,0.00867931281317103,0.00447992180500112,5433.1,0.0044189786348463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09363394352487,-0.0354195611489301,-0.638332742321168,-0.381134172228055,-1.01946691454922,-0.855820542391001,3.81998046562342,4.0514055126672,22.4615516971726,-1.33230359605642,-0.00523931657920695,2.64138920175559,-2.10498605588728,0.387971624609349,-0.737482934363776,-0.850581225811794,1.17859126386782,6.25770139769929,22.1735800725626,-0.696130490837447,1.31291664789441,0.614999303509786,0.697917344384592,-3.93599698351144,-2.0254579858086,-1.91024428614526,-6.37646269151425,0.170615496345247,-6.55307592552923,-1.09306625956563,-0.0434332219857256,-1.04962940566832,-0.282977673196013,0.00344385061906061,-0.28635657859753,-10.3755869598929,-1.27983255732023,-9.10138885155575,-0.0619788642495088,-0.440755894891196,0.0635810381798304,-0.190609796048884,-0.308795016417552,-0.0529342724795094,0.000166776465244224,-0.0138674824377118
"110",1997-06-30,-0.436644400673743,-0.812617830685058,-0.016304872123049,0.307039287880824,-0.71247905960691,-0.0148997568246088,0,60.758,84.092,718.5,33.6,0.4,305.742,480.608,1393,180.5,33.2,366.5,564.8,2111.5,214,33.6,587.2,85.558,29.016,0.00656860709943374,955.4,0.00323279509833796,0.00238871163131948,0.00682443047918313,8518.8,0.014035193813871,0.00904816818947918,0.00498702562439179,5471.3,0.00250248903479267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0637847063041837,0.00790262464562841,0.362921369539379,-0.0721869537816042,0.290734415757775,-1.19734260851495,-3.52523041263868,-6.4226561345464,12.4312311939129,1.5743619829029,-0.00462026288970874,-2.67533016387686,-1.79674320359848,-2.63446353518327,0.117673245876603,-1.19272234562524,-0.849900248761799,-4.72591293094791,14.9645396633746,1.55668873702629,-2.41870719030499,-1.28941531015448,-1.1292918801505,-4.08064734342627,-1.98692570312114,-2.11592692874759,-7.16281109292579,-0.265480958771511,-6.89726357857543,-0.921950461786819,-0.00485123690829236,-0.920428926300275,-0.311505490992891,0.00462477926432137,-0.313571575039669,-14.8956215794368,-3.5420484296911,-11.3764828888135,-0.169421284020286,-0.544153581442045,-0.11569025268418,-0.195183246723009,-0.342607583336759,-0.0440982200383522,0.00022120986113678,-0.0149985806038561
"111",1997-09-30,-0.977862959948164,-0.821978233776649,0.0548870419103239,-0.406817544479714,-0.61261955800237,-0.0133128993764042,0,62.699,83.364,731.3,35.5,0.4,309.301,481.836,1419.8,190.5,33,372,565.2,2151.3,226,33.4,586,86.499,29.084,0.00231273477204086,969.2,0.0043527407082482,0.00478306013719387,0.00253571951041098,8662.8,0.0124090895454916,0.00945054945054946,0.00295854009494212,5579.2,0.00264386944384798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0129970967323165,-0.0131376992145009,-0.380682748532896,0.0287522459635065,-0.35193050256939,-0.60637247485176,1.06739547520334,-6.43092779155563,14.26263450448,9.41179435659896,-0.004837767557759,1.20616729681417,-1.74504387366765,4.11016002437555,1.49362752514824,-0.601534707294,-0.13877182161076,-4.5846744759985,9.95247448010423,7.81695738956125,-0.444349602636164,0.100586873849164,-0.54493647648532,-3.80517900897244,-1.81567748007355,-1.98893469291618,-7.73296593423143,-0.325282472410156,-7.3776169062424,-0.780939362917151,0.0222955785321615,-0.80319099480808,-0.283524818019279,0.00455237532942644,-0.288046306327296,-13.0469587267765,-2.01352512477296,-11.0027253767793,-0.0945450121976315,-0.516632642004943,-0.0208644223428729,-0.178672066909539,-0.363101184872584,-0.0366689845009697,0.000213756647857747,-0.0135252057250925
"112",1997-12-31,-0.904725537519126,-0.963716390411831,-0.10712986079491,-0.226415136536022,-0.561326721780252,-0.00985381840794164,0,62.262,83.252,743.7,34.4,0.5,313.638,483.448,1453.1,181.5,33.3,375.9,566.8,2196.9,215.9,33.8,589.2,90.562,28.744,0.00701037594426968,985.6,0.00782785439518907,0.0081653396578012,0.00643675924574794,8765.9,0.0133078469914394,0.00972784672327465,0.00358000026816474,5663.6,0.00313215275268042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116140613714888,-0.0374073694418918,-0.305148380809018,-0.0283966165219136,-0.333544997330932,-0.0295239824968974,-0.883919805055314,-5.66847170380981,17.9342831273775,-13.0063598815658,0.0948560002096179,-1.24330910714289,-1.18406099631352,2.99548238323405,-1.55652998139641,-0.124379982706522,0.359389302087607,-4.58441070749632,15.0413727440389,-11.4498299001694,0.107600787704872,-0.0159936238012463,0.123594411506144,-3.25589627638005,-1.53693767913006,-1.71839176126727,-8.70926001135309,-0.849009499923025,-7.84856189978196,-0.0856931683058681,0.105776039945541,-0.191425261610174,-0.213404145260792,0.0108967103418415,-0.224269968581224,-12.1566528135949,-2.28526805256695,-9.85905447973448,-0.105520988713439,-0.45523638914598,0.00496840687560015,-0.150339210249806,-0.402145265334677,-0.00395683466342836,0.000503149574818372,-0.0103555417916251
"113",1998-03-31,-1.62841180036351,-0.986911174626136,-0.0246133559823727,-0.943713757963208,-0.649141185111378,-0.0109435013065512,0,63.208,83.752,755.7,34.7,0.5,310.392,494.448,1482.9,178.8,33.4,373.6,578.2,2238.5,213.5,33.8,572.2,93.308,27.052,-0.00418861921510827,995.9,0.00133340000333337,0.00156271004167219,0.000338305892966462,8866.5,0.0109686436811305,0.00995325248831302,0.00101539119281746,5721.3,8.00608462432351e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0777143887728344,-0.0907069692381386,-0.930721177497904,-0.0376059364476769,-0.968327113945581,-0.339125990707998,-6.07152248245967,5.71311800197338,19.5578139353138,-4.56619234893071,-0.00501665666727813,0.321305845163842,-0.335293401728492,4.53822487309048,-0.0451459787087316,-0.234109334040724,-6.39282832762359,6.14941473503552,15.2205923935564,-4.52104637022194,-2.11798737561382,-0.538012379034391,-1.57997499657942,-2.88201096628615,-1.13875683194433,-1.74275626036662,-9.12260913400601,-0.966751982225883,-8.180288939892,0.13666478474415,0.0881739091944432,0.04853482219094,-0.239824095257742,0.0082426308657549,-0.234779589102088,-14.2257667864196,-2.54710465314441,-11.6892649637492,-0.116227867219312,-0.533397139540684,-0.0966466592415529,-0.131510100105461,-0.416277125406678,0.00623620094886548,0.000376122514094612,-0.0107133135948203
"114",1998-06-30,-0.0520795681019857,-0.890769966483197,0.459910177976122,0.0608392702855122,-0.568428735598834,-0.00440028076478611,0,63.713,84.1,767.3,34.5,0.5,311.587,496.6,1513.3,175.4,34.6,375.3,580.7,2280.7,209.9,35,587.1,90.713,27.336,0.00643393129323488,1016.6,0.00444429648617617,0.00533512289237481,0.00062806989290598,8969.7,0.012773778966553,0.0101711416273826,0.00260263733917032,5832.6,0.00180122483288647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.182342910046108,-0.000367237130630938,0.243549417462251,0.277200030799383,0.520749448261635,0.795334013642908,-2.77287610955653,-4.42242228732744,15.3998576786876,-6.15610023926746,-0.00598618323013456,-0.25174933922068,-0.654709635780435,2.55248266597459,-0.61544111617134,0.800122960227014,-2.52112677033585,-3.76771265154701,12.6461777760669,-5.54065912309613,-1.94870765742034,0.0072933065132494,-1.95600096393358,-2.43195835066189,-0.881799279185272,-1.52716119750142,-8.27272958264525,-1.11739369714823,-7.15546968521767,0.15099985376226,0.05527069232072,0.0957731080827737,-0.09753772350244,0.00677784633101632,-0.0963069224274857,-12.5999334604677,-1.92985113116852,-10.6391656609974,-0.0870625898006437,-0.47997138266497,-0.0879132761482136,-0.109714469098828,-0.373212861112965,0.0068121515259577,0.000305773251272377,-0.00434475486054185
"115",1998-09-30,-0.818470862664467,-0.850921942162272,-0.00786370448746382,-0.189132679876463,-0.623809949493425,0.00233547119288448,0,61.454,85.58,773.5,35.7,0.4,311.646,498.72,1545.3,180.1,36.3,373.1,584.3,2318.8,215.8,36.8,588.6,95.154,29.104,0.00652386014474815,1038.6,0.00749038843961292,0.00781002286267363,0.00616409695174958,9121.1,0.0141454809681125,0.01027162748231,0.00387385348580249,5926.8,0.00310319109264268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124898681215894,0.0588074533984659,-0.372838814490823,0.175842430126896,-0.196996384363927,1.33188134987665,-7.21956941117975,-4.16675714647511,7.59605127610575,3.09262558111743,-0.106687409287476,-3.11114981586596,0.355177757846448,-4.06249829256114,0.738568759164131,1.23723127730663,-4.10841959531376,-4.52193490432165,11.7598870505242,2.35405682195329,-3.81327475685654,-0.96410304383978,-2.84917171301676,-1.92251995551877,-0.409249412094599,-1.51304479387413,-8.5074422532162,-0.455230770624144,-8.04637352794774,0.202395515766539,0.0395309287851321,0.162908533622641,0.0523711898970398,-0.00419212732413875,0.0416219456041944,-13.9884702599279,-1.79324442509753,-12.2040595556118,-0.0799689811296935,-0.544234904427653,-0.170051384410026,-0.0857339690521988,-0.379385810148219,0.0090257429241352,-0.000186946155351405,0.00185611316339206
"116",1998-12-31,-0.872715759730547,-0.842919497715128,-0.252454110867986,-0.0651902196244355,-0.56779748640662,0.0127260571684948,0,64.638,85.612,785,34.8,0.4,316.262,499.888,1575.6,176.4,39.4,380.9,585.5,2360.7,211.3,39.9,594.2,96.238,31.232,0.00321185202332197,1053.2,0.00837226133298241,0.00902452352171679,0.00564646416174797,9294,0.0130516099222373,0.0103596592525648,0.00269195066967254,6028.2,0.00262888856433485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0333504742938461,0.0728928652969418,-0.104732610627531,-0.212911719864891,-0.317644330492422,2.6220214403381,2.95397280951471,-6.38920848941439,11.7821553221729,-7.30292861888694,-0.00519541912675986,2.38580178246026,-1.07955992217028,1.45335826362827,-1.36369115706332,2.62851571424655,0.568171027054461,-5.30964856724404,10.2287970585451,-6.0392374618236,-2.94974891857828,-0.14755309367907,-2.80219582489922,-2.0846857322798,-0.385736670412369,-1.67622331231737,-8.44822712001011,-0.403894678694101,-8.03856632087053,0.245128537610745,0.0398463022513636,0.208659515333949,0.290189100098894,-0.00589754697097611,0.286585887328504,-12.9473441331585,-0.903235687505152,-12.0217400554247,-0.0396108227080134,-0.527205712268242,-0.129359350016041,-0.0914225579055069,-0.370491590707704,0.010749955054138,-0.000258633146044934,0.012568040579689
"117",1999-03-31,-0.65521493147264,-0.59962028049241,0.0906840288616204,-0.347656144921715,-0.417279991494004,0.0190371760814589,0,67.073,87.004,794.3,36.3,0.4,320.627,508.596,1594.6,186,42,387.7,595.7,2388.7,222.3,42.4,595.5,100.673,27.78,0.00295640385918894,1073.9,0.00851480303401031,0.00960023631350926,0.00400827103547008,9417.3,0.0137221846874247,0.0104687758820605,0.00325340880536418,6102.5,0.00262199563000709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107751168681848,-0.168028712258589,-0.287378601344974,0.0304064852848797,-0.256972116060095,1.9776782166685,1.81372513105345,2.5353532796845,-2.90338430853808,8.23391997950012,-0.00523630860482704,1.58883871100296,0.271272869308874,-0.976255636973178,1.04444115138005,2.08422360242454,0.224886420050495,2.1640804103755,-1.625819594414,7.29078790527126,-1.17556820553783,0.137641801134733,-1.31321000667255,-2.7996827947948,-0.249259259428962,-2.57292353536587,-6.29636482458884,-0.507215602334427,-5.80745994215564,0.133786436305575,0.0256683332567891,0.108118413784981,0.442328786252698,-0.00461494891998943,0.446623574371081,-9.69550060236319,-0.597779676291857,-9.138851496038,-0.0257275522398045,-0.393322638090725,-0.0505947151081484,-0.120494202487402,-0.270986220124331,0.00575797014441897,-0.000198620568968772,0.0192220174035326
"118",1999-06-30,-0.814377241857168,-0.790194698931206,-0.134276750489003,-0.340027319144002,-0.363152125120841,0.0230789528966776,0,65.541,87.704,804.5,35.5,0.4,321.459,510.296,1616.7,184.4,44.6,387,598,2421.3,219.9,45,599.8,98.241,32.192,0.0083685618152014,1095.4,0.013473078105035,0.0149054794297883,0.00741421374481166,9524.2,0.0148548176322765,0.0104914592964165,0.00436335833585999,6225.3,0.00546801738142721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.211898782554795,0.166271878475346,-0.294400415064552,-0.179903654568453,-0.474304069633004,1.92331818885943,-6.88748910800001,-7.20706025699155,-5.52240194036494,-5.94779166548466,-0.00638379067113748,-2.60244997921301,-0.688538308879089,-2.47661232521136,-1.37932900340572,1.92970197953056,-4.28503912878699,-6.41692600044468,-3.34898151048969,-4.56846266207893,-2.10135613018761,-0.391265842863541,-1.71009028732405,-3.42622633796922,-0.256870710876159,-3.16899653886784,-4.18087340077989,-0.280888439602363,-3.8939819575817,0.615321041400777,0.110193584296227,0.501794434507412,0.543353557784705,-0.00473305760912048,0.545141899160221,-8.54978126975124,-0.823564466654957,-7.72613245010597,-0.0349809166812125,-0.32816762554473,-0.0892551423523775,-0.145529030102863,-0.177582678720223,0.0261357731579445,-0.000201036713670393,0.0231549127312593
"119",1999-09-30,-0.160586843561166,-0.62572369415538,-0.167655708053621,0.288140535545307,-0.302017834804467,0.0209461637516144,0,66.176,88.152,821.3,35.6,0.4,329.924,511.848,1644.7,187.7,46,396.1,600,2466,223.3,46.4,614.9,102.576,34.264,0.00908339037189143,1119.6,0.0119533992977976,0.0138056952496877,0.00421449913508409,9681.9,0.0142541429295244,0.0105528697965673,0.00370127313295709,6328.9,0.00529378538494885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0815602449041743,0.0670548228450591,0.139525467796074,-0.0190406403043876,0.120484827491686,0.68690051683177,2.96734444475328,-7.47629979854662,6.33049380899456,-0.0846794744153954,-0.00633866207260647,-0.403605627251764,-0.94181504603975,4.05136590647032,-0.46255625894382,0.693239178904378,3.37095007200497,-6.53448475250696,2.38071256804301,0.377876784528411,0.19069948739732,0.217931599574653,-0.0272321121773388,-4.17087343468531,-0.548694091750554,-3.62182025470954,-4.25897764610272,-0.57901808513466,-3.68006817260545,0.549217305771149,0.105535724525304,0.443721921041947,0.498738632007815,-0.000468216423035077,0.503652880242589,-7.19119565561175,-0.804713069208292,-6.38174573820779,-0.0337965632476551,-0.268022332089111,0.00800905009963337,-0.175169502307189,-0.178869727477488,0.023066181128962,-1.96642835318484e-05,0.0211525537154864
"120",1999-12-31,-0.0226498602046007,-0.413207219273894,0.139537678379002,0.230723699250738,-0.406805450347316,0.0138942125129756,0,69.396,88.484,837.5,35.9,0.4,332.904,513.616,1686.8,192.1,46.5,402.3,602,2524.3,228,46.9,635.2,105.096,34.124,0.0123083445205963,1147.1,0.011465249412544,0.0121484992101106,0.00851890131228661,9899.4,0.0157402651077128,0.0106272825781595,0.00511298252955328,6459.6,0.00590618058277803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00759154328329862,-0.0328871335098379,0.256019289477277,0.114242088152463,0.37026137762974,-0.267152690667501,-0.348904758047354,-7.92007789656247,17.5284798451285,1.00807767616263,-0.00661338526437499,2.12588154186183,-1.12545784456297,2.62106670592198,-0.288591288529375,-0.260539305403128,-2.47478629990911,-6.69462005199955,14.907413139206,1.29666896469203,-0.552447965304144,0.159449545440005,-0.711897510744143,-4.51531905129363,-0.559021124288911,-3.93343883877953,-5.61768235629738,-0.862413886363936,-4.76741427529722,0.502519208277513,0.101815234567116,0.404077646839832,0.336305940323447,-0.00308615093059339,0.343781866418047,-9.8466242242942,-1.16325638157632,-8.66489111156301,-0.0480590124490573,-0.357983086442248,-0.0228239484111236,-0.186546816277534,-0.23209007968673,0.0207611815150957,-0.000127501871764566,0.0142030744551399
"121",2000-03-31,-1.90075805684946,-0.724593000618099,0.0219218858397271,-1.29467365163399,-0.627211956977927,-0.000794334077275826,0,68.302,89.972,854.6,37.2,0.5,334.898,523.728,1752.1,202.2,44.6,403.2,613.7,2606.9,239.4,45.1,620.4,102.602,35.572,0.00974370428276305,1170.4,0.0129256579767993,0.0141566124022539,0.00791900872643714,10002.9,0.0174938938583462,0.0106505492061728,0.0068433446521734,6613.6,0.00835260190693932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.206118894332958,0.0329043135991119,-1.12145907090014,-0.151292694894119,-1.27275176579426,-2.69124778720496,-6.74496769280501,0.260103029906531,34.630345645171,7.06728154621044,0.0923987395547551,-2.41274267464556,-0.193474823092558,1.18486094276852,0.617786875039279,-2.78364652675971,-4.33222501815948,0.351677537887667,33.2454847024023,6.44949467117115,-2.4781538506723,-0.740906266330912,-1.73724758434139,-5.02725035749368,-0.663589355079233,-4.34122948508929,-8.2200253690594,-0.48922175272251,-7.70079414188953,0.222533036868617,0.0566395742536805,0.165890141439545,-0.0196585769114608,0.00747251279052048,-0.0271292639420862,-15.5225551172682,-1.82960528708845,-13.6405103338228,-0.0739279264233571,-0.551165134607057,-0.10013349700678,-0.203133537688897,-0.332142366974136,0.00899177876916247,0.000301938007981109,-0.00109619831270931
"122",2000-06-30,-0.324643633688904,-0.602159598576033,-0.512366645381553,0.472344556802442,-0.283501346244296,-0.00112019886549692,0,74.981,90.628,872.6,36.5,0.5,339.419,537.272,1766.7,201.1,45,414.4,627.9,2639.4,237.6,45.5,642,104.081,36.04,0.00387093206514222,1181.1,0.0105287462479797,0.0103268899285891,0.0113846438254868,10247.7,0.0162139042874283,0.0103732809430255,0.00584062334440283,6707.5,0.00448309178743966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0257876788439112,-0.0122353677379769,0.51036760338433,-0.550389691963441,-0.0400220885791119,-0.27002241014398,5.20991051507644,5.08264405531349,-6.22907807104957,-5.35661563167338,-0.00742818636523257,5.66428002976379,-0.680657567305474,5.30374386454457,-1.25265706557331,-0.262594223778748,-0.454369514687357,5.76330162261888,-11.4298506610478,-4.10395856610003,0.243761064519907,1.11910798568887,-0.875346921168969,-2.26206688722504,-0.661816188225169,-1.60067826989999,-5.49683574910449,-0.815258054154065,-4.67599660764742,0.45356562402116,0.102317251302011,0.35457838487709,-0.0280130930791979,0.00472610374050068,-0.0327373710598036,-7.08958904086766,-0.250922901647856,-6.83018078489909,-0.010034006204115,-0.273128024268926,0.00974761577222234,-0.0904564431204967,-0.219809685155485,0.0181373651249602,0.000188989342710641,-0.00130911519898444
"123",2000-09-30,-1.11659147342969,-0.841160756043165,-0.224439199692326,-0.790486539213985,-0.0998309327111953,-0.00183480181218824,0,71.174,92.492,871.3,33.5,0.6,354.326,536.708,1802.8,185.6,45.3,425.5,629.2,2674.2,219,45.8,634.1,105.874,35.728,0.00716115349657076,1198.3,0.0106170695669394,0.0115923042941795,0.00654978598955092,10319.8,0.0160527799923273,0.00996344403826721,0.00608933595406014,6815.4,0.0061816269734396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0175861448789246,-0.0354084061868543,-0.737491988148206,-0.277433750758105,-1.01492573890631,-0.43460073103266,4.40948257274874,-8.83749008825066,-7.81330042829904,-22.4360688723815,0.0919274644941466,-5.01757356952879,0.400804504351029,-15.3881889648153,-3.5892950919273,-0.426528195526807,9.42705614227754,-9.23829459260173,7.57650304361755,-18.7467737804542,0.568242143318886,0.0809651986765353,0.487276944642358,-2.56833470240845,-0.359726789387244,-2.20903548392132,-2.025655882432,0.858666380636214,-2.88485466770594,1.51516106498718,0.271748005204529,1.24003609054427,-0.0470062463269036,0.0139972386716058,-0.0502391592386146,-2.55759362286129,0.86565003380164,-3.41681627567923,0.0337890466661452,-0.133369098458356,0.02218028019239,-0.100250190868525,-0.0790677276825825,0.05914150745971,0.000546356301281489,-0.0019609925832573
"124",2000-12-31,-0.227610169471025,-0.892400833359771,-0.30050537676536,0.0593933256564977,0.0121285581289669,0.0013733235088704,0,75.178,95.62,876.7,33.7,0.6,356.322,538.48,1820.1,187.6,46.4,431.5,634.1,2696.8,221.3,47,638.4,111.478,39.26,0.0044985916263296,1222.9,0.0124197389443221,0.0139892784001927,0.00588671478942504,10439,0.0147741411649143,0.00948779755257934,0.00528634361233493,6912.1,0.00551908737492846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120870096729634,0.1156107452875,-0.177087516360637,-0.0640245347482255,-0.241112051108862,0.512684670320148,-0.385429536654556,-4.54233199638804,-17.5314116731411,-0.986507799124183,-0.00900413095650465,2.93589997216955,1.73998319928499,-7.67549883733761,-0.302730645071506,0.420188112783897,-3.32132950882414,-6.28231519567294,-9.75441214731086,-0.78527784254544,0.560024068132266,0.263219345495773,0.296804722636477,-1.8083418748692,0.284997445478548,-2.11626689124783,0.411298153412327,2.1851523688071,-1.7863884261788,1.11449932890579,0.229954693993699,0.884551021956806,0.0354310598671019,0.00863353882452019,0.024012835203444,0.31291073544828,2.97195739259964,-2.6972867376299,0.1151943794492,-0.104548023707045,0.0217067799039619,-0.0700921287183551,0.0159420978473353,0.0431984855871543,0.00033463977303902,0.000930748084398691
