year,quarter,impact,recession,total,federal,state_local,consumption,projection
2015,Q3,-0.017033268,0,0.059811297,-0.087012546,0.135750856,0.011072987,0
2015,Q4,0.086035207,0,-0.172168783,-0.027506304,-0.094641827,-0.050020652,0
2016,Q1,0.146993115,0,0.314384896,0.025737533,0.327542807,-0.038895444,0
2016,Q2,-0.074613329,0,-0.500480725,-0.390591284,-0.035283757,-0.074605683,0
2016,Q3,-0.123178516,0,-0.134449452,0.060624127,-0.053416887,-0.141656692,0
2016,Q4,-0.132543514,0,-0.209628775,-0.18471081,0.074843754,-0.099761719,0
2017,Q1,-0.287640259,0,-0.306002085,-0.189683341,-0.151054909,0.034736165,0
2017,Q2,-0.167158977,0,-0.018555598,0.088193966,-0.147733191,0.040983627,0
2017,Q3,-0.211842749,0,-0.313184536,-0.294542795,-0.027797038,0.009155297,0
2017,Q4,-0.162192074,0,-0.011026076,0.29287777,-0.179044822,-0.124859024,0
2018,Q1,-0.04773207,0,0.151837932,-0.084353627,0.095225513,0.140966046,0
2018,Q2,0.05114314,0,0.376945242,0.12019026,-0.010060352,0.266815334,0
2018,Q3,0.170261803,0,0.163290114,0.010294254,0.007736478,0.145259383,0
2018,Q4,0.112068036,0,-0.243801143,0.022349748,-0.436580125,0.170429234,0
2019,Q1,0.179916522,0,0.423231876,-0.194686467,0.341868102,0.276050241,0
2019,Q2,0.274518196,0,0.755351936,0.423970628,0.038339158,0.29304215,0
2019,Q3,0.359637427,0,0.503767036,0.076083755,-0.098533684,0.526216966,0
2019,Q4,0.557746225,0,0.548634052,0.123614582,-0.174941525,0.599960995,1
2020,Q1,0.462724146,0,0.043143562,0.132362945,-0.206370354,0.11715097,1
2020,Q2,0.241553447,0,-0.129330862,0.005489378,-0.16137079,0.026550549,1
2020,Q3,0.060760721,0,-0.219403868,-0.079261711,-0.124209741,-0.015932417,1
2020,Q4,-0.147601608,0,-0.284815265,-0.208250586,-0.071004663,-0.005560015,1
2021,Q1,-0.212765326,0,-0.21751131,-0.210874191,-0.066391504,0.059754385,1
2021,Q2,-0.221635353,0,-0.16481097,-0.207342496,-0.068622528,0.111154053,1
2021,Q3,-0.201977142,0,-0.140771025,-0.206349322,-0.069207326,0.134785623,1
