date,health.transfers,federal.health,state.health,social.transfers,federal.social,state.social,federal.stabilizers.transfers,state.stabilizers.transfers,non.corp.taxes,state.non.corp.taxes,federal.non.corp.taxes,federal.stabilizers.non.corp.taxes,state.stabilizers.non.corp.taxes,corp.taxes.adj,federal.corp.taxes,State.Corporate.taxes,federal.stabilizers.corp.taxes,state.stabilizers.corp.taxes,federal.c,state.c,federal.taxes,state.taxes,federal.transfers,state.transfers,federal.stabilizers,state.stabilizers,stabilizers,federal.stabilizers.taxes,state.stabilizers.taxes,stabilizers.taxes,transfers,taxes,consumption,consumption.discres,taxes.discres,federal.taxes.discres,state.taxes.discres,stabilizers.transfers,transfers.discres,federal.transfers.discres,state.transfers.discres,G.purchases,federal.purchases,federal_cont,,federal.purchases.exdef,state.purchases,G.purchases.exdef,G.purchases.def,Contribution.to..Ch.in.Real.GDP.from..G.,total,federal,state,federal.discres,state.discres,discres
1/1/1973,0.073868514,0.039201003,0.034667511,0.455276104,,,-0.107937623,-0.005406255,-0.791221168,-0.21416776,-0.577053408,-0.456533737,-0.152424805,-0.075045501,-0.062055734,-0.012989767,-0.016925789,-0.002560554,,,-0.639109142,-0.227157527,0.039201003,0.034667511,-0.581397148,-0.160391614,-0.741788763,-0.473459526,-0.154985359,-0.628444885,0.529144618,-0.866266669,-0.337122051,0.404666712,-0.237821784,-0.165649617,-0.072172168,-0.113343878,0.642488496,0.147138626,0.040073766,0.109478155,-1.536202692,-1.536030297,,-1.683709122,1.65441664,-0.029292482,0.091356111,0.84,-0.218908103,,,,,
4/1/1973,0.097586181,0.056090872,0.041495309,0.412120832,,,-0.11802108,0.002161247,-0.633665742,-0.114443476,-0.519222266,-0.423856704,-0.133785377,-0.066017721,-0.052444816,-0.013572905,-0.01833562,-0.002776527,,,-0.571667082,-0.128016381,0.056090872,0.041495309,-0.560213405,-0.134400658,-0.694614062,-0.442192325,-0.136561904,-0.578754229,0.509707013,-0.699683463,-0.189976449,0.504637613,-0.120929234,-0.129474757,0.008545524,-0.115859833,0.625566846,0.174111952,0.039334062,-1.354935614,-1.637848716,-1.637848718,,-0.865626781,0.287723351,-0.57790343,-0.77830143,-0.59,-1.540101815,,,,,
7/1/1973,0.066297,0.044167658,0.022129342,0.380617372,,,-0.045025483,-0.026861187,-0.441249865,-0.081753566,-0.359496299,-0.191484503,-0.044521556,-0.030628951,-0.021158802,-0.009470148,-0.011880063,-0.001803487,,,-0.380655102,-0.091223714,0.044167658,0.022129342,-0.248390049,-0.073186229,-0.321576279,-0.203364566,-0.046325043,-0.249689609,0.446914372,-0.471878816,-0.024964444,0.296611834,-0.222189207,-0.177290536,-0.044898672,-0.07188667,0.518801042,0.089193141,0.048990529,-1.748580224,-2.334376485,-2.334376485,,-0.660991743,0.495977325,-0.165014418,-1.56268487,-1,-1.863363605,,,,,
10/1/1973,0.089414596,0.057443794,0.031970802,-0.203630684,,,-0.012856358,0.005716769,-0.415823665,-0.018454309,-0.397369355,-0.186298931,-0.062902963,-0.058844752,-0.046667259,-0.012177493,-0.017497715,-0.002565149,,,-0.444036614,-0.030631803,0.057443794,0.031970802,-0.216653004,-0.059751343,-0.276404347,-0.203796646,-0.065468111,-0.269264757,-0.114216088,-0.474668417,-0.588884505,-0.312480159,-0.205403659,-0.240239968,0.034836309,-0.007139589,-0.107076499,0.070300151,0.026254033,-0.10516968,-0.276559351,-0.276559351,,-0.211637486,0.177399071,-0.034238415,-0.027812203,0.63,-0.688044785,,,,,
1/1/1974,0.058430587,0.084799425,-0.026368838,-0.13296535,,,-0.002811217,-0.019061158,-0.016005318,0.152055021,-0.168060339,-0.02991712,0.01007163,0.005693061,0.013223127,-0.007530065,-0.005140382,-0.000808908,,,-0.154837212,0.144524956,0.084799425,-0.026368838,-0.03786872,-0.009798436,-0.047667155,-0.035057502,0.009262722,-0.02579478,-0.074534763,-0.010312256,-0.08484702,-0.037179864,0.015482524,-0.11977971,0.135262234,-0.021872375,-0.052662388,0.087610642,-0.00730768,0.786845114,0.247229304,0.247370873,,0.00130403,0.675575377,0.676879407,-0.028665133,1.52,0.837957662,,,,,
4/1/1974,0.068977117,0.091728005,-0.022750887,0.109269637,,,0.063309414,0.00455673,0.08166149,0.188902592,-0.107241101,0.168551244,0.065630844,0.003028232,0.010837047,-0.007808815,-0.003901753,-0.000579281,,,-0.096404054,0.181093776,0.091728005,-0.022750887,0.227958904,0.069608294,0.297567198,0.164649491,0.065051564,0.229701054,0.178246754,0.084689722,0.262936476,-0.034630722,-0.145011332,-0.261053545,0.116042213,0.067866144,0.11038061,0.028418591,-0.027307618,-0.367322882,-0.657680557,-0.657672036,,-0.573977139,0.411534458,-0.162442681,-0.335464154,0.43,0.016790377,,,,,
7/1/1974,0.07109642,0.091564468,-0.020468048,0.308321157,,,0.030667513,0.006508375,0.084776279,0.146526358,-0.061750079,0.308032091,0.115108287,-0.037300055,-0.026808132,-0.010491923,0.004155591,0.000729017,,,-0.088558211,0.136034435,0.091564468,-0.020468048,0.342855195,0.122345678,0.465200873,0.312187682,0.115837304,0.428024986,0.379417577,0.047476224,0.426893801,-0.038307072,-0.380548762,-0.400745893,0.020197131,0.037175887,0.34224169,0.060896955,-0.026976422,-0.667694975,-0.114935577,-0.11493731,,0.593475566,-0.504322024,0.089153541,-0.818088059,0.2,-0.1923638,,,,,
10/1/1974,0.077669282,0.095870168,-0.018200886,0.43234682,,,0.154534835,0.004323908,0.365068302,0.254532135,0.110536166,0.475012254,0.178000249,0.031903277,0.032831816,-0.000928539,0.006693869,0.001196545,,,0.143367982,0.253603597,0.095870168,-0.018200886,0.636240957,0.183520702,0.819761659,0.481706122,0.179196794,0.660902916,0.510016102,0.396971579,0.906987681,0.087226021,-0.263931338,-0.33833814,0.074406803,0.158858743,0.351157359,-0.058664667,-0.022524794,-0.40573752,-0.001780642,-0.001779141,,0.203189605,-0.402383033,-0.199193427,-0.1487698,0.45,0.502824006,,,,,
1/1/1975,0.148948234,0.098575074,0.05037316,0.68535461,,,0.429978914,0.039302923,0.697835988,0.304679658,0.39315633,0.694116133,0.247045131,0.112939376,0.105511966,0.00742741,0.013047933,0.002511108,,,0.498668296,0.312107068,0.098575074,0.05037316,1.13714298,0.288859161,1.426002141,0.707164067,0.249556238,0.956720305,0.834302844,0.810775364,1.645078208,0.219076067,-0.145944941,-0.208495771,0.06255083,0.469281836,0.365021008,-0.331403839,0.011070237,0.189537324,-0.547813733,-0.547971537,,0.003209342,0.728692795,0.731902138,-0.581216707,1.03,1.825957271,,,,,
4/1/1975,0.138931343,0.0959188,0.043012543,1.144299825,2.152872393,0.311769867,0.567351357,0.012562766,1.697086012,0.205911892,1.49117412,0.57611067,0.223298126,0.090358536,0.086623187,0.003735349,0.018050094,0.003319737,3.826588501,0.56442965,1.577797307,0.20964724,2.248791193,0.35478241,1.161512121,0.239180629,1.40069275,0.594160764,0.226617863,0.820778628,1.283231168,1.787444548,3.070675715,1.669982965,0.96666592,0.983636543,-0.016970623,0.579914123,0.703317045,1.681439837,0.342219643,-1.553354864,0.226182096,0.226182097,,1.103819363,-1.738386856,-0.634567493,-0.959863746,-0.74,1.558470956,4.052770597,-1.173957206,2.891258476,-1.413137836,1.478120641
7/1/1975,0.128851545,0.09345612,0.035395425,0.93085258,0.921992341,0.133519028,0.442229584,0.025265241,0.693876666,0.165749857,0.528126809,0.386437651,0.115558897,0.016608763,0.023463438,-0.006854674,0.018455728,0.003332691,1.567038707,0.327809636,0.551590246,0.158895183,1.015448461,0.168914453,0.847122963,0.144156829,0.991279792,0.404893378,0.118891588,0.523784967,1.059704125,0.710485429,1.770189554,0.778909762,0.186700463,0.146696868,0.040003595,0.467494826,0.592209299,0.573218876,0.143649212,0.959049714,0.700113489,0.700113489,,-0.099372393,0.255436777,0.156064384,0.809069533,1.75,2.72573982,2.267152196,0.583246413,1.420029234,0.439089583,1.859118817
10/1/1975,0.146063327,0.105723123,0.040340204,0.678824361,0.450408651,0.065226274,0.177484719,0.032263112,0.061227098,0.148074552,-0.086847453,0.352184164,0.091508876,0.046327423,0.049649701,-0.003322278,0.019081516,0.003359075,0.518934021,0.250318753,-0.037197753,0.144752274,0.556131774,0.105566479,0.548750399,0.127131063,0.675881462,0.37126568,0.094867951,0.466133631,0.824887688,0.107554521,0.93244221,0.256560748,-0.35857911,-0.408463433,0.049884323,0.209747831,0.615139857,0.378647054,0.073303367,0.075756289,-0.349230883,-0.349230882,,-0.082793971,0.335259038,0.252465066,-0.111146306,0.82,0.918470364,0.169703138,0.58557779,-0.379047261,0.458446728,0.079399466
1/1/1976,0.117443978,0.143100861,-0.025656883,0.389283197,0.316114373,0.073168823,-0.137514198,-0.004845889,0.289821526,0.032267195,0.257554331,0.078493692,0.014878201,0.012746366,0.023196877,-0.010450512,0.019232011,0.003212243,0.739966442,0.069328624,0.280751208,0.021816683,0.459215234,0.04751194,-0.039788495,0.013244555,-0.02654394,0.097725703,0.018090444,0.115816147,0.506727174,0.302567892,0.809295066,0.835839006,0.186751745,0.183025505,0.00372624,-0.142360087,0.649087261,0.596729432,0.052357829,-0.558456114,-0.937113021,-0.936976221,,-0.379899012,0.346673563,-0.033225449,-0.506021261,0.18,0.218855608,-0.197146579,0.416002187,-0.157358084,0.402757632,0.245399548
4/1/1976,0.081472319,0.121971552,-0.040499234,-0.387176315,-0.360637882,-0.026538432,-0.374540445,-0.018532969,0.137118343,-0.017824764,0.154943107,0.024565141,0.017797567,0.018292246,0.02700581,-0.008713563,0.018589267,0.003134679,-0.056717414,-0.093575993,0.181948917,-0.026538327,-0.23866633,-0.067037666,-0.331386036,0.002399277,-0.32898676,0.043154408,0.020932245,0.064086654,-0.305703996,0.15541059,-0.150293406,0.178693353,0.091323936,0.138794508,-0.047470572,-0.393073413,0.087369417,0.135874114,-0.048504697,-1.668419996,-0.364794072,-0.364798822,,-0.038901874,-1.273654764,-1.312556638,-0.380914421,-0.97,-1.788742242,-0.421511485,-1.367230757,-0.090125449,-1.369630033,-1.459755482
7/1/1976,0.129724201,0.148662275,-0.018938074,-0.216909928,-0.211843598,-0.00506633,-0.160867554,0.003949461,0.114063071,7.19E-05,0.113991134,0.044206776,0.01870615,0.008153094,0.018460553,-0.010307459,0.01446372,0.002559243,0.069270364,-0.034239926,0.132451687,-0.010235522,-0.063181323,-0.024004405,-0.102197058,0.025214854,-0.076982204,0.058670496,0.021265393,0.079935889,-0.087185728,0.122216165,0.035030437,0.112012641,0.042280276,0.073781191,-0.031500915,-0.156918093,0.069732365,0.09768623,-0.027953865,-0.938960636,-0.337458369,-0.337452263,,-0.213237271,-0.633574192,-0.846811463,-0.066375415,-0.24,-0.936002124,-0.268188006,-0.667814118,-0.165990947,-0.693028972,-0.85901992
10/1/1976,0.085014858,0.120507094,-0.035492236,-0.179264897,-0.178296639,-0.000968258,-0.083603962,-0.029158426,0.013326665,-0.051398456,0.064725121,-0.03587212,-0.007478009,0.031372767,0.038968864,-0.007596097,0.014768867,0.002578056,0.04590444,-0.095455048,0.103693985,-0.058994553,-0.057789544,-0.036460494,-0.104707215,-0.03405838,-0.138765595,-0.021103253,-0.004899954,-0.026003206,-0.094250039,0.044699431,-0.049550607,0.089214987,0.070702638,0.124797237,-0.0540946,-0.112762388,0.01851235,0.025814417,-0.007302068,-0.726844244,0.329450457,0.329445835,,0.590066714,-1.177243565,-0.587176851,-0.04850789,-0.02,-0.897343715,0.375354898,-1.272698613,0.480062112,-1.238640233,-0.75857812
1/1/1977,0.057476481,0.037371322,0.020105158,-0.291994006,-0.292558259,0.000564253,0.006393995,-0.008756338,-0.153648989,-0.077671514,-0.075977476,-0.196382475,-0.063001392,-0.014716047,-0.002583554,-0.012132494,0.007938589,0.001536682,-0.333747966,-0.069134596,-0.078561029,-0.089804007,-0.255186937,0.020669411,-0.182049891,-0.070221048,-0.252270939,-0.188443886,-0.06146471,-0.249908596,-0.234517525,-0.168365037,-0.402882562,-0.150611623,0.081543559,0.109882856,-0.028339297,-0.002362343,-0.232155182,-0.261580931,0.029425749,0.040161582,-0.580537972,-0.580671243,,-0.670542125,0.661920958,-0.008621167,0.023275465,0.76,-0.321499575,-0.914285937,0.592786362,-0.732236047,0.66300741,-0.069228636
4/1/1977,0.109623425,0.062835559,0.046787867,-0.310266155,-0.306155951,-0.004110204,-0.034923439,0.027186566,-0.646225149,-0.04953249,-0.59669266,-0.301723185,-0.102920166,-0.03768047,-0.022052352,-0.015628118,0.003187549,0.000606797,-0.862065404,-0.022482944,-0.618745011,-0.065160608,-0.243320393,0.042677663,-0.333459074,-0.075126804,-0.408585878,-0.298535635,-0.102313369,-0.400849005,-0.200642729,-0.683905619,-0.884548348,-0.475962471,-0.283056614,-0.320209376,0.037152762,-0.007736873,-0.192905856,-0.208396954,0.015491098,0.088129414,0.469461507,0.469461507,,0.486469815,-0.345116462,0.141353353,-0.110631255,0.81,-0.760203303,-0.392603897,-0.367599406,-0.059144823,-0.292472602,-0.351617426
7/1/1977,0.02058363,0.009709994,0.010873636,-0.305885484,-0.301613227,-0.004272257,-0.144977703,-0.036129159,-0.187986458,-0.048130448,-0.13985601,-0.393890857,-0.110683698,-0.02220753,-0.009204913,-0.013002617,-0.005492167,-0.000963425,-0.440964157,-0.054531684,-0.149060923,-0.061133064,-0.291903233,0.00660138,-0.544360727,-0.147776282,-0.69213701,-0.399383024,-0.111647123,-0.511030147,-0.285301853,-0.210193988,-0.495495841,0.196641169,0.30083616,0.250322101,0.050514059,-0.181106862,-0.104194991,-0.14692553,0.042730539,-0.376607631,0.74442986,0.74442986,,0.857903044,-1.000629857,-0.142726813,-0.282756764,0.35,-0.751695838,0.303465704,-1.055161541,0.847826431,-0.907385259,-0.059558828
