year,quarter,impact,recession,total,federal,state_local,consumption,projection
2017,Q4,-0.161651283,0,-0.015667473,0.291789952,-0.180433335,-0.12702409,0
2018,Q1,-0.048668017,0,0.149677736,-0.084418446,0.095143673,0.138952509,0
2018,Q2,0.047986086,0,0.372632655,0.119468681,-0.010974788,0.264138763,0
2018,Q3,0.165880969,0,0.156880958,0.008425006,0.005370334,0.143085617,0
2018,Q4,0.107784957,0,-0.248051522,0.021001968,-0.438288647,0.169235157,0
2019,Q1,0.175806752,0,0.421764918,-0.194862677,0.34164734,0.274980255,0
2019,Q2,0.280458098,0,0.791238039,0.42544849,0.040198292,0.325591256,0
2019,Q3,0.37773042,0,0.545970244,0.067263526,-0.136687325,0.615394043,0
2019,Q4,0.622248343,0,0.730020172,0.125337186,-0.049395438,0.654078424,0
2020,Q1,0.541234594,0,0.09770992,0.086405992,-0.294847187,0.306151115,0
