"","date","fim_bars","fim_bars_ma","state_local_cont","federal_cont","taxes_transfers_cont","recession","state_health_outlays","state_social_benefits","state_noncorp_taxes","state_corporate_taxes","state_subsidies","federal_health_outlays","federal_social_benefits","federal_noncorp_taxes","federal_corporate_taxes","federal_subsidies","health_outlays","social_benefits","noncorp_taxes","corporate_taxes","subsidies","federal_nom","federal_cgrants","federal_igrants","pi_federal","state_local_nom","pi_state_local","pi_state_local_c","pi_state_local_i","gdp","gdppot","gdppoth","pi_gdp","pce","pi_pce","add_state_health_outlays","add_state_social_benefits","add_state_noncorp_taxes","add_state_corporate_taxes","add_federal_health_outlays","add_federal_social_benefits","add_federal_noncorp_taxes","add_federal_corporate_taxes","add_federal_subsidies","federal_cgrants_cont","federal_igrants_cont","federal_cont_0","state_local_cont_0","purchases_cont","subsidies_net","health_outlays_net","social_benefits_net","noncorp_taxes_net","corporate_taxes_net","state_subsidies_net","state_health_outlays_net","state_social_benefits_net","state_noncorp_taxes_net","state_corporate_taxes_net","federal_subsidies_net","federal_health_outlays_net","federal_social_benefits_net","federal_noncorp_taxes_net","federal_corporate_taxes_net","health_outlays_net_xmpc","state_health_outlays_net_xmpc","federal_health_outlays_net_xmpc","social_benefits_net_xmpc","state_social_benefits_net_xmpc","federal_social_benefits_net_xmpc","noncorp_taxes_net_xmpc","state_noncorp_taxes_net_xmpc","federal_noncorp_taxes_net_xmpc","corporate_taxes_net_xmpc","state_corporate_taxes_net_xmpc","federal_corporate_taxes_net_xmpc","subsidies_net_xmpc","state_subsidies_net_xmpc","federal_subsidies_net_xmpc","transfers_net_taxes","state_transfers_net_taxes","federal_transfers_net_taxes","state_taxes_transfers_cont","federal_taxes_transfers_cont","health_cont","social_benefits_cont","noncorp_cont","corporate_cont"
"19",1974-09-30,-0.231553581676772,-0.0930906899968125,0.176576031656229,-0.777454054979246,0.369324441646246,1,4.9376320794,14.5,133.7,7.3,0.1,19.5623679206,93.3,235.1,43.5,3.1,24.5,107.7,368.9,50.8,3.2,160.4,28.9376320794,6.496,0.0292225621714914,186.3,0.0364882090503507,0.0286714076080821,0.0639228348387624,1560,0.0394793395984305,0.00865793232353496,0.0308214072748956,949.3,0.0269863911484636,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0240232166748441,-0.705355816251281,-0.0961214554028092,-0.504756567920208,-0.600878023323017,0.196631461931204,0.162358398408035,2.16784343820333,-2.17136110001712,3.26392555263526,-0.00356443234719986,-0.0414293278021702,0.415237200780819,-0.623068754318211,0.46474746508481,0.200195894278405,0.203787726210205,1.85260623742253,-1.54472791335169,2.79917808755046,0.280685401080529,-0.0764796594521349,0.357165060532665,1.21733083622289,-0.443616269695178,1.66029140003034,0.267362610479294,0.539993852502091,-0.266922912035759,-0.143182433128246,-0.0402228516962692,-0.0996449500973098,-0.209438094247165,0.000138760496944642,-0.209718519353881,1.4127583204073,-0.020186167844547,1.44117007907606,-0.00527708459435252,0.376751866956685,0.0733770083211632,0.318235628056438,0.0698941534486096,-0.0374308693884704
"20",1974-12-31,0.565739482632037,0.219310593551589,-0.65212424053949,0.354199822978392,0.863663900193135,1,5.197507452,15.1,134.8,6.5,0.1,20.602492548,98.2,237.6,38.1,3.5,25.8,113.3,372.4,44.6,3.6,167.4,29.997507452,7.84,0.0331948626090932,191.9,0.0294132718421727,0.0261714034895204,0.0415658253620683,1599.7,0.0388648771696392,0.0085311702388029,0.0303337069308363,959.1,0.0254138668868951,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0142730927798787,0.261171773481215,0.0787549567172983,-0.376679374278396,-0.297924417561097,0.291375881197766,0.468346590420399,1.94411950156234,-9.02232419566997,-7.92440788598545,-0.0033945037125698,0.0922672683517307,0.107796961677385,-3.43845146370583,-1.04779877101759,0.294770384910336,0.376079322068669,1.73292803617237,-5.48047822825157,-6.87660911496786,0.316015973246254,-0.0682973034215621,0.384313276667817,1.74333596415269,-0.414284599597149,2.15685680041451,1.33553591476662,0.960730681585522,0.368201478756823,0.122073693425586,-0.00397030810050201,0.125979676449282,-0.148672334837925,5.09211236010473e-05,-0.148864920571298,3.36828921075322,0.47422939158991,2.88648631171713,0.121597279894849,0.740124695312085,0.0810297367298088,0.447009221577612,0.342445106350416,0.0313009470322014
"21",1975-03-31,1.84660303053196,0.51423857275893,0.611970418554517,-0.380480883368584,1.61511349534602,1,5.971448763,15.9,136.5,6.1,0.1,21.828551237,106,238.6,31.5,4.1,27.8,122,375,37.6,4.2,168.6,31.971448763,8.652,0.0181851715234231,201.5,0.0201105082383395,0.0199967919585096,0.0212444214952237,1616.1,0.0308664077912684,0.00826833073322919,0.0225980770580392,985.2,0.0188168106604187,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.281567314477183,0.145182227299851,-0.807230425145617,1.03871996033155,0.231489535185933,0.502493490982868,1.30120335204388,5.6312534800997,-7.48650665499446,-8.2079973061567,-0.00270851413936479,0.633166086768041,0.391014364955911,-1.95107705986374,-0.576053419058712,0.505202005122232,0.668037265275842,5.14023911514377,-5.43542959513073,-7.63194388709799,0.611817018119493,0.204720068112013,0.407096950007479,2.81147522506606,0.185442510758884,2.60276895097184,2.68537405479223,1.18025670918589,1.48672745712289,0.448071402649103,0.0291753095940077,0.41883176797829,-0.0974950543643015,2.48126711351339e-05,-0.100511531645209,6.45924264626258,1.59961941032193,4.81491359443529,0.399979848802133,1.20395414001008,0.152982938830904,0.703000618882554,0.671469414213223,0.112038857948141
"22",1975-06-30,1.52568349840347,0.926618107472672,-1.44882839076005,-0.0657738600432784,3.04028574920679,0,6.195939318,16.7,140,6.6,0.2,22.804060682,119,202.7,34.2,4.1,29,135.6,342.7,40.8,4.3,169.4,36.695939318,7.804,0.014491178495091,204,0.019811643000049,0.0240603868532787,0.00494781321102233,1651.9,0.022578123841055,0.00806299104303143,0.0145151327980235,1013.6,0.0122888968738772,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.915156147390293,-0.237750010124639,-0.743179997308933,-0.771422253494391,-1.51460225080332,0.014522070748983,0.634217515909938,11.1170696741371,-39.9319579688408,2.43476901432423,0.0979648112083091,0.102960299073861,0.476404982121153,0.721967299341969,0.375853483706857,-0.0834427404593256,0.531257216836078,10.8426998808077,-40.7559604569744,2.05891553061738,0.577378317776008,0.177066973438079,0.400311344337929,4.69356437115056,0.312852039645435,4.40290648564793,6.74945561819924,0.793014559000549,5.95649906359301,0.360420884114966,0.0144061602199935,0.342617065484833,-0.0973046930080394,0.00671821402214855,-0.105510819935095,12.2835144982327,1.30405794632621,10.9968231391286,0.32276664719416,2.72181749622637,0.142906581962999,1.16170147172837,1.67055395537386,0.0892075698570548
"23",1975-09-30,2.74722375913699,1.67131244267611,-0.399311904408401,1.4046943238625,1.74184133968289,0,6.195939318,17.2,144,8.2,0.2,23.604060682,120.8,237.5,43.2,4.4,29.8,137.9,381.3,51.4,4.6,176.1,37.395939318,10.772,0.0134628432667927,209.3,0.0127757308962151,0.0154074529074528,0.00316250988284339,1709.8,0.0255862939147413,0.00793028173818122,0.0176560121765601,1047.2,0.0187065171091865,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0378715647135466,0.697725492872335,0.744840395703712,0.260542023750387,1.0053824194541,0.185461764956319,0.0275328334263385,-1.31194992370308,29.4715690350071,9.5132186070274,-0.00532735976947354,-0.165039989284063,0.0551654592489612,0.270848161368519,1.42419712760737,0.190789124725793,0.1925728227104,-1.36977906283673,29.4007208736386,8.08902147942003,0.547042565655126,0.149254574604653,0.397787991050473,3.91061086472162,0.231835897800767,3.6778697930896,2.75420771510846,0.643157375649146,2.09310834385362,0.0628872896861459,-0.029153282334741,0.0920313043767713,-0.0813791626159493,0.00649054203467069,-0.0879090805030524,7.1933692725554,1.0015851077545,6.17288835186741,0.242529234882135,1.49473657046248,0.13246384542772,0.94693646460963,0.666918751766682,0.015227868439045
"24",1975-12-31,1.01153738840301,1.78276191911886,0.48061842741081,-0.375636450086101,0.906555411078305,0,6.555124206,18,147.5,8.4,0.2,24.844875794,121,244.8,43.9,4.8,31.4,139,392,52.3,4.9,180.8,37.855124206,10.424,0.0229739252995067,214.8,0.012803552867807,0.0145687351918133,0.00609013398294755,1761.8,0.0245691509219743,0.00785096698871413,0.0167181839332602,1076.2,0.0167601658594376,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0887170275519088,-0.116545453191424,-0.170373969342768,0.275355946667477,0.104981977324709,0.186788788898503,0.866588241125076,-2.29387521976011,1.31577504499973,-0.365012228395003,-0.00492222656963034,0.206695802325614,0.376688515011793,-0.0440031301338593,-0.00181128935484409,0.291711015468132,0.659892438799467,-2.77302484805675,1.45485594856396,-0.363200939040162,0.636646937063678,0.175000994748777,0.461645942314902,2.95706205242407,0.292336497301009,2.66403039413805,0.146949744507599,0.59015969334063,-0.472683388577864,0.191452663356717,-0.0151780803441008,0.203288142723369,-0.0570402926978462,0.00247608880049086,-0.0514807573507696,3.87507110465422,1.04479519384681,2.80480033324768,0.244425124306189,0.656170390279023,0.148940680094439,0.691791332886669,0.0343782300871678,0.0447894872749366
"25",1976-03-31,0.24044808267266,1.38122318215403,0.488625434728593,-1.04268795846499,0.794510606409053,0,6.0397682448,18.2,152.4,9.7,0.2,26.7602317552,123.7,251.3,49.9,5,32.8,141.9,403.8,59.6,5.1,181.6,37.8397682448,10.012,0.0146045742628824,219.7,0.011288893035406,0.0130179866838915,0.00491382993875522,1820.5,0.0187243123410774,0.00777302106942002,0.0109512912716574,1109.9,0.0110349554489375,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.182177804987971,-0.123566292407587,-0.736943861069428,0.182881337333035,-0.554062523736393,0.107840915060048,0.809429537323574,0.28569126394828,4.42727320480378,6.31634282808991,-0.00376159530367151,-0.638644583341364,-0.138543577330445,2.12582346354228,1.1420129972458,0.109721712711884,1.44807412066494,0.424234841278718,1.89580734830608,5.1743298308441,0.525997828751608,-0.111156406025839,0.637154234777449,1.75431055379,0.173185960286579,1.60292943251841,1.17257922606211,0.103701752976776,1.09384980259225,0.0492307219760114,-0.0470555559252407,0.0963438589531537,-0.00269636465105136,0.00251323347238022,0.00124915161375024,3.49942196592867,0.121188984784656,3.43152648045502,0.0275148109398696,0.779095579624251,0.119422824100717,0.398299592187535,0.266223005122513,0.0111773690489298
"26",1976-06-30,-1.84187458626828,0.539333660986093,-1.17771393316667,-0.498779279285397,-0.165381373816221,0,5.9205622926,18.5,156.2,9.6,0.2,27.3794377074,121.2,258.9,49,4.7,33.3,139.8,415.3,58.6,4.8,182.5,38.8205622926,9.76,0.00838538837588265,218.5,0.012131555883574,0.0130468903276437,0.00857487066827289,1852.3,0.0177892591110407,0.00782967948290803,0.00995957962813265,1129.5,0.00837231374144132,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0419290270634085,-0.0914567110384234,-0.449251595310382,-1.22724161714168,-1.67649321245206,-0.382630165444182,-0.0314253777586586,-4.39906283853514,4.95763513600787,-1.96563879617122,-0.00324039864486986,-0.217062236378887,0.00512372331684574,1.33081623260915,-0.257159334276189,-0.381009966121747,0.185636858620224,-4.50418656185201,3.52843910272097,-1.70847946189503,0.376228177676174,-0.183161476502708,0.559389654178882,-1.73681926156126,0.0671476770556098,-1.85012001708002,0.543299349473531,-0.110969666699502,0.690751588167107,0.0763607610252786,-0.0406766802118102,0.120428355622324,-0.0117610041947976,0.00258375688278819,-0.0103524665832581,-0.752691977581077,-0.265076389475622,-0.489902885694969,-0.0582425464379285,-0.107641392077994,0.082664801466888,-0.381613680101349,0.119373655473448,0.0167779755067901
"27",1976-09-30,-0.92871060956684,-0.379649931189863,-0.788714174854909,-0.165836653670355,0.0258402189584237,0,6.3179154666,18.8,159.8,9.7,0.2,28.7820845334,126.2,266.8,48.5,4.9,35.1,145,426.6,58.1,5.1,184.9,39.1179154666,10.592,0.0114466552200114,218.6,0.00742867559930738,0.00871501888254089,0.00217818999437891,1886.6,0.0207752140441202,0.00800026447155266,0.0127749495725675,1158.8,0.0151601734512086,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0759150298949523,0.158215901185015,-0.248137524960417,-0.706413303564847,-0.954550828525264,0.188829897970746,1.02875741717205,1.96217077839796,1.68147013067716,-1.85720166227381,-0.00463208758455225,0.260230358554396,-0.12846810157108,-0.0176604035353023,-0.122340204058508,0.0911459417630223,0.768527058617657,2.19295492376136,1.90376262179711,-1.6348614582153,0.60150370901896,-0.0874756482390544,0.688979357258014,-1.00014210358853,0.0258301258711005,-1.04850487009545,0.476877660079472,-0.0186851357218222,0.483364839648717,0.0312177956649116,-0.0486912525587713,0.0798776798906294,0.0102025327669059,0.0024922686158385,0.00351200841993849,0.119659593941721,-0.126529642032709,0.207229015121846,-0.0273237903218073,0.0447506376120167,0.129893366953293,-0.215978427595644,0.102980653259077,0.00674141244180998
"28",1976-12-31,-0.792554822675917,-0.830672983959596,-1.25014648210404,0.507728247019794,-0.0501365875916713,0,6.3179154666,19.1,164.5,9.6,0.2,29.5820845334,127.7,273.9,47.5,5.3,35.9,146.8,438.4,57.1,5.5,190.2,43.1179154666,11.108,0.0267283560230336,220.6,0.0119429993214204,0.0132475760775654,0.00680081329313609,1934.3,0.0250280357113262,0.00805155619691056,0.0169764795144156,1192.4,0.0158278145695365,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.671434823317103,0.0760487018682127,-0.239755278165522,-0.502662956918724,-0.742418235084246,0.27821520909112,-0.0381659139022972,-1.66250876113483,1.61306043103366,-2.38739144153057,-0.00477587415328942,-0.150867845898012,-0.148932170409207,0.884076551521787,-0.331629896434537,0.282991083244409,0.112701931995719,-1.51357659072565,0.728983879511929,-2.15814948217268,0.397934024137801,-0.16792746908937,0.565861493227171,-0.85808465039784,-0.0924345283486245,-0.765129012195955,0.0394290647757066,-0.251232435770237,0.278764426575449,0.14197138367532,-0.0367016111777646,0.175290749476256,0.0422809624328946,0.0023680233218298,0.0357762509541883,-0.236469215376118,-0.545928021064167,0.290563908037109,-0.115748546817379,0.0616058322987616,0.0843706189203436,-0.181932502999648,0.00835981443352203,0.0301010036415393
