"","date","fim_bars","fim_bars_ma","state_local_cont","federal_cont","taxes_transfers_cont","recession","state_health_outlays","state_social_benefits","state_noncorp_taxes","state_corporate_taxes","federal_health_outlays","federal_social_benefits","federal_noncorp_taxes","federal_corporate_taxes","health_outlays","social_benefits","noncorp_taxes","corporate_taxes","federal_nom","pi_federal","state_local_nom","pi_state_local","gdp","gdppoth","pi_gdp","pce","pi_pce","purchases_cont","health_outlays_net","social_benefits_net","noncorp_taxes_net","corporate_taxes_net","state_health_outlays_net","state_social_benefits_net","state_noncorp_taxes_net","state_corporate_taxes_net","federal_health_outlays_net","federal_social_benefits_net","federal_noncorp_taxes_net","federal_corporate_taxes_net","health_outlays_net_xmpc","state_health_outlays_net_xmpc","federal_health_outlays_net_xmpc","social_benefits_net_xmpc","state_social_benefits_net_xmpc","federal_social_benefits_net_xmpc","noncorp_taxes_net_xmpc","state_noncorp_taxes_net_xmpc","federal_noncorp_taxes_net_xmpc","corporate_taxes_net_xmpc","state_corporate_taxes_net_xmpc","federal_corporate_taxes_net_xmpc","transfers_net_taxes","state_transfers_net_taxes","federal_transfers_net_taxes","state_taxes_transfers_cont","federal_taxes_transfers_cont","health_cont","social_benefits_cont","noncorp_cont","corporate_cont"
"1",1970-03-31,NA,NA,NA,NA,44,1,2.31379962,9.7,85.7,3.8,9.68620038,41.3,153.6,27,12,51,239.3,30.7,147.51379962,0,100.38620038,0,1051.2,0,0,631.7,0,NA,12,51,239.3,30.7,2.31379962,9.7,85.7,3.8,9.68620038,41.3,153.6,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,44,44,44,44,44,44
"2",1970-06-30,-1.81964576596001,NA,-0.37163771012526,-1.44800805583475,0,1,2.4526275972,10.3,87.6,3.7,10.0473724028,50.3,154.9,27,12.5,60.6,242.5,30.8,146.8526275972,0.0132078498476018,102.3473724028,0.0211586166642348,1067.4,0.00810671974543475,0.0144226251996618,641.6,0.0110625909752549,-1.81964576596001,0.269968271351726,8.62236515324482,-1.38721605546104,-0.48849783912517,0.0944740333388059,0.414057686009313,0.257190071236906,-0.17284338073862,0.17549423801292,8.20830746723552,-1.6444061266979,-0.51757138945862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
"3",1970-09-30,-0.329295910321658,NA,0.382371015561753,-0.711666925883411,0,1,2.5914555744,11,89.7,3.8,10.3085444256,49.6,150.4,27.9,12.9,60.6,240.1,31.7,148.5914555744,0.0170466540004222,106.0085444256,0.018076593312375,1086.1,0.00772587631410682,0.00819710091233272,653.5,0.00974181783280548,-0.329295910321658,0.181653823163595,-1.05854226530288,-6.63591583062623,0.361995020275099,0.0959862284758342,0.520082750286804,0.569829992730476,0.035369531656424,0.0856675946877612,-1.57862501558969,-7.20574582335672,0.428372258033367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
"4",1970-12-31,5.45412406609474,NA,-0.0894593354855653,-0.539587682385279,6.08317108396558,1,2.7302835516,11.6,91.5,3.6,10.6697164484,52.3,151,26.6,13.4,64,242.3,30.2,150.1302835516,0.0127134035597529,108.5697164484,0.0189486981542564,1088.6,0.00750272138622377,0.0130914101975195,660.2,0.0129746685043486,-0.629047017870844,0.235841670411618,2.15907017263132,-2.7166213127264,-2.14913325953114,0.085761731018914,0.374748711203702,-0.0368218731843228,-0.277814081584175,0.150079939392704,1.68432146142761,-2.47979943954209,-1.87131917794697,2.85467934710856,0.58275486288755,2.27192448422101,13.662650938629,2.47700005818746,11.1631508804415,NA,NA,NA,NA,NA,NA,16.5173302857375,3.05975492107501,13.4350753646625,1.12687779065464,4.94800676352547,1.0513504639015,5.03182062006408,NA,NA
"5",1971-03-31,-1.276032342155,0.507287511914517,-0.0798869506764578,-2.10561518854132,0.909469797062781,0,2.6716952952,12.1,94.1,4.1,11.3283047048,53.2,152.6,29.9,14,65.3,246.8,34,150.2716952952,0.031666325066612,111.6283047048,0.0227288380742476,1135.2,0.00744532742818294,0.0151439582861028,679.2,0.00947733883832225,-2.18550213921778,0.37323627202883,0.216949358943666,0.399637963625793,3.28893547875154,-0.104791933756655,0.303697071308541,1.05157603661478,0.439078401440581,0.478028205785487,0.0149445542617812,-0.955322606242277,2.84985707731096,0.238657508315048,0.0385717632923023,0.200085745022746,2.23646454439131,0.362831899231881,1.87401340515043,NA,NA,NA,NA,NA,NA,2.47512205270636,0.401403662524183,2.07409915017317,0.147493537580078,0.762116167618288,0.0876933706834643,0.821776426379316,NA,NA
"6",1971-06-30,-0.213056996827304,0.908934704197693,-0.321007454906127,-0.543733351005524,0.651683809084346,0,2.8440627336,12.5,97,4.2,11.7559372664,59.9,154,30.7,14.6,72.3,251,34.9,152.6440627336,0.0186748783152877,113.5559372664,0.0180483534244731,1156.3,0.0073811442833922,0.0133994372236366,693.2,0.0113868748838075,-0.864740805911651,0.337247731659204,5.77444834838187,-0.431947130464863,0.261887348315206,0.122225009890769,0.172906968076884,1.13392939636651,0.0230511214144817,0.215022721768435,5.70154138030498,-1.46399972491469,0.23883622690073,0.253795386884231,0.0448157330164939,0.208979653867737,1.59568326329714,0.308572987697084,1.30999103559105,NA,NA,NA,NA,NA,NA,1.84947865018137,0.353388720713578,1.51897068945879,0.124520338517822,0.535225753861448,0.0894275499944435,0.562256259089903,NA,NA
"7",1971-09-30,-0.137428700764955,0.956901506586869,-0.0831997030171528,-0.647437757267397,0.593208759519596,0,2.9733383124,12.7,100,4.4,12.0266616876,59.1,155.7,29.8,15,71.9,255.6,34.1,154.0733383124,0.0144807411019015,115.7266616876,0.0140900972415161,1177.7,0.00714378995753107,0.0100489223852969,705.6,0.0098341068884702,-0.73063746028455,0.152122706048383,-1.6275019419659,0.338547891653661,-1.39252859992544,0.0809893750853834,-0.0122237105750163,1.35314400593788,0.128692833246795,0.0711333309629971,-1.81697602107548,-0.914596114284194,-1.42122143317224,0.247150885533308,0.0414414410036425,0.205709444529665,1.46766733604796,0.188804034003175,1.25636205935675,NA,NA,NA,NA,NA,NA,1.71481822158127,0.230245475006817,1.46207150388642,0.0796490443680074,0.505775838065006,0.0854971497131568,0.507711609806439,NA,NA
"8",1971-12-31,-5.70665357175393,-1.8332929028753,0.00960164811182225,-1.38113965030042,-4.33511556956534,0,3.1457057508,13,103.2,4.5,12.4542942492,59.9,158.2,30.1,15.6,72.9,261.4,34.6,154.2457057508,0.0203296967366753,117.8542942492,0.010958904109589,1190.3,0.00718179811522712,0.00829078849762177,721.7,0.00618885096700783,-1.3715380021886,0.399440263766477,0.0386503309873092,2.38246209458072,0.0440608662957871,0.132611975222135,0.130192756655616,1.86293509177651,0.0411691440381654,0.266828288544342,0.00979463923989954,0.418189937896017,-0.0984453426505993,0.283960569038151,0.0519827459493672,0.231977823088784,0.990572871678061,0.133778944229855,0.879593524364517,-14.038197456409,-5.70647170915159,-8.3314748355882,NA,NA,NA,-12.7636640156927,-5.52071001897236,-7.2199034881349,-1.87508194581722,-2.45220463212529,0.0964458076040252,0.336443193233612,-4.76800457040298,NA
"9",1972-03-31,-0.386798314497142,-1.61098439596083,-0.234893158865128,-0.0714390224019604,-0.0804661332300545,0,3.5341111416,13.4,107.2,5,12.7658888584,61.7,175.8,31.8,16.3,75.1,282.9,36.8,161.5341111416,0.0411681582666037,120.6658888584,0.0223254613498516,1230.6,0.00746198041506085,0.0160557406846411,738.9,0.0105377413956855,-0.306332181267088,0.419204339752355,0.887820279996589,16.7948727186709,1.57720962534817,0.331783562387135,0.166003616460296,2.14242870913097,0.419001251851641,0.0874207773652209,0.721816663536302,14.7524440095399,1.15820837349653,0.294303384275944,0.15021223258172,0.144091151694224,1.14151882891497,0.102797916889,1.03863974895128,-1.67526930915025,-0.74037451389103,-0.940643883590043,NA,NA,NA,-0.239447095959335,-0.48736436442031,0.242087017055465,-0.163778665687746,0.0813532780157825,0.0989005744017287,0.383607100366284,-0.562973807998067,NA
"10",1972-06-30,-0.95894539111452,-1.79745649453264,-2.95487231584446,2.66160408511679,-0.665677160386846,0,3.624729376,13.6,110.8,5,13.075270624,61.5,178.6,32,16.7,75.2,289.4,37.1,172.524729376,0.010088671733623,113.875270624,0.0118025751072961,1266.4,0.00725870614671709,0.00609080841638976,757.4,0.00577336197636935,-0.293268230727674,0.18757728959369,-0.878708316043799,2.81322792797886,-0.179580106929578,0.0445614572481099,0.0253702871506452,2.20296229720513,-0.0651603406154324,0.143015832345579,-1.00407860319444,0.508962423961378,-0.214419766314151,0.260627534811204,0.132737933237122,0.127889601574081,-0.355441420580806,0.0696021636805966,-0.470124747336085,-1.95314189816053,-0.877522479774842,-1.07529234579352,NA,NA,NA,-2.04795578393013,-0.675182382857123,-1.41752749155552,-0.219464450790549,-0.460759789226564,0.0847155972082573,-0.115534347661565,-0.634858409933538,NA
