"","date","state_health_outlays","state_social_benefits","state_noncorp_taxes","state_corporate_taxes","federal_health_outlays","federal_social_benefits","federal_noncorp_taxes","federal_corporate_taxes","health_outlays","social_benefits","noncorp_taxes","corporate_taxes","federal_nom","pi_federal","state_local_nom","pi_state_local","gdp","gdppoth","pi_gdp","pce","pi_pce","federal_cont","state_local_cont","health_outlays_xmpc","state_health_outlays_xmpc","federal_health_outlays_xmpc","social_benefits_xmpc","state_social_benefits_xmpc","federal_social_benefits_xmpc","noncorp_taxes_xmpc","state_noncorp_taxes_xmpc","federal_noncorp_taxes_xmpc","corporate_taxes_xmpc","state_corporate_taxes_xmpc","federal_corporate_taxes_xmpc","transfers_net_taxes","state_transfers_net_taxes","federal_transfers_net_taxes","taxes_transfers_cont","state_taxes_transfers_cont","federal_taxes_transfers_cont","fim_bars","fim_bars_ma"
"131",2002-09-30,1.83562171921433,0.431743737184618,11.1728634783685,0.944265947238144,3.25471688109616,-7.31083610550945,-28.0983548670588,5.18766513489579,5.09033860031053,-6.98027029565174,-17.0266693160174,6.23310900946097,895.488171752633,0.00857777135576088,1204.91182824737,0.007071099038503,10992.1,0.00689402696209274,0.00426811163895513,7390.9,0.00488524630816745,0.155952291939207,-0.280031092291433,6.20721796991567,6.20721796991567,6.20721796991567,6.20721796991567,6.20721796991567,6.20721796991567,25.7432474851955,3.22032176895691,22.5228127693699,3.28105104576959,0.317621650445571,2.96347623818453,41.4387344707965,15.9523793592338,37.9007249473858,1.5216367815076,0.585773853752206,1.39172052096302,1.39755798115537,1.81971819505913
"132",2002-12-31,2.63159678718962,0.550604240852195,-0.895656434496118,1.64227312902925,4.34597252243873,-5.53611274845071,-23.3982631592983,14.0634143118159,6.97756930962839,-4.9855085075983,-24.3939195937942,15.7056874408451,920.101836348906,0.0185334722584007,1221.89816365109,0.00833440367627136,11071.5,0.00672934956097282,0.00574054227182574,7467.7,0.00462705904127336,0.0724559082224438,-0.0423634810319529,1.11296998631057,1.11296998631057,1.11296998631057,1.11296998631057,1.11296998631057,1.11296998631057,24.7781250408708,1.57394979841629,23.1860661947368,2.79076279931422,0.253200846738676,2.53760879543605,29.7948278128062,4.05309061777611,27.949614962794,1.08422695618876,0.147491038756056,1.01708008343425,1.11431938337925,1.59728927648635
"133",2003-03-31,-4.54063722610114,0.0290742532028929,-3.2260778285862,0.539059782400656,1.41006754405754,4.04173704972777,-30.712657229589,17.546163853758,-3.13056968204353,3.97081130293043,-33.9373591172275,18.1852236361586,936.045864672836,0.0111504673733744,1236.25413532716,0.0140259005024415,11183.5,0.00670954458251805,0.00494837279374827,7555.8,0.00704986489805948,-0.0176670360439079,-0.396716997542518,0.961436151051109,0.961436151051109,0.961436151051109,0.961436151051109,0.961436151051109,0.961436151051109,29.1437178322804,3.22319943773131,25.9086451353847,2.4207647738388,0.255919563802086,2.16822538623056,33.4873549082214,5.40199130363561,29.9997428237175,1.20985792018142,0.195167458921939,1.08385468360087,0.795473886594993,1.23375335654366
"134",2003-06-30,-0.957683492672473,1.31033731681124,-3.78448216884772,-3.03572841911948,1.23908144149345,7.46195794497646,7.57591089601215,-1.70348230979121,0.281397948820995,8.87297853256791,3.99211199794445,-4.83989399969076,993.304562337571,0.00710717673095163,1206.19543766243,0.00051642799318885,11312.9,0.00657659149937206,0.00292515265640447,7642.6,0.00025611630119271,1.58984443151423,-1.3887413544729,2.07421563976119,2.07421563976119,2.07421563976119,2.07421563976119,2.07421563976119,2.07421563976119,25.4272852360638,3.52456503829404,21.920928931099,2.40273923790863,0.315230734597217,2.08753257047925,31.9784557534948,7.98822705241364,28.1568927811006,1.14377272780417,0.285714742340542,1.00708696851972,1.3448758048455,1.16305676399378
"135",2003-09-30,3.33304110307917,0.776774452495829,29.1673204307093,1.49630102204215,7.07284518270893,-4.99860012211604,-109.359175138075,17.3509411497344,10.4058862857881,-4.22182566962033,-80.3931282057188,18.8472421717766,999.869740819369,0.00906613759935704,1221.33025918063,0.00659849615668984,11567.3,0.00655318751886913,0.00548081714000981,7802.6,0.00618179601292446,-0.316437639111779,-0.0257645459196993,3.27021386899365,3.27021386899365,3.27021386899365,3.27021386899365,3.27021386899365,3.27021386899365,19.8566135559377,-2.06844814982345,21.9190350628311,1.02457320833837,0.145395074391437,0.882535534448104,27.4216145022634,4.61737466255529,29.3419983352665,0.969569765568983,0.16326051366335,1.0374704394193,0.627367580537505,0.970509163839314
"136",2003-12-31,-3.62880676116872,0.197507596469777,2.51722730418533,2.22615155650815,-1.99852472189565,-3.62953909802945,60.0947691623294,18.0939025487625,-5.62733148306427,-3.53203150155957,62.6131091106913,20.3200541052706,1030.05671746671,0.00749138242138403,1221.84328253329,0.00771938577526443,11769.3,0.00653372710056344,0.00553554594019667,7891.5,0.00459271467002731,0.558944404473736,-0.584223965492764,0.434111190637802,0.434111190637802,0.434111190637802,0.434111190637802,0.434111190637802,0.434111190637802,19.2105981419725,-2.50938556706011,21.6960495871569,0.311426688445747,0.0606511427566114,0.250748253016919,20.3902472116938,-1.5805120430279,22.8150202214494,0.705099624344275,-0.0546544843836643,0.788948854839053,0.679820063325247,0.861884333825813
"137",2004-03-31,6.98257651274233,-0.0634253848927671,9.29346912244034,1.05940855494941,9.98609739576915,1.36449442537707,-18.2536579180667,5.80733354728898,16.9686739085114,1.4025623870175,-8.85869544909292,6.86674210223842,1031.33503506533,0.00851027037709517,1255.96496493467,0.0128037627384376,11920.2,0.0066344098329556,0.00754843982883791,8027.7,0.00829905549993359,-0.486743034356522,0.352485936132235,4.95644099851266,4.95644099851266,4.95644099851266,4.95644099851266,4.95644099851266,4.95644099851266,5.43116429340282,-2.09096779263721,7.53450982064921,-1.24308633828533,-0.112777170903577,-1.1336697933873,14.1009599521428,7.70913703348453,16.3137220242872,0.479245493007836,0.262008344879798,0.554450036086674,0.34498839478355,0.749262960872952
"138",2004-06-30,2.32731584551793,0.230164929226135,-5.62704641336882,2.48164399918734,6.76844079817471,-7.24454429040941,10.6732433823588,13.9312149373014,9.09575664369265,-7.01437936118339,5.04619696898999,16.4128589364887,1043.34532559683,0.00867115737905699,1278.05467440317,0.0143256748682852,12109,0.0068581527593754,0.00824346249284225,8133,0.00685496895524529,-0.134414895208472,-0.151555707288707,6.93967170485878,6.93967170485878,6.93967170485878,6.93967170485878,6.93967170485878,6.93967170485878,5.80625112505968,-2.53704241196857,8.3435159644257,-2.07674898804816,-0.199033721056126,-1.87436425927606,17.6088455467291,11.1432672766929,20.3484951148672,0.590890942995221,0.373928869538862,0.682823949761487,0.304920340498041,0.489274094786086
"139",2004-09-30,-3.33086896014903,2.18316950545727,12.2477923128347,2.61576318621317,-0.211928228603483,-6.06346254684775,20.1338436012406,15.8177078452004,-3.5427971887525,-3.88029304139047,32.4816359140755,18.3334710314136,1059.73091252412,0.00915515189781191,1297.46908747588,0.0162518909222344,12303.3,0.00683064626586383,0.0064485594273207,8264.3,0.00503790309165653,-0.00968274383414671,-0.33318462226841,3.80121792308714,3.80121792308714,3.80121792308714,3.80121792308714,3.80121792308714,3.80121792308714,0.355332929464002,-2.7787975334602,3.1463339651693,-3.39793909765443,-0.36529619236676,-3.03932173429901,4.55982967798384,4.45834212034731,7.70944807704456,0.150626135204685,0.147273668192165,0.254668364920127,-0.192241230897871,0.284371891927242
"140",2004-12-31,0.726876979822535,-2.39173455020105,20.5447091480926,-0.272352636076256,3.13127134651182,-4.95827587955694,-7.50968514315241,0.955348074700566,3.85814832633434,-7.35001042975807,12.9334924499603,0.884526993604027,1074.75630849238,0.00972182115699316,1314.84369150762,0.017217077443916,12522.4,0.00676803602376097,0.00768869033623321,8425.6,0.0085475137729647,-0.0796344209859943,-0.446883007068768,5.93545088020182,5.93545088020182,5.93545088020182,5.93545088020182,5.93545088020182,5.93545088020182,-2.35754952201949,-5.63552480210321,3.28399499573122,-4.03639754181255,-0.420992641465797,-3.6120040266292,5.47695469657161,5.81438431683465,11.5428927295057,0.178064574433578,0.189034952145673,0.375277941024137,-0.348452853621184,0.0273036626906347
