"year","quarter","impact","recession","total","state_local","federal","consumption","projection"
"2014","Q2",-1.15105721055065,0,-0.833078560949814,-0.132999948590675,-0.193794788473398,-0.50628382388574,0
"2014","Q3",-0.912095587446172,0,-0.177632442466312,0.0211347484089665,0.175513391373518,-0.374280582248796,0
"2014","Q4",-0.709748467454967,0,-0.629611814807949,0.321771423568443,-0.709989682463384,-0.241393555913008,0
"2015","Q1",-0.382359220853797,0,0.110885934808883,-0.015688895926514,0.0785073986838941,0.0480674320515031,0
"2015","Q2",-0.0695342152002866,0,0.418221461664226,0.586548935748068,-0.180194842783071,0.01186736869923,0
"2015","Q3",-0.0172738375809392,0,0.031409068011078,0.190796065849503,-0.181243517934779,0.0218565200963542,0
"2015","Q4",0.0852232821372062,0,-0.219623335935367,-0.507353607788513,0.3125308022896,-0.0248005304364547,0
"2016","Q1",0.123952859308827,0,0.265804243495368,0.730640634608056,-0.459000855008104,-0.00583553610458397,0
"2016","Q2",-0.103313083857214,0,-0.490842310999939,-0.395394948546454,-0.0402381074160179,-0.0552092550374668,0
"2016","Q3",-0.171193618679015,0,-0.240113071276127,-0.209804572193979,0.0909993887843114,-0.121307887866459,0
"2016","Q4",-0.200323790908842,0,-0.336144024854674,-0.104435038340679,-0.154974466903108,-0.0767345196108876,0
"2017","Q1",-0.362260374603996,0,-0.381942091285247,-0.252775870616199,-0.153430519190444,0.0242642985213964,0
"2017","Q2",-0.296698423132747,0,-0.228594505114944,-0.0403858599777635,-0.230700242234773,0.0424915970975928,0
"2017","Q3",-0.347025484537651,0,-0.441421316895743,-0.467545438034213,0.0122135352189884,0.0139105859194817,0
"2017","Q4",-0.229117910528961,0,0.135486271180086,0.144186352110079,-0.00300232683322714,-0.00569775409676558,0
"2018","Q1",-0.0939662557342636,0,0.158664527893541,-0.323958573612366,0.286778554590646,0.195844546915261,0
"2018","Q2",0.0530444330286564,0,0.359448249936736,0.252265041914102,-0.142183866307025,0.24936707432966,0
"2018","Q3",0.21980102238069,0,0.225605040512392,-0.085655847783994,0.206040213649792,0.105220674646595,0
"2018","Q4",0.10182271825202,0,-0.336426945334594,-0.0707936783667521,-0.443185927820307,0.177552660852465,0
"2019","Q1",0.151451041686477,0,0.357177821631368,0.144406014833826,-0.275268929854548,0.48804073665209,0
"2019","Q2",0.150164285338602,NA,0.354301224545238,-0.0634566935539274,-0.106410403354884,0.52416832145405,1
"2019","Q3",0.204537483417866,NA,0.443097832829447,-0.0702819673973916,-0.083121447416236,0.596501247643074,1
"2019","Q4",0.382454898541975,NA,0.375242715161843,-0.0903635495682294,-0.11969127165112,0.585297536381192,1
"2020","Q1",0.279081801797097,NA,-0.0563145653481435,-0.101954557490797,-0.136308942307408,0.181948934450061,1
"2020","Q2",0.172942705804463,NA,-0.0702551594252978,-0.0671940497302582,-0.120035764484785,0.116974654789745,1
"2020","Q3",0.0295832859043025,NA,-0.130339846771196,-0.0645812777299412,-0.188285603064619,0.122527034023364,1
"2020","Q4",-0.0967386286523788,NA,-0.130044943064883,-0.0491810213603486,-0.211440390460486,0.130576468755952,1
"2021","Q1",-0.105793154065456,NA,-0.0925326670004538,-0.0573245600967992,-0.158790099672592,0.123581992768937,1
"2021","Q2",-0.117139097973597,NA,-0.115638935057862,-0.0712734026148807,-0.203099876745954,0.158734344302973,1
"2021","Q3",-0.104058142418726,NA,-0.0780160245517092,-0.0502025925959718,-0.205013623951042,0.177200191995304,1
"2021","Q4",-0.0808683295142887,NA,-0.0372856914471346,-0.0227058031606548,-0.209890560611768,0.195310672325288,1
