"","date","fim_bars","fim_bars_ma","state_local_cont","federal_cont","taxes_transfers_cont","recession","state_health_outlays","state_social_benefits","state_noncorp_taxes","state_corporate_taxes","federal_health_outlays","federal_social_benefits","federal_noncorp_taxes","federal_corporate_taxes","health_outlays","social_benefits","noncorp_taxes","corporate_taxes","federal_nom","pi_federal","state_local_nom","pi_state_local","gdp","gdppoth","pi_gdp","pce","pi_pce","purchases_cont","health_outlays_net","social_benefits_net","noncorp_taxes_net","corporate_taxes_net","state_health_outlays_net","state_social_benefits_net","state_noncorp_taxes_net","state_corporate_taxes_net","federal_health_outlays_net","federal_social_benefits_net","federal_noncorp_taxes_net","federal_corporate_taxes_net","health_outlays_net_xmpc","state_health_outlays_net_xmpc","federal_health_outlays_net_xmpc","social_benefits_net_xmpc","state_social_benefits_net_xmpc","federal_social_benefits_net_xmpc","noncorp_taxes_net_xmpc","state_noncorp_taxes_net_xmpc","federal_noncorp_taxes_net_xmpc","corporate_taxes_net_xmpc","state_corporate_taxes_net_xmpc","federal_corporate_taxes_net_xmpc","transfers_net_taxes","state_transfers_net_taxes","federal_transfers_net_taxes","state_taxes_transfers_cont","federal_taxes_transfers_cont","health_cont","social_benefits_cont","noncorp_cont","corporate_cont"
"122",2000-06-30,-0.295928138678016,-0.606663059615052,-0.386505527868479,0.369447927917259,-0.278870538726796,0,82.3345460901,71.1,872.6,36.5,332.0654539099,556.8,1766.7,201.1,414.4,627.9,2639.4,237.6,753.4345460901,0.00387093206514222,1069.6654539099,0.0105287462479797,10247.7,0.0104737172250753,0.00584062334440283,6707.5,0.00448309178743966,-0.0170575999512206,5.16941460615396,5.02100630901953,-6.49090541472515,-5.38066007759608,2.18197546910379,0.154519050025144,5.21791101790484,-1.25639329526556,2.98743913705016,4.86648725899443,-11.6058250708272,-4.12426678233052,0.222016612320392,0.644284388478349,-0.422267776157953,-2.29567072639811,-0.171074778787998,-2.12502174206356,-5.36243983402611,-0.77057628948621,-4.58628437114277,0.462308668528163,0.103735283033156,0.361903314343869,-6.97378527957566,-0.193631396762703,-6.77167057502042,-0.00774301039749284,-0.270788294395442,0.00887808984676014,-0.0918002069958954,-0.214435407092987,0.0184869855153271
"123",2000-09-30,-1.1110074971373,-0.834666827227535,-0.522681662657651,-0.49568223390235,-0.0926436005772963,0,85.0333587456,72.4,871.3,33.5,340.4666412544,556.8,1802.8,185.6,425.5,629.2,2674.2,219,753.8333587456,0.00716115349657076,1078.5666412544,0.0106170695669394,10319.8,0.0102229972493342,0.00608933595406014,6815.4,0.0061816269734396,-1.01836389656,4.30192372208256,-9.0004635494796,-8.49836517358926,-22.4977387153311,1.34814536633927,0.133631217760822,-15.6146750967923,-3.59876878413125,2.95377835574328,-9.1340947672403,7.11795038562536,-18.7989699311998,0.537671177892283,0.506014173489696,0.0316570044026022,-2.61485101106257,-0.123376172617772,-2.49190063289823,-1.82203105247865,0.926104297110228,-2.74867168938097,1.52575132155904,0.273449098177095,1.24892507342825,-2.3734595640899,1.58219139615925,-3.95999024444835,0.06175791235728,-0.154570888860851,0.0209869991468245,-0.102065868870579,-0.071119609374929,0.059554878521387
"124",2000-12-31,-0.216554174464919,-0.875095255502683,-0.0411370623536773,-0.19169923765478,0.0162821255435386,0,85.0333587456,74.3,876.7,33.7,346.4666412544,559.8,1820.1,187.6,431.5,634.1,2696.8,221.3,759.7333587456,0.0044985916263296,1101.5666412544,0.0124197389443221,10439,0.00988886464109018,0.00528634361233493,6912.1,0.00551908737492846,-0.232836300008457,-0.556083582815916,-4.79468340847905,-18.6039452812365,-1.07434149150808,-1.3101899113131,0.784464274040289,-8.02494859155706,-0.316166392536623,0.754106328497187,-5.57914768251919,-10.4774558944782,-0.859715894173064,0.49546123156554,0.070814391646649,0.424646839918897,-1.90496425566766,0.172965893496757,-2.10085594361782,0.702132284347727,2.2807729531908,-1.59118242235112,1.12744143771492,0.232013177155081,0.895435803779526,0.420070697960524,2.75656641548929,-2.37195572227051,0.106845730168774,-0.0919380500502145,0.0192042958803674,-0.0738372548176384,0.0272149570475291,0.0437001274332805
"125",2001-03-31,0.68295749371051,-0.23513307914243,0.0295757627073267,0.448702542645696,0.204679188357487,1,87.745434715,75.4,900.7,30.1,361.054565285,583.5,1861.5,154.9,448.8,659,2762.2,185.1,779.845434715,0.00171514912268766,1125.554565285,0.0117314277207086,10472.9,0.00934407483527666,0.00638900532205411,6986.9,0.00678176655511598,0.478278305353023,10.3416994400456,14.6746039743521,21.9118309383894,-39.7686486996939,1.34084151337609,-0.0981500153062314,9.86247485304273,-4.14344085485623,9.00085792666954,14.6727539896581,12.0493560853463,-35.7252078448377,4.3328146917299,0.80117379843886,3.53164089329104,1.32760424821791,0.219254518467005,1.08584972975093,-2.61907146127654,0.0992666192339448,-2.71270253635651,2.30026763948825,0.368529157628151,1.93507935841312,5.34161511815952,1.48822409376796,3.83986744509858,0.0570255424377033,0.147135451483804,0.166024128431072,0.0508709358451159,-0.100357178322695,0.0881413024039948
"126",2001-06-30,0.963675907233877,0.0797679323355428,0.574927774002627,0.0498217244038792,0.33892640882737,1,93.9080210601,77.9,911.2,30.4,376.5919789399,590.6,1858.7,148.7,470.5,668.6,2769.9,179,792.1080210601,0.00524534916903341,1154.8919789399,0.00388475234703778,10597.8,0.00880633468205083,0.00666397415185793,7036.3,0.00468378177605988,0.624749498406507,15.6456357335999,0.710013254104979,-29.5623996805934,-8.59702055639627,4.9788902121271,1.48284521905849,-1.65054789382043,-0.106052505389137,10.6667455214728,-0.771482953307668,-27.9118517867732,-8.28961903936136,6.68996444540523,1.4304796156191,5.25948482978614,0.357630810862139,0.518127906499508,-0.182693568017044,-0.554691716965053,-0.344574995200087,-0.216583218239912,2.3809524282181,0.35143914383602,2.02614252721357,8.87385596752041,1.95547167075455,6.88635057074275,0.0746869222757611,0.263015996361762,0.255515261117942,0.0136592848537516,-0.0211857925489617,0.0909376554046386
"127",2001-09-30,0.72255494146952,0.538158541987247,-0.718570345914088,0.0123989272193387,1.42872636016427,1,88.7249186374,78.4,887.7,28.3,374.4750813626,603.6,1687.3,130.9,463.2,682,2575,159.3,804.1249186374,0.00639405204460974,1148.5750813626,0.00265310310457045,10596.3,0.00836200885784688,0.00313440320962899,7064.7,0.000589009336424473,-0.706171418694749,-11.5114540604046,7.41534923531026,-219.693425296312,-21.3022322567746,-6.02367482779697,-0.19728431733374,-31.65616777862,-2.37211095310585,-5.48777923260769,7.7135286544634,-188.037257517692,-19.1310164054881,3.13195444434561,-0.228179928061548,3.36013437240717,4.05118868743986,0.443671911103232,3.60802170186629,27.4774080756664,4.28047288505228,23.1965648334486,3.1928393419203,0.454918901161725,2.74124618698404,37.8533905493722,4.95088376925569,32.9059670947061,0.186864585829349,1.24199237935066,0.118211494625134,0.152906780178522,1.03709857048317,0.120509514877439
"128",2001-12-31,1.87877241163487,1.06199018851219,0.779016658036777,-0.167530735877713,1.2672864894758,1,100.6011611965,79.5,896.8,26.6,396.1988388035,614.9,1810.7,115.8,496.8,694.4,2707.6,142.4,811.3011611965,0.00647431764453055,1180.6988388035,0.00203207461661026,10660.3,0.00796903205321664,0.00342457192850887,7174.7,0.000626236817715009,0.611485922159065,29.6186714589844,6.53802663002466,110.467182657351,-18.2692263311394,11.11362802786,0.426130920518972,1.46997982327389,-1.94324610904737,18.5050434311244,6.11189570950569,108.897202834077,-16.225120695205,9.92127432875069,2.5671791082524,7.35409522049829,6.60104844610319,0.363046906560935,6.23850646507189,13.4919973635049,4.15987064331143,9.34375636302798,3.55704943272226,0.474016852592007,3.07966300879282,33.5713695710811,7.56411351071677,26.016021057391,0.285537914582138,0.982079444990836,0.374518438653141,0.249183146800419,0.509309753914289,0.134275150107953
"129",2002-03-31,2.28726436537946,1.46306690642943,-0.186863626719121,0.922460544585914,1.55166744751267,0,100.918095671,81.1,901.6,28.3,398.081904329,640.9,1664.5,115.5,499,722,2566,143.8,847.218095671,0.00645936207126652,1191.681904329,0.00601091301683621,10789,0.00750914883184084,0.00272781625230434,7209.9,0.00186501777399495,0.735596917866792,-2.45708596977926,21.0905787089075,-166.981493501961,0.0651186753289892,-0.626117571296533,0.85475375483604,-3.60675261211361,1.45064716828477,-1.8309683984827,20.2358249540713,-163.173803473187,-1.38552849295579,7.04154761154009,2.12461331420106,4.91693429733904,8.04464276137817,0.577450254842946,7.49019743206486,22.4379498958372,2.7683699440513,19.6450971046211,3.82896095804271,0.460413763094837,3.36855477356415,41.3531012267982,5.93084727619014,35.4207836075892,0.222539601181586,1.32907267553781,0.26421573920209,0.301854272820771,0.841925645463533,0.143671790026274
"130",2002-06-30,1.93467328424594,1.70581625068245,-0.539555746884091,0.585415276454213,1.88881375467582,0,100.464809002,82.2,893.7,30.2,401.235190998,663.1,1663.8,119.9,501.7,745.4,2557.6,150,877.064809002,0.00945447794839138,1196.435190998,0.0090640136902862,10893.2,0.00713699933315315,0.00408680421847629,7302.1,0.00762109418922807,0.0458595295701228,-4.66428866766825,12.7446564768406,-46.2692679784304,4.07778615148158,-1.94264536301323,-0.0968813846651244,-21.2058971197789,1.48234595331661,-2.721643304655,12.7415378615059,-25.2648466680037,2.69544019816497,2.47181462125477,0.567267809794487,1.90454681146028,10.7524374864937,0.222011769005133,10.5306271153979,34.2288386878065,5.71435104889549,28.5143613705765,3.49293820243865,0.364724656935543,3.12488779078604,50.9460289979936,6.86835528463066,44.0744230882208,0.254642887556981,1.634050350847,0.0916420287794889,0.398644452182545,1.26902729401451,0.129499979699273
"131",2002-09-30,1.44555508252886,1.88656628594728,-0.279680658055812,0.155634903625537,1.56960083695913,0,103.472984169,83.6,915.4,31.5,409.227015831,663.6,1655.3,126.5,512.7,747.2,2570.7,158,894.872984169,0.00857777135576088,1205.527015831,0.007071099038503,10992.1,0.00689402696209274,0.00426811163895513,7390.9,0.00488524630816745,-0.124045754430275,5.09033860031053,-6.98027029565174,-17.0266693160174,6.23310900946097,1.82477272772094,0.431743737184618,11.1728634783685,0.944265947238144,3.26556587258955,-7.31083610550934,-28.0983548670588,5.18766513489579,6.20721796991567,2.33316850978602,3.87404946012966,7.51342309202724,0.363543081271764,7.15014504440404,25.7432474851955,3.22032176895691,22.5228127693699,3.28105104576959,0.317621650445571,2.96347623818453,42.744939592908,6.23465501046027,36.5104835120882,0.228937502679112,1.34067063900739,0.227930010278547,0.275894065730079,0.945296055711656,0.12048070523885
