"","date","gdp","c","ch","gdph","jc","jgdp","jgf","jgs","ptgh","ptgsh","ptgfh","yptmr","yptmd","gtfp","ypog","yptx","ytpi","yctlg","g","grcsi","dc","gf","gs","gfh","gsh","gfrpt","gfrpri","gfrcp","gfrs","gftfp","gfeg","gsrpt","gsrpri","gsrcp","gsrs","gstfp","gset","yp","gfsub","gssub"
"2013-12-31",2013-12-31,17083.1,11475.1,11263.6,16663.6,101.88,102.551,102.29,104.263,-0.58,-0.08,-0.5,580.2,448.6,2403.7,88.9,1698.1,1204.1,356.9,3138.5,1122.3,101.877,1215.6,1923,1188.2,1844.4,1333.2,128.8,302.3,1104.2,1830.1,447.3,364.9,1075.3,54.6,18.1,573.6,2531,14356.2,58.9,0.5
"2014-03-31",2014-03-31,17104.6,11574.2,11308,16616.5,102.357,102.96,102.024,105.088,-0.31,-0.27,-0.03,587.5,459.5,2433.2,90.9,1744.8,1220.5,392.8,3137.4,1145,102.354,1211,1926.4,1187,1833.1,1369.1,136.6,336.4,1126.6,1848.1,467.8,375.7,1083.9,56.4,18.4,585.1,2542.1,14639.3,58.2,0.5
"2014-06-30",2014-06-30,17432.9,11756.9,11431.8,16841.5,102.846,103.539,102.472,105.449,0.1,0.26,-0.17,595.6,481.5,2484.5,92.6,1758.4,1237.5,415.1,3153.3,1149.7,102.843,1209,1944.2,1179.9,1843.8,1389,135.3,360,1131,1876.8,492.5,369.4,1102.2,55.1,18.7,607.8,2580,14890.8,58,0.5
"2014-09-30",2014-09-30,17721.7,11915.4,11554.8,17047.1,103.123,104.01,102.949,106.04,0.49,0.18,0.32,604,507.2,2524.6,94.2,1798.6,1248.4,387.1,3190.9,1161.4,103.12,1228.2,1962.7,1193,1851,1413.3,136.9,330.1,1142.5,1890.5,511.1,385.3,1111.4,57,18.9,634.1,2623.3,15120,57.7,0.5
"2014-12-31",2014-12-31,17849.9,12044.5,11695,17143,102.992,104.078,103.085,106.003,-0.04,0.37,-0.41,612.8,515.3,2552.1,95.7,1836.5,1257,389.8,3190.3,1179.1,102.989,1211.7,1978.6,1175.5,1866.6,1443.5,136.4,332.1,1160.1,1909,508.8,393,1120.6,57.7,19,643.2,2648.4,15316.8,56.5,0.5
"2015-03-31",2015-03-31,18003.4,12099.1,11798.3,17305.8,102.552,104.054,102.922,105.112,0.37,0.25,0.12,622.4,523.6,2597.7,99.4,1904.6,1262.2,403.5,3188.1,1194.2,102.55,1214.9,1973.2,1180.4,1877.2,1509.1,139.9,345.9,1175.2,1945.5,524.8,395.4,1122.3,57.6,19,652.2,2653.6,15526.6,55.5,0.5
"2015-06-30",2015-06-30,18223.6,12255.5,11892.3,17422.8,103.057,104.647,103.122,105.8,0.6,0.55,0.05,631.5,537.9,2633.9,100.7,1943,1273.1,408.5,3230.6,1206.1,103.055,1219.6,2011,1182.7,1900.8,1527.7,143.5,351,1187,1966.6,528.9,415.3,1129.6,57.5,19.1,667.3,2707.5,15671.3,55.9,0.5
"2015-09-30",2015-09-30,18347.4,12389.3,11991.2,17486,103.322,104.92,103.277,105.913,0.32,0.34,-0.02,639.5,540.4,2647.8,101.6,1947.3,1275.5,379.6,3249.1,1216.1,103.32,1220.2,2028.9,1181.5,1915.6,1540.9,136.1,323.8,1196.8,1977.6,530.4,406.5,1139.4,55.8,19.3,670.2,2730,15806.4,57.2,0.5
"2015-12-31",2015-12-31,18378.8,12446,12055.4,17514.1,103.243,104.935,103.192,105.569,0.26,0.05,0.2,646.4,541.8,2661.2,101.9,1964.9,1289.9,349.7,3253.2,1223.6,103.24,1228.5,2024.7,1190.5,1918,1552.6,141.7,295.6,1204.1,1989.7,548.2,412.3,1148.2,54.1,19.5,671.5,2730.4,15892.6,58.1,0.5
"2016-03-31",2016-03-31,18470.2,12551.6,12148.1,17613.3,103.325,104.902,102.914,104.869,0.66,0.56,0.09,652.5,550.4,2686.1,103,1925,1295.9,355.1,3266.4,1231,103.322,1229.4,2036.9,1194.6,1942.4,1526.7,138.2,301.4,1211.1,2006.3,538.9,398.3,1157.7,53.7,19.8,679.8,2754.8,15970.8,60.1,0.5
"2016-06-30",2016-06-30,18656.2,12707.5,12225.8,17668.2,103.944,105.595,103.505,105.639,-0.11,0.09,-0.2,658.7,558.8,2706.6,103.1,1945.2,1301.8,364.9,3283.1,1237.3,103.94,1227.1,2056,1185.6,1946.3,1536.7,135.8,312.3,1217.3,2018.5,551.8,408.4,1166,52.6,20,688.1,2783,16065.6,61.8,0.5
"2016-09-30",2016-09-30,18821.4,12841.2,12304.5,17764.4,104.366,105.941,103.95,106.007,0.33,0.21,0.12,665.2,566.4,2726.2,103.4,1971,1320.3,378,3310.9,1248.4,104.362,1237.8,2073.1,1190.8,1955.7,1553.8,135.8,324.8,1228.3,2029.6,562.7,417.2,1184.5,53.1,20.1,696.6,2810.8,16216.2,62.5,0.5
"2016-12-31",2016-12-31,19032.6,12979.5,12380,17876.2,104.847,106.506,104.475,106.564,0.19,0.17,0.01,672.1,575.3,2749.6,104,1990.4,1329,363,3336.7,1261.8,104.843,1244.5,2092.3,1191.2,1963.4,1574.6,135.9,309,1241.7,2043.8,573.9,415.8,1193.1,54.1,20.1,705.8,2840,16390.3,60.4,0.5
"2017-03-31",2017-03-31,19237.4,13153.2,12477.3,17977.3,105.421,107.031,105.072,107.454,0.01,0.11,-0.1,679.5,572.4,2778.8,105.7,2001.1,1340,302.1,3361.6,1282.2,105.417,1246.5,2115.1,1186.4,1968.4,1581.1,127.1,247.8,1262.2,2075.1,561,420,1212.9,54.3,20,703.7,2860.6,16633.7,58.9,0.5
"2017-06-30",2017-06-30,19379.2,13241.3,12533.1,18054.1,105.654,107.368,105.466,107.708,0.27,0.13,0.14,687.5,567.9,2789.3,106.6,2005.6,1357.4,308.7,3384.2,1294.5,105.65,1257.9,2126.3,1192.7,1974.2,1601.7,131.2,255.8,1274.6,2089,542.3,403.9,1226.2,52.9,19.9,700.3,2866.5,16828.4,57.6,0.6
"2017-09-30",2017-09-30,19617.3,13370.9,12604.5,18185.6,106.084,107.968,106.002,108.661,0.04,0.07,-0.03,696.3,578.8,2822.2,107.6,2052.3,1368.7,308.6,3411.1,1309.6,106.08,1262.7,2148.4,1191.3,1977.2,1625,131.2,254.5,1289.7,2106.6,562.9,427.3,1237.5,54.1,20,715.6,2904.5,17036.6,61.3,0.6
"2017-12-31",2017-12-31,19938,13596,12733.7,18359.4,106.775,108.637,106.831,109.978,0.49,0.17,0.32,705.8,575.8,2834.7,108.7,2127.9,1389.8,279,3471.1,1328.4,106.772,1288.3,2182.9,1206,1984.9,1650.8,134.3,223.5,1308.2,2124.3,572.9,477,1255.5,55.4,20.2,710.3,2923.8,17295.6,59.4,0.6
"2018-03-31",2018-03-31,20242.2,13755.5,12798.1,18530.5,107.485,109.292,107.962,111.19,0.26,0.13,0.12,716.1,581.8,2890.9,109.8,2085.6,1418.3,244.1,3521.5,1348.3,107.481,1308.1,2213.4,1211.7,1990.7,1598.6,150.1,188.7,1327.8,2173.4,581.5,487,1268.2,55.4,20.4,717.5,2953.5,17548.6,57.6,0.6
"2018-06-30",2018-06-30,20552.7,13939.9,12898.1,18654.4,108.081,110.165,108.763,112.365,0.5,0.27,0.23,727.5,592.6,2916,110.9,2064.4,1433.1,265.5,3580,1358,108.077,1329.3,2250.7,1222.3,2003,1608.9,155.2,204.7,1337.2,2186.7,578,455.5,1277.8,60.8,20.8,729.3,2996.4,17750.3,57.2,0.6
"2018-09-30",2018-09-30,20742.7,14086.3,12983,18752.4,108.501,110.671,109.413,113.398,0.44,0.15,0.29,739.9,595.1,2935.4,111.9,2100.5,1448.7,276.3,3631.2,1374.2,108.498,1352,2279.1,1235.8,2009.9,1628.3,162.1,214.2,1353.1,2202.1,584.3,472.2,1286.6,62.1,21.2,733.3,3027.6,17976.5,57.3,0.6
"2018-12-31",2018-12-31,20909.9,14191.4,13033.4,18813.9,108.889,111.159,110.218,114.148,-0.16,-0.28,0.12,753.3,589.8,2949.4,112.9,2090.7,1479,298.2,3648,1381.9,108.885,1368.4,2279.6,1241.6,1997.1,1634.2,183.5,234.7,1360.3,2220.5,586.5,456.5,1295.5,63.5,21.6,728.8,3025.3,18132,78.9,0.6
"2019-03-31",2019-03-31,21115.3,14276.6,13093.2,18950.3,109.042,111.497,111.479,113.914,0.43,0.34,0.09,767.4,599.4,3037.5,114.2,2170.7,1473.8,282.3,3681.5,1413.9,109.039,1388.8,2292.7,1245.8,2012.7,1695.5,172.1,213.8,1391.9,2298.8,594.2,475.2,1301.6,68.5,22,738.7,3054.4,18366.7,70.7,0.6
"2019-06-30",2019-06-30,21329.9,14497.3,13212.8,19020.6,109.726,112.181,110.761,114.89,0.86,0.28,0.58,779.7,615,3071,114.9,2222.5,1480.7,292.9,3737.6,1419.9,109.722,1410.6,2327,1273.6,2025.5,1703.1,168.3,224.2,1397.8,2315.8,612.5,519.4,1312.4,68.7,22.1,755.2,3105.7,18480.9,60.5,0.6
"2019-09-30",2019-09-30,21540.3,14645.3,13301.3,19141.7,110.108,112.602,110.921,115.262,0.37,0.06,0.31,789.9,622.3,3094.8,115.5,2197.1,1501.6,271.4,3767.1,1424.1,110.104,1429.3,2337.8,1288.5,2028.3,1713.2,175.1,201.6,1402.3,2331.4,610.3,483.9,1326.5,69.8,21.8,763.4,3123.2,18597.6,81.4,0.6
"2019-12-31",2019-12-31,21747.4,14759.2,13353.7,19254,110.529,112.989,111.281,115.811,0.42,0.16,0.26,797.9,619.4,3108.7,116,2221.2,1509.6,300.8,3805.3,1438.1,110.525,1447.9,2357.4,1301.1,2035.6,1740.2,179.2,229.7,1416.9,2347.7,615.4,480.9,1330.4,71,21.1,761,3136.8,18760.8,80.5,0.6
"2020-03-31",2020-03-31,21561.1,14545.5,13118.4,19010.8,110.882,113.38,111.205,116.688,0.22,0.12,0.1,804.7,624.1,3189.6,112.2,2252.4,1530,243.2,3834.1,1456.8,110.878,1452.6,2381.6,1306.1,2041,1756.6,183.8,180.5,1436.4,2422.5,627.8,495.8,1346.2,62.7,20.4,767.1,3159.9,18951,74.5,0.6
"2020-06-30",2020-06-30,19520.1,13097.3,11860.3,17302.5,110.435,112.86,110.901,115.969,0.77,-0.4,1.17,824.1,668.8,5627.4,112.5,2095.7,1395.8,225.8,3839.3,1384.9,110.431,1504.8,2334.5,1356.8,2013.1,1599.3,131.4,171.5,1365.7,4815.3,1396.9,496.4,1264.3,54.2,19.1,812.2,3157.6,20396.6,1085.9,0.6
