year,quarter,impact,recession,total,federal,state_local,consumption
2000,Q1,0.213475835,0,-0.858480108,-0.84,0.33,-0.348480108
2000,Q2,0.304391613,0,0.46181978,0.78,-0.06,-0.25818022
2000,Q3,0.049885992,0,-0.350943164,-0.49,0.18,-0.040943164
2000,Q4,-0.081669691,0,0.420924729,0.06,0.38,-0.009075271
2001,Q1,0.418920175,0,1.143879356,0.52,0.58,0.043879356
2001,Q2,0.642147007,1,1.354727107,0.36,0.9,0.084727107
2001,Q3,0.967213647,1,0.949323397,0.15,-0.23,1.029323397
2001,Q4,1.468187284,1,2.424819277,0.3,0.91,1.214819277
2002,Q1,1.797977982,0,2.463042145,0.84,0.44,1.173042145
2002,Q2,2.018436048,0,2.236559373,0.51,0.06,1.656559373
2002,Q3,2.23296184,0,1.807426566,0.26,0.14,1.407426566
2002,Q4,2.052776825,0,1.704079215,0.47,0.12,1.114079215
2003,Q1,1.753774039,0,1.267031003,0.32,-0.22,1.177031003
2003,Q2,1.644012789,0,1.797514372,0.98,-0.24,1.057514372
2003,Q3,1.496538742,0,1.217530377,0,0.2,1.017530377
2003,Q4,1.356844982,0,1.145304177,0.54,-0.06,0.665304177
2004,Q1,1.20929819,0,0.676843834,0.31,0.03,0.336843834
2004,Q2,0.878737864,0,0.475273069,0.17,0.03,0.265273069
2004,Q3,0.611594019,0,0.148954997,0.33,-0.18,-0.001045003
2004,Q4,0.31626748,0,-0.03600198,-0.05,0.02,-0.00600198
2005,Q1,0.122082875,0,-0.099894587,0.33,0.06,-0.499894587
2005,Q2,-0.119032049,0,-0.489186624,-0.03,-0.01,-0.449186624
2005,Q3,-0.199348656,0,-0.172311431,0.22,0.03,-0.422311431
2005,Q4,-0.308426868,0,-0.47231483,0.01,0.05,-0.52231483
2006,Q1,-0.174870312,0,0.434331638,0.75,0.21,-0.525668362
2006,Q2,-0.204683749,0,-0.608440374,-0.2,0.18,-0.578440374
2006,Q3,-0.261362354,0,-0.399025849,-0.26,0.15,-0.289025849
2006,Q4,-0.078649074,0,0.258538289,0.43,0.21,-0.381461711
2007,Q1,-0.222205325,0,-0.139893366,-0.16,0.29,-0.269893366
2007,Q2,0.018219506,0,0.35325895,0.48,0.23,-0.35674105
2007,Q3,0.18376314,0,0.263148687,0.25,0.1,-0.086851313
2007,Q4,0.29762756,0,0.713995967,0.48,0.12,0.113995967
2008,Q1,0.385597307,1,0.211985624,0.44,-0.27,0.041985624
2008,Q2,1.002239711,1,2.819828566,0.64,0.04,2.139828566
2008,Q3,1.320315552,1,1.53545205,0.39,0.25,0.89545205
2008,Q4,1.468841473,1,1.308099652,0.41,0.15,0.758099652
2009,Q1,2.258012575,1,3.368670031,0.41,0.51,2.448670031
2009,Q2,2.238997248,1,2.743767258,0.77,0.44,1.523767258
2009,Q3,2.531312532,0,2.704713187,0.31,-0.07,2.474713187
2009,Q4,2.823435123,0,2.476590014,0.52,-0.35,2.306590014
2010,Q1,2.456824611,0,1.902227985,0.39,-0.73,2.232227985
2010,Q2,2.183479958,0,1.650388647,0.46,-0.17,1.350388647
2010,Q3,1.690004906,0,0.730812977,-0.15,-0.43,1.300812977
2010,Q4,1.207585658,0,0.546913022,-0.05,-0.47,1.066913022
2011,Q1,0.421015462,0,-1.244052797,-0.47,-0.54,-0.234052797
2011,Q2,-0.238437107,0,-0.987421629,-0.12,-0.43,-0.437421629
2011,Q3,-0.853003714,0,-1.727453453,-0.72,-0.43,-0.567453453
2011,Q4,-1.153420224,0,-0.654753017,0.14,-0.18,-0.614753017
2012,Q1,-1.104900815,0,-1.04997516,0.01,-0.34,-0.70997516
2012,Q2,-1.100214597,0,-0.968676756,-0.25,-0.15,-0.558676756
2012,Q3,-0.806558122,0,-0.552827554,0.07,-0.18,-0.432827554
2012,Q4,-0.96852908,0,-1.30263685,-0.63,-0.13,-0.54263685
2013,Q1,-1.09421408,0,-1.552715162,-0.71,0.03,-0.872715162
2013,Q2,-1.1029189,0,-1.003496036,-0.24,0.11,-0.873496036
2013,Q3,-1.169747763,0,-0.820143002,-0.43,0.03,-0.420143002
2013,Q4,-1.11344324,0,-1.07741876,-0.5,-0.08,-0.49741876
2014,Q1,-0.958050804,0,-0.931145415,0.03,-0.28,-0.671145415
2014,Q2,-0.812772954,0,-0.422384639,-0.27,0.26,-0.422384639
2014,Q3,-0.556194288,0,0.206171662,0.33,0.18,-0.303828338
2014,Q4,-0.351678619,0,-0.259356084,-0.42,0.35,-0.189356084
2015,Q1,-0.018630946,0,0.401045278,0.15,0.26,0.001045278
2015,Q2,0.258527012,0,0.686247194,0.07,0.63,-0.013752806
2015,Q3,0.27529679,0,0.273250773,-0.04,0.37,-0.056749227
2015,Q4,0.366107636,0,0.1038873,0.16,-0.03,-0.0161127
2016,Q1,0.433182648,0,0.669345326,0.02,0.58,0.069345326
2016,Q2,0.23410784,0,-0.110052039,-0.1,-0.04,0.039947961
2016,Q3,0.188782345,0,0.091948795,0.11,0.07,-0.078051205
2016,Q4,0.167974734,0,0.020656854,0.03,0,-0.009343146
2017,Q1,-0.011108799,0,-0.046988804,0,-0.13,0.083011196
2017,Q2,0.038751649,0,0.089389752,0.16,-0.15,0.079389752
2017,Q3,-0.016794465,0,-0.13023566,-0.08,-0.1,0.04976434
2017,Q4,0.09037854,0,0.449348872,0.26,0.15,0.039348872
2018,Q1,0.207673993,0,0.42219301,0.17,0.1,0.15219301
2018,Q2,0.355045114,0,0.678874233,0.24,0.17,0.268874233
