"","date","fim_bars","fim_bars_ma","state_local_cont","federal_cont","taxes_transfers_cont","subsidies_cont","recession","state_health_outlays","state_social_benefits","state_noncorp_taxes","state_corporate_taxes","state_subsidies","federal_health_outlays","federal_social_benefits","federal_noncorp_taxes","federal_corporate_taxes","federal_subsidies","health_outlays","social_benefits","noncorp_taxes","corporate_taxes","subsidies","federal_nom","federal_cgrants","federal_igrants","pi_federal","state_local_nom","pi_state_local","pi_state_local_c","pi_state_local_i","gdp","gdppot","gdppoth","pi_gdp","pce","pi_pce","add_state_health_outlays","add_state_social_benefits","add_state_noncorp_taxes","add_state_corporate_taxes","add_state_expenditures","add_federal_subsidies","add_federal_grants","add_federal_nom","federal_cgrants_cont","federal_igrants_cont","federal_cont_0","state_local_cont_0","purchases_cont","subsidies_net","health_outlays_net","social_benefits_net","noncorp_taxes_net","corporate_taxes_net","state_subsidies_net","state_health_outlays_net","state_social_benefits_net","state_noncorp_taxes_net","state_corporate_taxes_net","federal_subsidies_net","federal_health_outlays_net","federal_social_benefits_net","federal_noncorp_taxes_net","federal_corporate_taxes_net","health_outlays_net_xmpc","state_health_outlays_net_xmpc","federal_health_outlays_net_xmpc","social_benefits_net_xmpc","state_social_benefits_net_xmpc","federal_social_benefits_net_xmpc","noncorp_taxes_net_xmpc","state_noncorp_taxes_net_xmpc","federal_noncorp_taxes_net_xmpc","corporate_taxes_net_xmpc","state_corporate_taxes_net_xmpc","federal_corporate_taxes_net_xmpc","subsidies_net_xmpc","state_subsidies_net_xmpc","federal_subsidies_net_xmpc","transfers_net_taxes","state_transfers_net_taxes","federal_transfers_net_taxes","state_taxes_transfers_cont","federal_taxes_transfers_cont","health_cont","social_benefits_cont","noncorp_cont","corporate_cont","state_subsidies_cont","federal_subsidies_cont"
"164",2010-12-31,0.221203525987285,0.807789631614341,-0.129303764990644,-0.665355964233352,1.01782611144224,-0.00196285623095678,0,104.432,193.393,1307.3,50.4,1,831.068,1173.807,2052.5,233.6,56,935.5,1367.2,3359.8,284,56.9,1311.1,204.732,75.022,0.0081990123916893,1853,0.0082848469516823,0.00914939091799249,0.00449219163859049,15240.8,0.00870715110267284,0.003200714805907,0.00550643629676584,10350.5,0.00605199067638051,NA,NA,NA,NA,NA,NA,NA,NA,-0.495050970632243,-0.00993616544098408,-0.160368828160126,-0.634290901063871,-0.794659729223996,0.381848492991899,5.67548243916849,-16.1826834045714,11.4022990214153,8.87771248552838,-0.61480432877166,-5.04164096366374,-6.072676953403,9.80472183197094,4.47900190055591,1.09665282176356,10.7171234028322,-10.1100064511688,1.69850245999169,4.39871058497249,8.75630423298947,0.33288116104981,8.42342307193969,12.7659377248625,-4.26826187706382,17.0341996019262,13.9316032127887,-0.148986648114506,14.074541987422,2.99194396339692,0.336373988857167,2.65892558601404,-0.0739991891930127,-0.230258029428055,0.161208136663095,38.3717899448445,-3.97825140469941,42.352298383965,-0.105524609704293,1.12341058983057,0.232264251964256,0.338621283293987,0.369540997295437,0.0793624351195146,-0.00610768053973979,0.00427610625171507
"165",2011-03-31,-1.51202926697673,0.0399321224876268,-0.542750413853094,-0.757161445672592,-0.214888751875037,0.00277134442399431,0,124.96,186.732,1319.9,48.4,0.9,821.44,1179.868,2114.4,228.9,58,946.4,1366.6,3434.3,277.3,58.9,1304.7,206.66,70.503,0.00900512378194662,1851.2,0.0102343766334232,0.0111843752608296,0.00604366627992814,15285.8,0.00845155249791829,0.00333691222761745,0.00511464027030084,10485.4,0.00873766233766227,NA,NA,NA,NA,NA,NA,NA,NA,-0.0274256529863178,-0.137072850789803,-0.592662941896471,-0.707248917629215,-1.29991185952569,1.31295670723559,-0.395764505819102,-17.1083583456502,33.9318443755733,-10.1291791765394,-0.11207457456528,19.2670280289987,-8.99613819890314,-3.18509132919007,-2.6085585580901,1.32382382434434,-19.6627925348179,-8.11222014674763,37.1169357047634,-7.52062061844933,6.86504256115418,5.17502014425871,1.69002241689547,-11.0141014618251,-2.85425577616985,-8.15984568565545,-5.29414887111793,-0.953687818709477,-4.34647984431641,1.14992278260315,0.185440721402146,0.964460961451397,0.105593765243031,-0.119555030680811,0.221038323207796,-8.18769122394268,1.43296224010072,-9.63080382841721,0.0376085832791117,-0.252763734933001,0.180175386099265,-0.289068853651386,-0.13894674481964,0.0301801160727298,-0.00313776260250934,0.00580122626654233
"166",2011-06-30,-1.32924352930588,-0.591605224604033,-0.665331458537496,-0.182519189380963,-0.485009283010662,0.00361640162324682,0,120.8,182.152,1333.8,49.8,0.4,822.3,1186.848,2136.5,227.2,59.5,943.1,1369,3470.3,276.9,59.9,1311.8,214.5,69.145,0.00904687277389926,1856.7,0.0120450759026045,0.0124742055303344,0.0101066227734501,15496.2,0.0106392359062724,0.00345349636106085,0.00718573954521151,10612.1,0.00985673234388362,NA,NA,NA,NA,NA,NA,NA,NA,0.119022390116951,-0.0605536924293247,-0.24098788706859,-0.60686276084987,-0.84785064791846,0.216027529278769,-15.8968004463596,-15.7897585481771,-9.71131844139063,-4.09092641988116,-0.51197920583445,-5.82324617896988,-7.0654456265315,-3.66817086765627,0.755784930680683,0.728006735113219,-10.0735542673897,-8.72431292164492,-6.04314757373459,-4.74671135056181,2.28129746239731,4.84204637518794,-2.56074891279061,-12.9449722890887,-3.98163718171385,-8.96333510737493,-8.71219035712779,-1.19836196057746,-7.5077916722254,0.703278958376679,0.182320505936942,0.517604019356797,0.138198979831566,-0.101776927564403,0.243123189553109,-18.534387245611,-0.257409188730828,-18.271148483481,-0.00673590361592662,-0.478120830665874,0.0596971689384215,-0.338745038901169,-0.227981273001813,0.0184034583306514,-0.00266330653454585,0.0063620664813908
"167",2011-09-30,-2.14712583003841,-1.19179877508343,-0.0700441686793642,-1.39155699655719,-0.688430251533042,0.00290558673117852,0,147.587,179.298,1339.6,46.4,0.4,787.313,1188.902,2163,201.7,59.7,934.9,1368.3,3502.6,248.2,60.2,1288,199.487,65.916,0.00345923049770569,1849.5,0.00524534513962016,0.00389283494176018,0.0113028947450362,15591.9,0.00913340861644318,0.00358097177030881,0.00555243684613438,10705.4,0.00484456592689297,NA,NA,NA,NA,NA,NA,NA,NA,-0.428908546346557,-0.109914558413121,-0.852733891797507,-0.608867273439042,-1.46160116523655,-0.204689708062382,-16.1461246022309,-12.2345611074695,3.06085652940101,-31.0330313883551,-0.00337021507888069,25.769195046178,-4.3887285426207,-5.43798218052757,-3.81959177732065,-0.301319492983502,-41.915319648409,-7.94583256484862,8.49883870992835,-27.4142821648042,-6.02172160092925,7.6885505848222,-13.7102721857515,-13.7959563163204,-5.96767259732813,-7.85078371899225,-8.0914603667033,0.456809887365157,-8.5482927000823,1.12644224167788,0.324718851978133,0.801730375075798,0.112563882759222,-0.0706347597087556,0.177974740440988,-26.6701321595158,2.43177196712861,-29.1296434893092,0.0627707945723108,-0.751917076168589,-0.155437374348014,-0.356111984004346,-0.208863085574613,0.0290766056627529,-0.0018232795061694,0.00459402280406779
"168",2011-12-31,-1.09678096444699,-1.521294897692,-0.159466912564468,-0.191520010622227,-0.747163608160891,0.0013695669005935,0,149.675,177.801,1350.3,49,0.4,792.525,1192.199,2156.6,238,60.6,942.2,1370,3506.8,287,61.1,1291.2,188.075,70.531,-0.00135681119218478,1840.3,-0.00111886404784667,-0.00349199581772586,0.00940104273574449,15796.5,0.00525839625933555,0.0036647950250559,0.00159360123427965,10761.6,0.00342052109659674,NA,NA,NA,NA,NA,NA,NA,NA,-0.293651734438335,0.0963000593425841,0.00583166447352393,-0.356818587660219,-0.350986923186695,0.473463969476512,0.675937957867063,-7.99483804925717,-20.6170282477005,37.0414245386058,-0.00283412644866105,1.04229944955367,-2.76738300998019,1.20851052343392,2.27124133195532,0.477006627537335,-0.366361491686689,-5.12674650766508,-21.7255387711343,34.8708917382627,-7.14661910922208,9.05743717779611,-16.2040562870182,-11.9536911113747,-5.22398146005799,-6.72955023170391,-6.67438672760507,0.167300379368271,-6.84770955298721,-3.40293908240109,-0.321285813915927,-3.08170721783426,0.0533853753934096,-0.0890174889087991,0.137891751369299,-29.1242506552095,3.59045279428166,-32.7251315381743,0.0921107188804871,-0.839541852838315,-0.183341840551109,-0.30666412974364,-0.171227027561877,-0.0873001772048586,-0.00228368547537629,0.00353752272319085
"169",2012-03-31,-1.47429573695013,-1.51186151518535,-0.220495883522421,-0.42645125103455,-0.823604809899268,-0.00374379249389122,0,142.439,173.263,1364.4,49.2,0.5,805.161,1175.937,2179.7,261.5,57.9,947.6,1349.2,3544.1,310.7,58.4,1295.6,183.539,67.107,0.00344192506264895,1849,0.0122092786444545,0.0132936730265771,0.00749349276069622,16019.8,0.00990924078133815,0.00374766147127281,0.00616157931006533,10922.4,0.00685818328950027,NA,NA,NA,NA,NA,NA,NA,NA,-0.196019345695138,-0.106779346035768,-0.123652559303643,-0.523294575253327,-0.646947134556971,-3.34801711488324,-4.59282693360046,-35.3300073222586,0.107423592920441,20.6561225536581,0.0957576620956908,-8.8234298145687,-6.42372980431028,-0.221072180471765,-0.319686393277877,-3.34271419250285,4.23060288096838,-28.9062775179489,0.227435188916388,20.975808946936,-8.09095815547288,2.73708416299344,-10.8280423184663,-16.0535621311115,-4.6451895712746,-11.4082131402242,-4.28513090577409,-0.950409974158497,-3.32865377150158,-3.94768521125156,-0.0209858476385923,-3.9300866462954,-0.147847045324382,-0.0569701584742158,-0.0899375666606151,-32.5251834489344,-2.93647138855246,-29.5849334431481,-0.0743575194138565,-0.74915160809415,-0.20487976844169,-0.406509343996747,-0.108508363391235,-0.099963541575705,-0.00144260205676487,-0.0022774049102172
"170",2012-06-30,-1.27179584661874,-1.49749959451357,-0.0881637977147323,-0.622450400155727,-0.557452292061139,-0.00372935668714382,0,148.31,168.39,1373.7,49.5,0.5,824.99,1180.21,2197.2,275.5,57.6,973.3,1348.5,3571,325,58.1,1288.2,174.51,67.67,0.00223659796399378,1842.9,-0.0000301801756485975,-0.00178944828695504,0.00797263066536158,16152.3,0.00793273702831021,0.00385352990530974,0.00407920712300047,10964.9,0.00239104663545575,NA,NA,NA,NA,NA,NA,NA,NA,-0.234905291605417,-0.00575832800449524,-0.381786780545814,-0.328827417324645,-0.710614197870459,-0.664683269980699,19.7826392699706,-9.12518266880079,4.76859628187367,12.3598100687842,-0.00312228827038274,4.98152876210989,-5.95495406518265,0.779899767779625,-0.00723316580566546,-0.661560981710316,14.8011105078607,-3.07022860361849,3.88869651409368,12.3670432345898,-0.0630842192985881,5.16815852473639,-5.23124274403498,-14.5540325582519,-4.39532896997111,-10.1360441686682,-3.89366637654764,-1.07554362449257,-2.80608007972399,-3.66554354616271,0.164759046264108,-3.83366433076534,-0.149358870641766,-0.0301981973471294,-0.118680106246427,-22.3256855709026,-0.168153220810313,-22.125711429439,-0.00419863470980443,-0.552459117577972,-0.00157515622663424,-0.363401105088749,-0.0972213479955466,-0.0915253260630648,-0.000754021831661553,-0.00296333552844423
"171",2012-09-30,-0.850546103565119,-1.17335466289524,-0.321731033867055,-0.104274741609733,-0.409183191233152,-0.0153571368551779,0,155.921,165.696,1379.9,52.1,0.5,820.179,1183.804,2213.7,280.8,55.8,976.1,1349.5,3593.6,332.9,56.3,1293.3,176.921,65.88,0.00194139780642066,1846.3,0.00591549295774652,0.00604266118798735,0.00538651768640053,16257.2,0.0100473180354328,0.00392828785156074,0.00611903018387205,11014.2,0.00286642078255284,NA,NA,NA,NA,NA,NA,NA,NA,0.0166160777872741,-0.0599377894356554,-0.0609530299613515,-0.365052745515437,-0.426005775476788,-2.19477257164201,-3.81328991358271,-8.16266459310236,-1.66390453241956,5.69171969391306,-0.00339735431705679,6.60327676247459,-3.83816098689829,-3.13389125068193,2.26366192261138,-2.19137521732495,-10.4165666760573,-4.42518307706723,1.57066618912586,3.42805777130172,2.71180358564725,0.855826910903127,1.85597667474414,-13.6378558425192,-4.27145126993357,-9.34389803391742,-1.46300761974762,0.372424030094726,-1.8415050675102,-3.51393156870378,-0.203667733397879,-3.31025936790065,-0.620132704064725,-0.0289994843855967,-0.590656633142117,-16.5231241493881,-3.27586754671919,-13.2303424277262,-0.0811244849766087,-0.327639838975904,0.0671558498949933,-0.337731613269175,-0.0362303231056289,-0.0870199678981638,-0.000718151207830382,-0.0146271833272566
"172",2012-12-31,-1.57722033936803,-1.29346450662551,-0.247759551234775,-0.822068477316341,-0.506013618179231,-0.00137869263768569,0,159.19,166.453,1407.1,51.9,0.5,833.11,1187.347,2287.5,280.9,58.9,992.3,1353.8,3694.5,332.8,59.4,1269.1,178.49,65.507,0.00122850122850138,1863.7,0.012221466575989,0.0144653332532483,0.00197177768704493,16358.9,0.0082674347934073,0.00399022365471202,0.00427721113869528,11125.7,0.0056165177589893,NA,NA,NA,NA,NA,NA,NA,NA,-0.0417335232072738,-0.0188415384788262,-0.761493415630242,-0.308334612920875,-1.06982802855112,2.55914045840861,6.82285970608609,-8.66429753778993,66.3772140557226,-3.29808421662113,-0.00480337070685066,1.77110727203427,-0.834798625284606,13.9436575232337,-0.700511227653841,2.56394382911547,5.05175243405165,-7.82949891250496,52.5335565324895,-2.59757298896739,4.09486097899653,1.01980867096126,3.07505230803527,-13.7884842274391,-3.83661978337706,-9.9520173250064,-8.45801958823699,-0.665737576708284,-7.81029991296381,-2.35823444210546,-0.124908313849799,-2.23332166085041,-0.0560342048734596,-0.0276038125247521,-0.0284077863228947,-20.5659114836585,-3.63506081549863,-16.9489943771082,-0.089438791809134,-0.417021242947328,0.100751937086252,-0.339258524898239,-0.208105198637822,-0.0580231390917369,-0.000679177534255642,-0.000698958893853669
"173",2013-03-31,-1.80728339435102,-1.37671142097573,0.130174941609462,-1.12842886437032,-0.807824786240632,-0.00120468534953607,0,152.737,163.363,1446.1,53.8,0.5,842.363,1207.237,2474.4,297,58.9,995.1,1370.6,3920.5,350.8,59.4,1240,167.937,67.564,-0.0000399022395132231,1885,0.0109475348285744,0.0124236473618251,0.00405506137255873,16569.6,0.00796689345311385,0.00404544162244114,0.00392145183067272,11223.2,0.00355779933216738,NA,NA,NA,NA,NA,NA,NA,NA,-0.329913813099944,0.0373218333825999,-0.835836884652972,-0.162417038107882,-0.998253922760854,-0.451632512703746,-4.74469599925806,6.50673239565094,197.909826293199,15.4696414103063,-0.00380162047730426,-7.6633599275641,-4.35558226661755,28.3014796527705,1.50539179445582,-0.447830892226442,2.91866392830616,10.8623146622683,169.507586316332,13.9642496158505,4.06069043922357,1.2808243955373,2.77986604368627,-4.37521779090948,-3.37128658739619,-1.00408408445753,-30.2711223528316,-4.44105408983306,-25.8299541572903,-2.40289421665085,-0.127502584773847,-2.27538716447175,-0.0492683179113139,-0.0409539556750803,-0.00829142574621488,-33.0378122390797,-6.69997282214088,-26.3378507882796,-0.163824531530626,-0.644000532756593,0.0992900608041757,-0.106980733201119,-0.740175008168804,-0.0587544203253483,-0.0010013865400505,-0.000202737977399822
"174",2013-06-30,-1.29649685980503,-1.3828866742723,-0.126077449788535,-0.317709835671278,-0.851701761517106,-0.00100781282810629,0,154.992,163.507,1460,54.1,0.5,850.508,1209.293,2511.5,293.2,59.6,1005.5,1372.8,3971.5,347.3,60.1,1232.3,175.792,63.979,0.0019453117985655,1899.6,0.00530698410836816,0.00535098150061408,0.00509784900468202,16637.9,0.00716342542241577,0.00411762970828544,0.00304579571413033,11239.6,0.00074270662098197,NA,NA,NA,NA,NA,NA,NA,NA,0.151237684419926,-0.101574802137962,-0.367372717953243,-0.0764145675065709,-0.443787285459813,0.411296022041519,5.56347931874609,-4.46157697289368,31.9450514211071,-5.20500598430704,-0.00243016816463371,1.51264681007663,-0.649999123758164,6.87146763424653,0.0385139054854164,0.413726190206155,4.05083250866937,-3.81157784913603,25.073583786861,-5.24351988979242,0.861379450198069,0.500325956329814,0.361053493868224,-3.32590650933038,-2.17767172557569,-1.17088766469898,-30.7045747865046,-4.649101006608,-26.0493596741884,-2.07004428485621,-0.191588598353292,-1.87845121909767,-0.0417476385914751,-0.0565257680213498,0.014801065919894,-35.2808937690846,-6.57456114222851,-28.7228439981969,-0.158713816681839,-0.693386539160799,0.0207942122971724,-0.080289361465102,-0.741226699172088,-0.0499721003489816,-0.00136456566293332,0.000357306535339273
"175",2013-09-30,-1.14726961126842,-1.45706755119813,-0.114952393319664,-0.60114994716949,-0.429220505389905,-0.00194676538936386,0,166.745,163.105,1453.1,53.1,0.5,855.155,1210.995,2528.3,301.2,59.5,1021.9,1374.1,3981.3,354.3,60,1218.4,172.545,68.014,0.00321597833446163,1915.7,0.00792331398683666,0.00846364896700824,0.005387145699147,16848.7,0.00960371035943974,0.00414186930492977,0.00546184105450997,11330.9,0.00404722087534748,NA,NA,NA,NA,NA,NA,NA,NA,-0.131337470908239,0.0823503723199243,-0.552162848581175,-0.163939491907978,-0.716102340489153,-0.592164319834666,8.16586982373133,-9.94198299948494,-22.722971650971,4.15592898038972,-0.00409454509013862,10.4837565347785,-1.74097356810657,-18.8560716632046,-1.443029778753,-0.588069774744525,-2.31788671104732,-8.20100943137777,-3.76689998776601,5.5989587591427,3.55669039109373,1.37343390509819,2.18325648599547,-3.72625315076646,-1.70580455634755,-2.02044859441885,-15.9195772190321,-1.01456255868887,-14.9169461740808,-1.68320441818272,-0.0804994961614466,-1.60270045461603,-0.0809752196792422,-0.0394589300231692,-0.0412683531660537,-17.8533196165668,-1.46689163612284,-16.3981070902863,-0.0352662688469781,-0.394235019811064,0.0855081564643068,-0.0895846988085386,-0.382730446006577,-0.0404667516497328,-0.000948651693378832,-0.000992152931945828
"176",2013-12-31,-1.39169759197359,-1.41068686434951,0.0114627928460367,-0.913344284980009,-0.486234624623981,-0.00358147521563891,0,166.493,162.552,1458.3,54.6,0.5,862.307,1212.348,2566.2,302.3,58.9,1028.8,1374.9,4024.5,356.9,59.4,1215.6,165.193,65.742,0.0151946724362093,1923,0.00566186967089788,0.00526821765045193,0.00755252975461618,17083.1,0.00973897909205124,0.00418914333189035,0.00554983576016088,11475.1,0.0040801844952989,NA,NA,NA,NA,NA,NA,NA,NA,-0.213282220009812,-0.072898161954469,-0.627163903015728,-0.274717589118244,-0.901881492133972,-1.09615966963135,-1.55042610660462,-10.5628833673411,10.2773251216113,-0.329822849173183,-0.00413466391359463,-1.63086906854468,-1.90176871525364,-6.81616026568918,1.06089869237625,-1.09202500571777,0.0804429619399798,-8.66111465208701,16.9926584545169,-1.3907215415494,1.67270108323832,0.60798922846793,1.06471185477034,-4.15343496241547,-1.94587282659058,-2.20756213582481,-16.473174843221,0.288175362654656,-16.7551824876792,-1.37628657369267,0.0334372774445422,-1.40971938373196,-0.150858003664338,-0.0188551057184459,-0.135131555652001,-20.4810532997552,-1.0351260637419,-19.4428837081177,-0.0245746215136337,-0.461587747615369,0.0397111013487881,-0.0986054701529607,-0.391084768396874,-0.032674012207296,-0.000447633484326883,-0.00320811826792574
"177",2014-03-31,-1.28115559202175,-1.2791549137672,-0.374104315282874,-0.247547023016271,-0.653892020125122,-0.00561223359748428,0,156.11,162.837,1478,56.4,0.5,890.89,1223.363,2632.3,336.4,58.2,1047,1386.2,4110.3,392.8,58.7,1211,164.41,65.276,-0.00260044970182816,1926.4,0.00791268235136133,0.00839645015683566,0.00562922921365794,17104.6,0.00822401698409925,0.00423575748394822,0.00398825950015103,11574.2,0.00468197879858656,NA,NA,NA,NA,NA,NA,NA,NA,-0.0671951174389655,-0.0260969954042073,-0.154254910173098,-0.467396428126047,-0.621651338299145,-1.22971353518256,9.025432912528,-0.960995614856984,49.9105703309388,32.7172599207634,-0.00445886814126739,-11.867740666888,-1.16459586819863,6.69526517918007,1.3130915989736,-1.22525466704129,20.8931735794163,0.203600253341165,43.2153051517594,31.4041683217897,4.77098008839018,-0.337996437879956,5.10897652627012,-5.83367376477976,-1.22790088694633,-4.60577287783342,-23.8193761664167,-1.65988508946753,-22.1533869938213,-2.80450121026943,-0.0972843944575809,-2.7072123484066,-0.239685869422959,-0.0154576143072618,-0.224168547447719,-27.9262569224987,-3.33852442305866,-24.581564241239,-0.0781713956614118,-0.575576194981917,0.111712279115387,-0.136595202622001,-0.557729596300829,-0.0656672667201955,-0.000361939327341333,-0.00524889621784615
"178",2014-06-30,-0.726130766103491,-1.13656339034181,-0.121661656026257,-0.101255840512937,-0.496887573256682,-0.00632569630761339,0,161.485,161.243,1490.3,55.1,0.5,915.615,1246.257,2655.3,360,58,1077.1,1407.4,4145.6,415.1,58.5,1209,172.485,67.164,0.00439112365717853,1944.2,0.0034352161997564,0.00319594863721728,0.00456325228404308,17432.9,0.00989365063046188,0.0042701075069187,0.00562354312354318,11756.9,0.00477739675840438,NA,NA,NA,NA,NA,NA,NA,NA,0.160132495570609,0.030667624061017,-0.292055960144563,0.0691384636053683,-0.222917496539195,-0.731088500374469,20.6272630342066,8.65834958740948,-1.88795678175757,18.7461403245811,-0.00452375213266154,3.96259410914041,-3.06726845205247,-1.07221130414769,-1.81027924056422,-0.726564748241806,16.6646689250664,11.8256180394615,-0.815745477609653,20.5564195651453,8.1603314243688,0.213241704409394,7.94708971995945,-2.88169028871155,-1.77178648581255,-1.08740380289898,-22.6900660683967,-1.89339536284439,-20.8026162383915,-3.56573676841817,-0.0117489220827508,-3.55065004559684,-0.27049626265801,0.00165886426627486,-0.272095419256306,-21.2476579638156,-3.46203020206401,-17.7656757861842,-0.0809613835357509,-0.415459602356892,0.190833610242129,-0.0673898317110379,-0.530619039752972,-0.0833866157271885,0.0000387934068326617,-0.00636309341946158
"179",2014-09-30,-0.221770189022486,-0.905188534780329,0.11353171146483,0.0592829282878082,-0.388106763944282,-0.0064780648308432,0,163.508,160.101,1515.6,57,0.5,947.692,1253.299,2692.7,330.1,57.7,1111.2,1413.4,4208.4,387.1,58.2,1228.2,167.408,68.84,0.00465493012725426,1962.7,0.00560460506974936,0.00576652203095018,0.0048312433233566,17721.7,0.00887606413511177,0.00432705361733587,0.0045490105177759,11915.4,0.00269334733485027,NA,NA,NA,NA,NA,NA,NA,NA,-0.156439614652631,0.0243422986255948,0.191380244314844,-0.0185656045622054,0.172814639752639,-0.710693455702888,26.5383261344004,-3.88051230010706,33.6962258126168,-30.9141684352525,-0.00351020047609307,0.889310552236196,-2.27399051073323,14.8374964609573,1.51317590753454,-0.707183255226795,25.6490155821641,-1.7072238294686,18.7587293516599,-32.427344342787,12.2941340942694,-1.94550864166263,14.239642735932,-1.51785938135152,-1.89171529790354,0.373697957530578,-23.8388132179996,-3.46021250244937,-20.3665054801376,-3.56969886685493,-0.189507844911257,-3.38354797299741,-0.282328640974016,0.00166558164930558,-0.280559514955343,-16.9145660129107,-7.48527870527749,-9.41727227462777,-0.171750625662454,-0.216080451895617,0.282090394467228,-0.0348274671764658,-0.546984453946264,-0.0819071724579371,0.0000382169724900751,-0.00643747202026842
"180",2014-12-31,-0.602620529684172,-0.707919269207974,0.469969003559706,-0.817878311373904,-0.24657071195907,-0.0081405099109031,0,169.588,160.109,1532.6,57.7,0.5,958.512,1263.991,2740,332.1,56.5,1128.1,1424,4272.6,389.8,57,1211.7,163.088,61.403,0.00132104245791598,1978.6,-0.000348924933987194,-0.000798924741289286,0.00176230018484991,17849.9,0.00500245970482616,0.004348676414758,0.000653783290068155,12044.5,-0.00127032766696078,NA,NA,NA,NA,NA,NA,NA,NA,-0.110920664002936,-0.177357242908231,-0.529600404462737,0.181691096648538,-0.347909307814199,-1.3791598971218,13.4793388714477,6.24906187986358,51.2450771297708,1.50837119972766,-0.00153917437389861,5.57666535294516,-0.48484671287099,12.3344546378382,0.524534121375559,-1.3776207227479,7.90267351850252,6.83390859273436,39.0109303268068,0.98383707835211,15.6758312143311,-0.323813396827412,15.9996446111586,2.26482829926953,-1.57290784736745,3.86007818761539,-26.1188670371342,-4.16806028584479,-21.9447484560616,-2.38526375555899,-0.131284271225265,-2.25397948433373,-0.360659186220128,0.00174905961216587,-0.358997451106226,-10.9241304653126,-6.19431674165275,-4.69800259272762,-0.139813149791561,-0.106039546831909,0.353822290510078,0.0511198880303702,-0.589534120025374,-0.0538382605632414,0.0000394783708598131,-0.00810300255858583
"181",2015-03-31,0.0755389520414412,-0.368745633192176,0.0205277356438936,0.0362439120935591,0.0250640333506635,-0.00629672904667505,0,160.808,160.753,1536.7,57.6,0.5,985.192,1290.947,2824.2,345.9,55.5,1146,1451.7,4361,403.5,56,1214.9,162.008,63.534,-0.00158121938206335,1973.2,-0.00840542248804288,-0.0101215336569215,-0.000296386947501337,18003.4,0.00409925102632525,0.00432984730988184,-0.000230596283556594,12099.1,-0.00427217647972655,NA,NA,NA,NA,NA,NA,NA,NA,-0.00303520931846234,0.0422037867633713,-0.00292466535134991,0.0596963130888026,0.0567716477374527,-1.00328723731886,17.8349415365017,27.6178767378585,88.1535956110774,13.6775199104054,-0.0000288354150776993,-8.78978028074431,0.634766381054533,4.01161368570365,-0.103327606899967,-1.00325840190378,26.6247218172462,26.8831045897214,84.0419819253739,13.7808475173053,17.6579706547252,0.368727690054927,17.2892429646703,8.69507457863052,-1.16805134128549,9.86296666330093,-22.8009353841145,-2.06111536130557,-20.733807347027,-2.15264366745056,-0.138496230771195,-2.01414743667937,-0.280989959525612,-0.00143713691682473,-0.279552822608787,1.11847622226502,-3.00037238022415,4.12470202165612,-0.0672356120812811,0.0924308152237518,0.395699038195737,0.194848701194528,-0.510948193191324,-0.0482387838016026,-0.0000322049292561804,-0.00626452411741885
"182",2015-06-30,0.296095959600405,-0.113188951766202,0.352829411697635,-0.0545571945723657,0.0034273788640193,-0.00560363638888362,0,174.49,161.101,1564,57.5,0.5,994.91,1303.399,2858.2,351,55.9,1169.4,1464.5,4422.2,408.5,56.4,1219.6,165.49,62.907,0.00194321913682205,2011,0.0065453991932416,0.00701307587045763,0.00438974005852999,18223.6,0.0100272524151601,0.00432828841569832,0.00569896399946179,12255.5,0.00492433107106627,NA,NA,NA,NA,NA,NA,NA,NA,0.0365399481148763,-0.0262370712439122,-0.0648600714433298,0.363132288568599,0.298272217125269,-0.118146691258822,12.7964980681679,-0.632027708935993,20.8493264182198,1.26656803709051,-0.0046263097433823,12.1941047655723,-1.13938634035591,13.0814996346887,-0.63295088243764,-0.113520381515436,0.602393302595488,0.507358631419265,7.8687520454796,1.89951891952813,15.8960485373665,2.22081758775209,13.6752309496144,6.60473968695279,-0.734277866153759,7.31635829649144,-20.3114468412482,-2.47853998114313,-17.8329867456645,-1.78286893306078,-0.11763897355013,-1.66522995951065,-0.252211268409068,-0.00153355996686357,-0.250677708442204,0.154261181601213,-1.11117279306179,1.24269483248849,-0.0246880654334579,0.027610225457158,0.353178811499305,0.1467442746804,-0.451280243537292,-0.0396118273895103,-0.0000340726744251324,-0.00556956371445847
