date,strealstructures
01-01-2009,288.7
04-01-2009,294.7
07-01-2009,293.3
10-01-2009,282.4
01-01-2010,273.6
04-01-2010,284.2
07-01-2010,285.6
10-01-2010,274.5
01-01-2011,265.7
04-01-2011,261.4
07-01-2011,258.6
10-01-2011,257.9
01-01-2012,249.2
04-01-2012,247.1
07-01-2012,240.5
10-01-2012,233.4
01-01-2013,228.6
04-01-2013,233.7
07-01-2013,233
10-01-2013,231.2
01-01-2014,223.6
04-01-2014,232.1
