date,fim_bars,fim_bars_ma,state_local_cont,federal_cont,taxes_transfers_cont,subsidies_cont,recession,gdp,gdppot,gdppoth,pi_gdp,pce,pi_pce,state_health_outlays,state_social_benefits,state_noncorp_taxes,state_corporate_taxes,state_subsidies,federal_health_outlays,federal_social_benefits,federal_noncorp_taxes,federal_corporate_taxes,federal_subsidies,health_outlays,social_benefits,noncorp_taxes,corporate_taxes,subsidies,federal_nom,federal_cgrants,federal_igrants,pi_federal,state_local_nom,pi_state_local,pi_state_local_c,pi_state_local_i,federal_nom_pi,state_local_nom_pi,federal_cgrants_pi,federal_igrants_pi,add_state_health_outlays,add_state_social_benefits,add_state_noncorp_taxes,add_state_corporate_taxes,add_federal_health_outlays,add_federal_social_benefits,add_federal_subsidies,add_federal_cgrants,federal_nom_cont,state_local_nom_cont,federal_cgrants_cont,federal_igrants_cont,federal_cont_0,state_local_cont_0,purchases_cont,subsidies_net,health_outlays_net,social_benefits_net,noncorp_taxes_net,corporate_taxes_net,federal_subsidies_net,federal_health_outlays_net,federal_social_benefits_net,federal_noncorp_taxes_net,federal_corporate_taxes_net,state_subsidies_net,state_health_outlays_net,state_social_benefits_net,state_noncorp_taxes_net,state_corporate_taxes_net,health_outlays_net_xmpc,federal_health_outlays_net_xmpc,state_health_outlays_net_xmpc,social_benefits_net_xmpc,federal_social_benefits_net_xmpc,state_social_benefits_net_xmpc,corporate_taxes_net_xmpc,federal_corporate_taxes_net_xmpc,state_corporate_taxes_net_xmpc,noncorp_taxes_net_xmpc,federal_noncorp_taxes_net_xmpc,state_noncorp_taxes_net_xmpc,subsidies_net_xmpc,federal_subsidies_net_xmpc,state_subsidies_net_xmpc,transfers_net_taxes,state_transfers_net_taxes,federal_transfers_net_taxes,health_cont,social_benefits_cont,federal_taxes_transfers_cont,state_taxes_transfers_cont,corporate_cont,noncorp_cont,federal_subsidies_cont,state_subsidies_cont
1970-03-31,NA,NA,NA,NA,NA,NA,1,1051.2,0.02244681874804888,0.008024193548387126,0.014422625199661754,631.7,0.01106259097525486,2.31379962,12.3,85.69999999999999,3.8,0,9.686200379999999,38.7,153.6,27,4.7,12,51,239.29999999999998,30.8,4.7,133.6,13.913799620000002,5.576,0.013207849847601816,114.3,0.021158616664234797,0.01991454295742412,0.0251411589895989,0.013207849847601816,0.021158616664234797,0.01991454295742412,0.0251411589895989,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1970-06-30,NA,NA,-0.17228279960922005,-1.6816731383690096,NA,NA,1,1067.4,0.02244681874804888,0.008024193548387126,0.014422625199661754,641.6,0.01106259097525486,2.4526275972,13.843999999999998,87.6,3.7,0,10.0473724028,46.756,154.9,27,4.8,12.5,60.599999999999994,242.5,30.7,4.8,131.8,15.052627597199999,5.228,0.013207849847601816,117.4,0.021158616664234797,0.01991454295742412,0.0251411589895989,0.013207849847601816,0.021158616664234797,0.01991454295742412,0.0251411589895989,0,0,0,0,0,0,0,0,-1.764307837786951,-0.0896481001912785,0.2854238949094979,-0.20278919549155633,-1.764307837786951,-0.0896481001912785,-1.8539559379782296,0.010292112738881976,0.27095858571629705,8.62657398929425,-1.3674675365075188,-0.687872963328175,0.010292112738881976,0.17629360329412336,7.317341438935053,-1.6317301028313977,-0.5153431821383343,0,0.09466498242217503,1.3092325503591997,0.2642625663238931,-0.17252978118983897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1970-09-30,NA,NA,0.5898498110125849,-0.9188321644181603,NA,NA,1,1086.1,0.01585740732458918,0.007660306412256457,0.008197100912332722,653.5,0.009741817832805477,2.5914555744,15.164000000000003,89.69999999999999,3.8,0,10.3085444256,45.436,150.4,27.9,4.7,12.899999999999999,60.6,240.1,31.7,4.7,132.4,16.1914555744,4.816,0.017046654000422157,122.2,0.01807659331237499,0.017655420064337513,0.019364564007421148,0.017046654000422157,0.01807659331237499,0.017655420064337513,0.019364564007421148,0,0,0,0,0,0,0,0,-0.9954571416117827,0.6664747882062073,0.2839646895991214,-0.207339712405499,-0.9954571416117827,0.6664747882062073,-0.32898235340557536,-0.18353019637629675,0.18247344693672396,-1.0545687292507466,-6.6200151294275145,0.465754785676598,-0.18353019637629675,0.08632639991006563,-2.1336537212021156,-7.195589045560098,0.43014264538332725,0,0.09614704702665788,1.079084991951369,0.5755739161325693,0.03561214029327031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1970-12-31,NA,NA,-0.06952847766451278,-0.5836825422086698,NA,NA,1,1088.6,0.02045529737721008,0.007363887179690609,0.01309141019751947,660.2,0.012974668504348585,2.7302835516,16.536,91.5,3.6,0,10.669716448400001,47.364,151,26.6,4.8,13.4,63.9,242.5,30.200000000000003,4.8,133.5,16.6302835516,4.9,0.012713403559752923,125.2,0.01894869815425637,0.01683452179666256,0.025366852462745948,0.012713403559752923,0.01894869815425637,0.01683452179666256,0.025366852462745948,0,0,0,0,0,0,0,0,-0.5738820712281865,-0.07932894864499607,0.017317194839597497,-0.027117665820080784,-0.5738820712281865,-0.07932894864499607,-0.6532110198731825,0.0044087882850156745,0.237632631675897,2.0674835255472246,-2.4832872197378038,-2.1447322151840424,0.0044087882850156745,0.15151111797854355,1.003897383939993,-2.4589187748794927,-1.8674457035846892,0,0.0861215136973521,1.063586141607228,-0.024368444858311022,-0.2772865115993488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1971-03-31,NA,NA,-0.22569834978974873,-1.8904579124005148,NA,NA,0,1135.2,0.02243431137563623,0.007290353089533408,0.015143958286102821,679.2,0.009477338838322247,2.6716952952,17.324,94.1,4.1,0,11.3283047048,47.976,152.6,29.9,4.7,14,65.3,246.7,34,4.7,133.3,16.9716952952,5.464,0.031666325066612044,128.6,0.022728838074247637,0.024652978600346875,0.016862658087419602,0.031666325066612044,0.022728838074247637,0.024652978600346875,0.016862658087419602,0,0,0,0,0,0,0,0,-1.9844631761327989,-0.13169308605746452,-0.06974643394654384,0.16375169767882805,-1.9844631761327989,-0.13169308605746452,-2.1161562621902634,-0.18048492125370696,0.3753129281667338,0.3285444858100277,0.13383470749499793,3.2936157037787552,-0.18048492125370696,0.47968173803565506,-0.18218496047095556,-0.9319214811062011,2.853979394719037,0,-0.10436880986891994,0.5107294462809797,1.065756188601199,0.4396363090597193,0.23993495831152165,0.20110789332413723,0.03882706498738464,2.2428074860651703,1.3512150317704443,0.8915924542947248,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.482742444376692,0.9304195192821094,1.5523229250945816,0.9122698674909763,0.34187746436968935,NA,NA,NA,NA,NA,NA
1971-06-30,NA,NA,-0.5706963922457756,-0.28968600190492894,NA,NA,0,1156.3,0.020773953087648067,0.007374515864011499,0.013399437223636568,693.2,0.011386874883807518,2.8440627336,18.2,97,4.2,0,11.7559372664,54.2,154,30.7,4.8,14.6,72.4,251,34.9,4.8,134.3,18.3440627336,6.312,0.01867487831528769,131.9,0.018048353424473085,0.01869752346010034,0.015982980580405703,0.01867487831528769,0.018048353424473085,0.01869752346010034,0.015982980580405703,0,0,0,0,0,0,0,0,-0.8711713333687793,0.010788939218074629,0.3276535346253358,0.2538317968385145,-0.8711713333687793,0.010788939218074629,-0.8603823941507045,0.011821463485250483,0.3373405295305343,5.874881184167421,-0.3284350974869312,0.2621127145741511,0.011821463485250483,0.2150978105228898,5.323903517482641,-1.462988228117183,0.2390344166402123,0,0.12224271900764272,0.5509776666847799,1.1345531306302377,0.023078297933942338,0.25487089566972504,0.20983883995060967,0.04503205571911487,1.6236766049116336,0.9026914994436517,0.7209851054679802,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8785475005813586,0.7660171611870951,1.1125303393942614,0.661926532974404,0.2699144331173696,NA,NA,NA,NA,NA,NA
1971-09-30,NA,NA,0.14477911422866332,-0.8981537526957727,NA,NA,0,1177.7,0.017466542144904063,0.007417619759607197,0.010048922385296866,705.6,0.009834106888470195,2.9733383124000006,18.384000000000004,100,4.4,0,12.026661687599999,53.41600000000001,155.7,29.8,4.5,15,71.80000000000001,255.7,34.2,4.5,135.6,18.4733383124,5.756,0.014480741101901451,134.2,0.014090097241516109,0.01509904418894581,0.01089932885906042,0.014480741101901451,0.014090097241516109,0.01509904418894581,0.01089932885906042,0,0,0,0,0,0,0,0,-0.5676554055870022,-0.18571923288010714,-0.09816536096986891,-0.23233298613890152,-0.5676554055870022,-0.18571923288010714,-0.7533746384671094,-0.3828082879107715,0.14812479093806985,-1.8490250093207976,0.36981661133256694,-1.302085260017897,-0.3828082879107715,0.06791420498812073,-1.7190435843257887,-0.9567659038039267,-1.4296280080959747,0,0.08021058594994956,-0.1299814249950053,1.3265825151364936,0.12754274807807509,0.24714244807002786,0.20569609609317205,0.0414463519768555,1.4449239418958721,0.9959787802408252,0.44894516165504605,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6920663899659,0.49039151363190153,1.2016748763339973,0.5853381959581079,0.16964162021340534,NA,NA,NA,NA,NA,NA
1971-12-31,NA,NA,0.07179906051702961,-1.4135101142813034,NA,NA,0,1190.3,0.015788716448123852,0.007497927950502081,0.00829078849762177,721.7,0.006188850967007831,3.1457057508000004,18.72,103.2,4.5,0,12.4542942492,54.17999999999999,158.2,30.1,4.6,15.600000000000001,72.89999999999999,261.4,34.6,4.6,134.7,19.5457057508,5.644,0.020329696736675285,137.4,0.010958904109588996,0.009074781659388576,0.01726152538772041,0.020329696736675285,0.010958904109588996,0.009074781659388576,0.01726152538772041,0,0,0,0,0,0,0,0,-1.5873060737305755,0.2455950199663018,0.2602408650839189,-0.08644490563464674,-1.5873060737305755,0.2455950199663018,-1.3417110537642738,0.03840949487120504,0.39469831623735274,0.11728927372276132,2.200290630792722,-0.06808783897884041,0.03840949487120504,0.26302630196613386,0.03290701734227497,0.36896852254369605,-0.10786601174179467,0,0.13167201427121888,0.08438225638049346,1.8313221082490116,0.03977817276295603,0.2824822270963554,0.2307870124903799,0.05169521460597553,1.0061302352353678,0.7775059477563387,0.22862428747903074,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2886124623317232,0.2803195020850063,1.0082929602467186,0.43767087113245245,0.09520913716056933,NA,NA,NA,NA,NA,NA
1972-03-31,NA,NA,-0.19026746207089945,-0.002729872391056553,NA,NA,0,1230.6,0.023631788130594966,0.00757604744595386,0.016055740684641107,738.9,0.01053774139568553,3.5341111416000004,19.331999999999997,107.2,5,0,12.7658888584,55.768,175.8,31.8,6.1,16.3,75.1,283,36.8,6.1,141.4,20.1341111416,5.668,0.041168158266603694,140.8,0.022325461349851583,0.02515383054973297,0.012791729755129877,0.041168158266603694,0.022325461349851583,0.02515383054973297,0.012791729755129877,0,0,0,0,0,0,0,0,0.045082917085947805,-0.23808025154790383,-0.017247138961028086,-0.030565650515976272,0.045082917085947805,-0.23808025154790383,-0.192997334461956,1.416676571328459,0.41742489407042527,0.8795047934444966,16.865055596795514,1.5732629060792718,1.416676571328459,0.086000152998346735,0.606594920559985,14.734398605252665,1.1547749558666531,0,0.3314247410720781,0.2729098728845081,2.1306569915428213,0.4184879502126231,0.291957419424686,0.1422086558569855,0.1497487635677001,1.1300963044531234,0.9549814209883003,0.17511488346482462,NA,NA,NA,-1.6701083274506563,-0.9341292431576653,-0.7359790842929848,NA,NA,NA,-0.24805460357284692,-0.41111543726046007,0.16306083368762048,-0.08335868388569165,-0.13815523389413092,NA,NA,-0.5612394614637172,NA,NA,NA
1972-06-30,NA,NA,-2.786283951256035,2.449206972946992,NA,NA,0,1266.4,0.013704828847028061,0.007614020430638302,0.006090808416389759,757.4,0.005773361976369351,3.6247293760000003,19.792,110.8,5,0.1,13.075270623999998,55.30800000000001,178.6,32,6.2,16.7,75.10000000000001,289.4,37,6.3,144.2,28.324729376000004,5.216,0.010088671733623045,142.2,0.011802575107296098,0.013125783259679391,0.007011032065161293,0.010088671733623045,0.011802575107296098,0.013125783259679391,0.007011032065161293,0,0,0,0,0,0,0,0,0.09648604842302294,-0.43356302673206587,2.5265856401248765,-0.1738647156009076,0.09648604842302294,-0.43356302673206587,-0.3370769783090428,0.11833696731725318,0.1817856667657729,-1.005392418766263,2.61137077881682,-0.2926556725778795,0.01833696731725354,0.13847992968723943,-1.206587542073997,0.44649817284803817,-0.225718760542847,0.1,0.043305737078534356,0.20119512330773404,2.1648726059687675,-0.06693691203503782,0.2569575753026147,0.12496963266896417,0.1319879426336507,-0.4179652562069556,-0.5143790674119434,0.0964138112049893,NA,NA,NA,-1.9335034352515623,-1.063474718716692,-0.8700287165348627,NA,NA,NA,-2.0945111161559034,-0.6416269626962227,-1.4528841534596713,-0.6808097240877307,-0.20855743952420694,NA,NA,-0.6284750317736266,NA,NA,NA
