"","date","cpiu_g.x","pcw_g","gftfp_g","gfrpt_g","gfrpri_g","gfrcp_g","gfrs_g","yptmr_g","yptmd_g","gfrptb_g","gsrpt_gdp","gsrpri_gdp","gsrcp_gdp","gsrs_gdp","jgf_g","jgs_g","jc_g","gdp_g","gdph_g","gdppothq_g","gdppotq_g","dc_g","jgdp_g","c_g","ch_g","gh_g","gfh_g","gsh_g","g_g","gf_g","gs_g","cpiu_g.y","gsrpt_g","gsrpri_g","gsrcp_g","gsrs_g","gdp","c","ch","gdph","jc","jgdp","jgf","jgs","jgse","jgsi","ptgh","ptgsh","ptgfh","yptmr","yptmd","yptu","gtfp","ypog","yptx","ytpi","yctlg","g","gfrcf","grcsi","dc","gf","gs","gfh","gsh","gfrpt","gfrpri","gfrcp","gfrs","gftfp","gfeg","gsrpt","gsrpri","gsrcp","gsrs","gstfp","gset","gfeghhx","gfeghdx","gfeigx","pcw","gdppothq","gdppotq","recessq","fshare","gstfp_g","gstfpnet_g","gftfpnet_g","gfeghhx_g","gfeghdx_g","gfeg_g","gfeigx_g","jgsi_g","jgse_g","gfsave","gssave","gfrptsave","yfptmd","ysptmd","gfegnet","gstfpnet","gftfpnet","yptxb"
"11",1972-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1290.6,775.8,3422.7,5415.7,22.671,23.835,22.51,16.275,15.599,19.805,-1.72,0.36,-2.08,8.9,8.6,5.8,92.9,1.8,124.3,108.9,38.3,284.3,3.2,59.9,22.666,138.8,145.6,616.3,894.4,103.1,18.5,33.1,58.5,70.3,25.6,21.2,90.4,5.2,1.3,22.5,172.5,NA,NA,6.724,42.2,5341.1,1273,-1,0.546908828,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.8,145.6,103.1,4.7034159208,3.8965840792,20.8965840792,17.7965840792,75.0034159208,NA
"12",1972-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1328.9,800.5,3503,5506.4,22.855,24.105,22.999,16.499,15.793,20.175,0.77,0.62,0.14,9.2,8.5,5,103.1,1.9,127.1,111.5,42.4,291.7,3.3,60.8,22.852,142.2,149.6,617.9,906.7,105.3,19,36.6,59.4,80.6,39.3,21.8,92.5,5.7,1.4,22.5,176.8,NA,NA,5.7,42.6333333333333,5381.1,1297.1,-1,0.546908828,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.2,149.6,105.3,4.648725038,3.851274962,34.651274962,17.851274962,85.248725038,NA
"13",1973-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1377.5,825,3567,5642.7,23.131,24.412,23.37,16.824,16.105,20.564,0.84,0.22,0.62,9.5,9,4.6,105.4,1.8,126.4,114.6,45.3,299.6,3.7,74.1,23.129,146.4,153.2,625.9,910.9,104.5,19.5,39.3,72.7,82.2,34.3,21.9,95.1,6,1.4,23.2,181.7,NA,NA,5.74,43.2666666666667,5422.8,1323.8,-1,0.523506314,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.4,153.2,104.5,4.711556826,4.288443174,29.588443174,18.488443174,86.911556826,NA
"14",1973-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1413.9,840.5,3565.3,5704.1,23.576,24.816,23.777,17.123,16.377,20.997,-0.59,0.07,-0.66,10,9.6,4.5,107.6,1.8,129.2,116.2,45.4,302.7,4.2,75.3,23.575,146.5,156.2,615.8,912.4,106.9,19.9,39.4,73.8,83.6,33.4,22.3,96.3,6.1,1.5,24,185.7,NA,NA,6.208,44.1666666666667,5466.9,1356.7,-1,0.523506314,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.5,156.2,106.9,5.0256606144,4.5743393856,28.3743393856,18.9743393856,88.6256606144,NA
"15",1973-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1433.8,858.9,3577.9,5674.1,24.005,25.29,24.269,17.353,16.567,21.425,-1,0.46,-1.46,10.5,9.7,4.5,109.2,1.8,134.1,118.4,43.4,304.2,4.6,76.6,24.005,144.2,159.9,594,921.9,111,19.7,37.6,75.1,85.1,32.6,23.1,98.7,5.9,1.5,24.2,190,NA,NA,5.344,45.0666666666667,5512.6,1394.1,-1,0.523506314,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.2,159.9,111,5.0780112458,4.6219887542,27.5219887542,19.1219887542,90.1780112458,NA
"16",1973-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1476.3,873.9,3567.2,5728,24.496,25.728,24.788,17.682,16.845,22,0.63,0.55,0.09,11,10.1,4.7,112.3,1.9,140,119.7,45.6,312.6,4.9,78.1,24.498,147.6,165,595.4,933.1,116,20.1,39.4,76.6,87.3,33.6,24,99.6,6.1,1.6,25,195.9,NA,NA,5.92,46.1666666666667,5560,1430.5,1,0.523506314,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.6,165,116,5.2874137714,4.8125862286,28.3125862286,19.7125862286,92.5874137714,NA
"17",1974-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1491.2,891.9,3535.3,5678.7,25.225,26.249,25.042,18.195,17.254,23.02,1.52,0.57,0.95,11.7,10.2,5.8,117.5,1.9,142.8,120.8,43.7,324.6,5.1,83.7,25.227,152.7,171.9,609.7,944.9,119.5,19.8,37.4,82.1,94.1,33.3,23.3,101,6.3,1.6,23.4,201.1,NA,NA,7.76,47.5666666666667,5609.4,1472.4,1,0.566874379,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.7,171.9,119.5,5.7821186658,4.4178813342,27.5178813342,17.6178813342,99.8821186658,NA
"18",1974-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1530.1,920.4,3548,5692.2,25.939,26.832,25.494,18.828,17.718,24.467,0.43,0.58,-0.14,12.4,11.1,6.7,125.4,2,148.9,124.1,45.9,335,5.5,85.3,25.942,154.9,180.1,607.6,956.6,124.8,20.1,39.3,83.6,100.7,34.1,24.1,104,6.6,1.6,24.7,210.1,NA,NA,8.572,48.7666666666667,5660.8,1518.9,1,0.566874379,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.9,180.1,124.8,6.2923056069,4.8076943931,27.8076943931,18.4076943931,106.9923056069,NA
"19",1974-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1560,949.3,3563.3,5638.4,26.639,27.659,26.239,19.515,18.226,26.031,0.2,-0.08,0.28,13.1,11.4,6.9,132.2,2.1,154.9,127.1,50.8,346.7,5.8,86.9,26.64,160.4,186.3,611.5,954.8,129.7,20.2,43.5,85.2,106.4,35.4,25.2,106.8,7.3,1.7,25.9,217,NA,NA,6.496,50.2333333333333,5712.8,1580.1,1,0.566874379,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.4,186.3,129.7,6.4623679206,4.9376320794,28.9376320794,19.4376320794,112.8623679206,NA
"20",1974-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1599.7,959.1,3511.2,5616.5,27.316,28.498,27.11,20.089,18.703,27.113,0.45,0.03,0.42,13.8,12,8.6,139.1,2.2,157.6,127.7,44.6,359.2,5.8,87.1,27.315,167.4,191.9,617.6,955.2,132,20.2,38.1,85.4,112,36.8,25.6,107.5,6.5,1.7,27.1,223.7,NA,NA,7.84,51.7666666666667,5764.8,1642.8,1,0.566874379,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.4,191.9,132,6.802492548,5.197507452,29.997507452,20.297507452,118.802492548,NA
