calendar_date,gdp,gdppot,gdph,gdppoth,jc,jgdp,hpx,yp,c,ch,g
2017,19485,19615,18051,18173,106.1,107.9,245.4,16831,13321,12559,1256.1
2018,20503,20428,18574,18511,108.3,110.4,261.4,17580,13957,12893,1304.5
2019,21478,21294,19070,18906,110.3,112.6,272,18464,14661,13294,1377.3
2020,22326,22183,19431,19307,112.7,114.9,279.7,19351,15328,13605,1350.3
2021,23145,23096,19740,19698,115.1,117.2,287.2,20207,15913,13827,1363.9
2022,23996,24038,20056,20091,117.5,119.6,295.3,21081,16548,14079,1383.5
2023,24907,25018,20393,20484,120,122.1,304.9,21977,17231,14359,1407.4
2024,25894,26025,20768,20873,122.5,124.7,315,22909,17950,14658,1437.3
2025,26909,27050,21146,21256,124.9,127.3,325.1,23862,18695,14967,1468.6
2026,27926,28096,21504,21635,127.4,129.9,335.4,24847,19440,15260,1501.2
2027,29018,29175,21898,22016,129.9,132.5,345.4,25866,20225,15566,1536.6
2028,30144,30296,22293,22405,132.5,135.2,356.5,26985,21032,15871,1575.5
2029,31299,31456,22684,22798,135.2,138,368.2,28164,21857,16171,
