year,quarter,impact,recession,total,federal,state_local,consumption,projection
2015,Q3,-0.048755023,0,0.035965526,-0.041232006,0.056736085,0.020461447,0
2015,Q4,0.076106623,0,-0.103173947,0.130571475,-0.173991651,-0.059753772,0
2016,Q1,0.135937331,0,0.314861783,-0.009520454,0.361869912,-0.037487675,0
2016,Q2,-0.056879456,0,-0.475171186,-0.202873026,-0.19801406,-0.0742841,0
2016,Q3,-0.088665258,0,-0.09117768,-0.059432766,0.105409075,-0.137153989,0
2016,Q4,-0.112657193,0,-0.199141687,-0.146908239,0.052400412,-0.10463386,0
2017,Q1,-0.244424942,0,-0.212209216,-0.284281231,0.011025583,0.061046432,0
2017,Q2,-0.108196964,0,0.069740728,0.110151772,-0.122913814,0.08250277,0
2017,Q3,-0.143430487,0,-0.232111775,-0.36425097,0.108619341,0.023519853,0
2017,Q4,-0.084681661,0,0.035853619,0.223756988,-0.027124509,-0.160778859,0
2018,Q1,-0.027417919,0,0.016845753,-0.013114197,-0.038367609,0.068327559,0
2018,Q2,0.061835018,0,0.426752474,0.007741184,0.182030642,0.236980648,0
2018,Q3,0.160177997,0,0.161260143,0.183216472,-0.065527887,0.043571558,0
2018,Q4,0.047200866,0,-0.416054904,-0.031962923,-0.447297013,0.063205032,0
2019,Q1,0.095375697,0,0.209545075,-0.126141544,0.234931818,0.100754801,0
2019,Q2,0.14000422,0,0.605266567,0.43627846,0.102393532,0.066594575,0
2019,Q3,0.20386349,0,0.416697225,0.169850903,-0.117298133,0.364144454,0
2019,Q4,0.430857778,1,0.491922245,0.343710892,-0.246696226,0.394907579,0
2020,Q1,0.394122352,1,0.06260337,-0.023518145,-0.072496638,0.158618153,0
2020,Q2,3.769437377,1,14.10652667,0.573006464,-0.414142991,13.9476632,0
2020,Q3,5.297199238,0,6.527744668,3.362311399,-6.033488511,9.19892178,1
2020,Q4,5.783141957,0,2.435693121,-0.092964403,1.564363102,0.964294421,1
2021,Q1,5.984483645,0,0.86797012,-0.457666682,0.771572234,0.554064567,1
2021,Q2,2.413293603,0,-0.178233497,-0.519032562,0.716455363,-0.375656298,1
2021,Q3,-0.026252248,0,-3.230438736,-0.133685779,0.186635147,-3.283388104,1
2021,Q4,-1.081608993,0,-1.785733861,-1.091581949,1.091818998,-1.78597091,1
