,date,usphpip,casusxam,fnmfhfa,pcu,yp,gdp,c,ch,gdph,jc,jgdp,jgf,jgs,ptgh,ptgsh,ptgfh,yptmr,yptmd,gtfp,ypog,yptx,ytpi,yctlg,g,gfrcf,grcsi,dc,gf,gs,gfh,gsh,gfrpt,gfrpri,gfrcp,gfrs,gftfp,gfeg,gsrpt,gsrpri,gsrcp,gsrs,gstfp,gset,gdppothq,gdppotq,recessq,gftfp_g,gfrpt_g,gfrpri_g,gfrcp_g,gfrs_g,gfcexp_g,gfsubs_g,gfintpmt_g,yptmr_g,yptmd_g,gfrptb_g,gf_gdp,gf_gdpalt,gdp_g,gdph_g,gdppothq_g,gdppotq_g,dc_g,jgdp_g,c_g,ch_g,gh_g,gfh_g,gsh_g,g_g,gf_g,gs_g,gfb_g,gfhb_g,fshare,gfrcf_g,gsrpt_g,gsrpri_g,gsrs_g,gstfp_g,gsrcp_g,gfeg_g,jgs_g,jgf_g,jc_g,gfrptb,gfb,gssave,yfptmd,gfegnet,yptxb,deficit,deficitb,hpx
11,9/30/1972,NA,NA,NA,41.93333333,1030.1,1290.6,775.8,3422.7,5415.7,22.671,23.835,22.51,16.275,-1.72,0.36,-2.08,8.9,8.6,92.9,1.8,124.3,108.9,38.3,284.3,3.2,59.9,22.666,159.6960183,124.7039817,616.3,894.4,103.1,18.5,33.1,58.5,70.3,25.6,21.2,90.4,5.2,1.3,22.5,172.5,5341.2,1273.1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.546974618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.1,138.8,145.6,4.703981715,20.89601828,NA,-16.79601828,4.1,NA
12,12/31/1972,NA,NA,NA,42.36666667,1077,1328.9,800.5,3503,5506.4,22.855,24.105,22.999,16.499,0.77,0.62,0.14,9.2,8.5,103.1,1.9,127.1,111.5,42.4,291.7,3.3,60.8,22.852,176.8507157,114.9492843,617.9,906.7,105.3,19,36.6,59.4,80.6,39.3,21.8,92.5,5.7,1.4,22.5,176.8,5381.2,1297.1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.546974618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.3,142.2,149.6,4.649284254,34.65071575,NA,-37.15071575,-2.5,NA
13,3/31/1973,NA,NA,NA,43.03333333,1095.1,1377.5,825,3567,5642.7,23.131,24.412,23.37,16.824,0.84,0.22,0.62,9.5,9,105.4,1.8,126.4,114.6,45.3,299.6,3.7,74.1,23.129,175.9884432,123.6115568,625.9,910.9,104.5,19.5,39.3,72.7,82.2,34.3,21.9,95.1,6,1.4,23.2,181.7,5422.8,1323.8,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.523506314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.5,146.4,153.2,4.711556829,29.58844317,NA,-22.18844317,7.4,NA
14,6/30/1973,NA,NA,NA,43.93333333,1124.9,1413.9,840.5,3565.3,5704.1,23.576,24.816,23.777,17.123,-0.59,0.07,-0.66,10,9.6,107.6,1.8,129.2,116.2,45.4,302.7,4.2,75.3,23.575,174.8743394,127.8256606,615.8,912.4,106.9,19.9,39.4,73.8,83.6,33.4,22.3,96.3,6.1,1.5,24,185.7,5466.9,1356.7,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.523506314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.9,146.5,156.2,5.025660618,28.37433938,NA,-18.47433938,9.9,NA
15,9/30/1973,NA,NA,NA,44.8,1152.5,1433.8,858.9,3577.9,5674.1,24.005,25.29,24.269,17.353,-1,0.46,-1.46,10.5,9.7,109.2,1.8,134.1,118.4,43.4,304.2,4.6,76.6,24.005,171.7219888,132.3780112,594,921.9,111,19.7,37.6,75.1,85.1,32.6,23.1,98.7,5.9,1.5,24.2,190,5512.6,1394.1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.523506314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,144.2,159.9,5.078011249,27.52198875,NA,-13.42198875,14.1,NA
16,12/31/1973,NA,NA,NA,45.93333333,1190.7,1476.3,873.9,3567.2,5728,24.496,25.728,24.788,17.682,0.63,0.55,0.09,11,10.1,112.3,1.9,140,119.7,45.6,312.6,4.9,78.1,24.498,175.9125862,136.6874138,595.4,933.1,116,20.1,39.4,76.6,87.3,33.6,24,99.6,6.1,1.6,25,195.9,5560,1430.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.523506314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,147.6,165,5.287413775,28.31258623,NA,-11.11258623,17.2,NA
17,3/31/1974,NA,NA,NA,47.3,1206.8,1491.2,891.9,3535.3,5678.7,25.225,26.249,25.042,18.195,1.52,0.57,0.95,11.7,10.2,117.5,1.9,142.8,120.8,43.7,324.6,5.1,83.7,25.227,180.2184035,144.3815965,609.7,944.9,119.5,19.8,37.4,82.1,94.1,33.3,23.3,101,6.3,1.6,23.4,201.1,5609.4,1472.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.566823189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.5,152.7,171.9,5.781596532,27.51840347,NA,-15.51840347,12,NA
18,6/30/1974,NA,NA,NA,48.56666667,1232.9,1530.1,920.4,3548,5692.2,25.939,26.832,25.494,18.828,0.43,0.58,-0.14,12.4,11.1,125.4,2,148.9,124.1,45.9,335,5.5,85.3,25.942,182.7082626,152.2917374,607.6,956.6,124.8,20.1,39.3,83.6,100.7,34.1,24.1,104,6.6,1.6,24.7,210.1,5660.8,1518.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.566823189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.8,154.9,180.1,6.291737403,27.8082626,NA,-15.6082626,12.2,NA
19,9/30/1974,NA,NA,NA,49.93333333,1269.1,1560,949.3,3563.3,5638.4,26.639,27.659,26.239,19.515,0.2,-0.08,0.28,13.1,11.4,132.2,2.1,154.9,127.1,50.8,346.7,5.8,86.9,26.64,189.3382156,157.3617844,611.5,954.8,129.7,20.2,43.5,85.2,106.4,35.4,25.2,106.8,7.3,1.7,25.9,217,5712.8,1580.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.566823189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.7,160.4,186.3,6.46178436,28.93821564,NA,-17.13821564,11.8,NA
20,12/31/1974,NA,NA,NA,51.46666667,1298.5,1599.7,959.1,3511.2,5616.5,27.316,28.498,27.11,20.089,0.45,0.03,0.42,13.8,12,139.1,2.2,157.6,127.7,44.6,359.2,5.8,87.1,27.315,197.3981217,161.9018783,617.6,955.2,132,20.2,38.1,85.4,112,36.8,25.6,107.5,6.5,1.7,27.1,223.7,5764.8,1642.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.566823189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,167.4,191.9,6.801878273,29.99812173,NA,-33.69812173,-3.7,NA
21,3/31/1975,NA,25.4,NA,52.56666667,1318.4,1616.1,985.2,3540.6,5548.2,27.83,29.142,27.603,20.493,1.03,1.44,-0.4,14.5,13.3,149.8,2.3,158,128.8,37.6,370.1,5.5,88.2,27.825,200.5714488,169.5285512,611.1,983.4,132.3,19.8,31.5,86.5,120.5,39.3,25.7,109,6.1,1.8,29.2,235.9,5815.5,1694.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55101889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.3,168.6,201.5,7.328551242,31.97144876,NA,-50.97144876,-19,25.4
22,6/30/1975,NA,25.40666667,NA,53.2,1350,1651.9,1013.6,3598.9,5587.8,28.172,29.565,28.003,20.899,-0.74,-0.35,-0.39,15.2,13.8,164.6,2.4,121.1,133,40.8,373.4,5.4,88.6,28.164,206.0959393,167.3040607,605,976.4,94.6,21.3,34.2,86.8,134.2,44.3,26.5,111.7,6.6,1.8,30.5,240.3,5864.5,1733.8,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55101889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.6,169.4,204,7.604060687,36.69593931,NA,-103.3959393,-66.7,25.40666667
