"","date","gdppothq_g","gdph_g","gdppothq","gdph"
"1",2016-03-31,1.73185213120515,1.5487686909722,17766.4,17523.4
"2",2016-06-30,1.66966547875476,2.28137995059328,17840.1,17622.5
"3",2016-09-30,1.65591518301313,1.92493423116884,17913.5,17706.7
"4",2016-12-31,1.64908844977958,1.76227750920364,17986.9,17784.2
"5",2017-03-31,1.63781549387039,1.78417429146112,18060.1,17863
"6",2017-06-30,1.64234667869254,2.99333431957574,18133.8,17995.2
"7",2017-09-30,1.68029509268866,2.82122106597755,18209.5,18120.8
"8",2017-12-31,1.74000767218097,2.29308909609698,18288.2,18223.8
"9",2018-03-31,1.85438216683103,2.21752715676964,18372.4,18324
"10",2018-06-30,1.98053424180151,4.15849530278354,18462.7,18511.6
"11",2018-09-30,2.05214447691309,3.35610804958271,18556.7,18665
"12",2018-12-31,2.10515100619668,2.16686573773544,18653.6,18765.3
"13",2019-03-31,2.16166342356077,3.06575496949881,18753.6,18907.5
"14",2019-06-30,2.12536944911117,2.75093920738325,18852.4613353095,19036.2131568399
"15",2019-09-30,2.1593292134406,2.47380253424969,18953.4191457199,19152.8660858154
"16",2019-12-31,2.17652368726422,2.28871497941643,19055.7193350534,19261.5265133913
"17",2020-03-31,2.16278605832956,2.1178164291644,19157.9276851101,19362.7074054119
"18",2020-06-30,2.1352340832542,1.96056262072477,19259.3855253616,19456.9220319123
"19",2020-09-30,2.1010291605116,1.78116547366605,19359.7594455639,19542.9892657714
"20",2020-12-31,2.06615128523937,1.72073755194972,19458.9943225794,19626.5230464976
"21",2021-03-31,2.04497099983501,1.64547821141128,19557.7230977314,19706.7671206511
"22",2021-06-30,2.03139543772579,1.58711653062376,19656.2989926756,19784.4983460544
"23",2021-09-30,2.0205935268421,1.55999676335994,19754.8488465258,19861.2104120774
"24",2021-12-31,2.01147368025125,1.56628851129688,19853.4490843775,19938.528711333
"25",2022-03-31,2.0060355728355,1.57908464446808,19952.2755381823,20016.7784241162
"26",2022-06-30,2.00011199590167,1.59175754110028,20051.3028204821,20095.9619703987
"27",2022-09-30,1.99374081547898,1.60884263624064,20150.5069207589,20176.3069491534
"28",2022-12-31,1.98692865841423,1.62321977408559,20249.8636987332,20257.6896792412
"29",2023-03-31,1.97510959683709,1.63580039556437,20349.1207810417,20340.0301315697
"30",2023-06-30,1.9613912169627,1.65874869692755,20448.1766190788,20423.8579799036
"31",2023-09-30,1.94781689629027,1.6883646297327,20547.0307194449,20509.5247823207
"32",2023-12-31,1.93389025569928,1.73110520430095,20645.6575791357,20597.7146944987
"33",2024-03-31,1.92013639958641,1.79011857886349,20744.0580493959,20689.2831520598
"34",2024-06-30,1.90653323788881,1.83515536684529,20842.2320067487,20783.556955981
"35",2024-09-30,1.89160793122798,1.86389671447957,20940.1037891587,20879.733315617
"36",2024-12-31,1.87635756014091,1.87653491753093,21037.6478988252,20977.0053346468
"37",2025-03-31,1.86128677773769,1.86093909071916,21134.8646892933,21073.9239074353
"38",2025-06-30,1.84493380268504,1.84503307633073,21231.678499479,21170.4637213203
"39",2025-09-30,1.8297233410369,1.80433341105011,21328.1393812049,21265.3207237708
"40",2025-12-31,1.81467856386208,1.75829336361857,21424.2471075788,21358.187302955
"41",2026-03-31,1.80075237653115,1.71317836451519,21520.0519696713,21449.0813887539
"42",2026-06-30,1.78793733992879,1.67465970078116,21615.6049359493,21538.3226754351
"43",2026-09-30,1.77619246243463,1.67844848353897,21710.955845972,21628.1367422787
"44",2026-12-31,1.76691336733774,1.71052211452845,21806.2303132277,21720.0378449512
"45",2027-03-31,1.76098934275104,1.76013964604471,21901.6041306804,21814.9891441467
"46",2027-06-30,1.75977395677813,1.81999262878578,21997.3294022353,21913.5766142721
"47",2027-09-30,1.76041398745053,1.86282869689607,22093.5077997555,22014.9244587061
"48",2027-12-31,1.76240988934158,1.87533858742008,22190.2155227074,22117.4200398977
"49",2028-03-31,1.76480539549835,1.85386527928684,22287.4777157129,22219.2218155283
"50",2028-06-30,1.76439259706589,1.81766946873538,22385.1435189595,22319.5088014271
"51",2028-09-30,1.76349818289387,1.78456881481046,22483.1879010143,22418.4260220279
"52",2028-12-31,1.76166927270354,1.76190478831804,22581.5602452979,22516.5280368593
"53",2029-03-31,1.75711316698299,1.75645353408767,22680.1091379656,22614.7564706677
"54",2029-06-30,1.75482545300631,1.75419669992887,22778.9600794001,22713.2874863622
"55",2029-09-30,1.75342491089234,1.75283113201479,22878.1631374919,22812.1712582844
"56",2029-12-31,1.75245663553527,1.7523453094509,22977.7435640942,22911.458179151
