"","date","fim_bars","fim_bars_ma","state_local_cont","federal_cont","taxes_transfers_cont","recession","state_health_outlays","state_social_benefits","state_noncorp_taxes","state_corporate_taxes","federal_health_outlays","federal_social_benefits","federal_noncorp_taxes","federal_corporate_taxes","health_outlays","social_benefits","noncorp_taxes","corporate_taxes","federal_nom","pi_federal","state_local_nom","pi_state_local","gdp","gdppot","gdppoth","pi_gdp","pce","pi_pce","purchases_cont","health_outlays_net","social_benefits_net","noncorp_taxes_net","corporate_taxes_net","state_health_outlays_net","state_social_benefits_net","state_noncorp_taxes_net","state_corporate_taxes_net","federal_health_outlays_net","federal_social_benefits_net","federal_noncorp_taxes_net","federal_corporate_taxes_net","health_outlays_net_xmpc","state_health_outlays_net_xmpc","federal_health_outlays_net_xmpc","social_benefits_net_xmpc","state_social_benefits_net_xmpc","federal_social_benefits_net_xmpc","noncorp_taxes_net_xmpc","state_noncorp_taxes_net_xmpc","federal_noncorp_taxes_net_xmpc","corporate_taxes_net_xmpc","state_corporate_taxes_net_xmpc","federal_corporate_taxes_net_xmpc","transfers_net_taxes","state_transfers_net_taxes","federal_transfers_net_taxes","state_taxes_transfers_cont","federal_taxes_transfers_cont","health_cont","social_benefits_cont","noncorp_cont","corporate_cont"
"69",1987-03-31,-0.0104913036942308,0.257254978767692,0.22402636886165,-0.392724953309483,0.158207280753602,0,20.6233774824,42.1,391,22.7,105.1766225176,274,713.1,76,125.8,316.1,1104.1,98.7,543.4233774824,-0.00171134099911541,465.1766225176,0.0143007210046315,4722.2,0.0144532820307468,0.00866026217405724,0.00579301985668956,2983.5,0.00940272569285661,-0.168698584447833,0.781865089942983,-2.55371520234405,-14.7512236657385,-0.968366512170874,0.145485639679105,-0.353226594050319,-0.954250328761873,-2.54796209909946,0.636379450263874,-2.2004886082936,-13.7969733369765,1.5795955869286,0.926596571640281,0.182941698724773,0.743654872915509,-1.30184769734102,0.078182282160685,-1.38002997950168,2.1510677686444,-0.651248902069399,2.80224340404441,0.0663489341512777,0.0454461834790813,0.0207773531532358,1.84216557709494,-0.344678737704859,2.18664565061147,-0.0296014031007265,0.187791622347258,0.0795771703572896,-0.111804165006958,0.184736153267297,0.00569812213597369
"70",1987-06-30,-0.757061464685543,-0.188601514019911,-0.410932187308714,0.386174673682533,-0.732303951059361,0,21.1144102796,42.6,407,24.5,107.2855897204,276.5,770.5,87.3,128.4,319.1,1177.6,111.8,555.2144102796,0.00475759385172481,469.9855897204,0.0122160762622101,4806.2,0.0153382486300373,0.00855071783804062,0.00678753079199668,3053.3,0.00964134906395553,-0.0247575136261815,0.311437983728865,-2.75051234772093,53.4141389335061,11.304442996773,0.115850934295057,-0.265886016574022,8.88690184131957,1.38704008132469,0.195587049433826,-2.48462633114701,44.4272370921865,9.91740291544829,0.64003766957968,0.142389771678178,0.497647897901506,-2.0955485122611,-0.135992477404991,-1.95955603485609,-6.7870514633374,-1.44131750758813,-5.33382298969913,-0.40265198821247,-0.0198101788509812,-0.382967206880449,-8.64521429423129,-1.45473039216593,-7.17869833353417,-0.123224801335473,-0.608080838044485,0.0542152106712702,-0.177506121067392,-0.574905888216289,-0.0341071524469501
"71",1987-09-30,-1.14002589952612,-0.761407286953977,0.0939406159812214,-0.699348301875097,-0.534618213632247,0,21.6054430768,43.2,407.4,24.8,109.0945569232,275.6,760.3,91.3,130.7,318.7,1167.7,116.2,555.5054430768,0.00722720650256869,480.6945569232,0.0119523765231142,4884.6,0.0161416134311199,0.00843170320404729,0.00770991022707257,3117.4,0.00947748200534893,-0.605407685893876,0.000460619113539451,-6.11482100031839,-30.9898565025849,2.39775309358951,0.112890912915464,-0.162931289920287,-6.88903838022424,-0.138775037630207,-0.112430293801935,-5.8518897103981,-23.9990272038399,2.43652813121972,0.452610179235785,0.128818179706652,0.323791999529133,-3.61432191021103,-0.201017330142161,-3.39080458006887,-2.31965130420246,-0.681055366107399,-1.63889988226739,-0.942342110720557,-0.106223657913207,-0.832910516992977,-6.42370514589826,-0.859478174456115,-5.53882297980011,-0.0715307872711177,-0.460973157987609,0.0376688593263522,-0.300804952786903,-0.193054912754563,-0.0784272074171326
"72",1987-12-31,0.225888806140021,-0.420422465441469,0.316753591737711,0.265741118961364,-0.356605904559054,0,22.0518365288,43.7,416.1,23.6,110.6481634712,276.4,781.5,87.1,132.7,320.1,1197.7,110.7,564.5518365288,0.00209360309091955,491.4481634712,0.00597453927110614,5008,0.015860850748036,0.00834967131818698,0.00751117942984902,3150.9,0.00864168993047532,0.582494710699075,-0.220770915200148,-4.01514682994866,10.159187469937,-7.47439617709456,0.0792875637446819,-0.234026805942214,1.77771942729493,-1.62138575896682,-0.300058478944848,-3.88281916013131,8.28146804264213,-5.75131128200287,0.196423374956679,0.102040886392719,0.0943824885639561,-3.47269396057471,-0.22861590895954,-3.24446035724325,-0.37566708126571,-0.350989009559249,-0.0189820158788094,-0.702755336639148,-0.0544022797421363,-0.651868425620134,-4.35469300352289,-0.531966311868206,-3.82092831017824,-0.0435627328230116,-0.31289590223791,0.0160851144377577,-0.284378983791893,-0.0307633854371461,-0.057548649767772
"73",1988-03-31,-1.76964460651171,-0.860210791145839,-0.190846941376149,-1.25042242599409,-0.328375239141469,0,22.2571986013,44.4,423.1,23.4,112.0428013987,291.6,796.9,84.5,134.3,336,1220,108,561.2571986013,0.0136369679588231,495.6428013987,0.00513956781945279,5073.4,0.0159902415518764,0.00825765720429139,0.00773258434758506,3231.9,0.00789775231379464,-1.44126936737024,-0.543822843049981,10.7286534132606,2.95066602018824,-4.48840383365213,-0.150894377248655,-0.00599139594036302,0.27773409952448,-0.581267664626832,-0.392928465801347,10.734644809201,2.77454746161584,-4.00713616902529,-0.101856409966738,0.0353553825839735,-0.137211792550719,-0.48416102206365,-0.1504879893848,-0.334055338306962,-3.108132982849,-0.809067341360424,-2.29945599546392,-0.417107579171804,0.0292101150702129,-0.443096171096918,-4.11125799405119,-0.894989833091037,-3.21381929741852,-0.0714848109497633,-0.256694832062182,-0.00813549600373306,-0.0386710081520487,-0.248253433134904,-0.0333153018507831
"74",1988-06-30,-0.664746118310646,-0.837131954552115,0.335181459598969,-0.766838014175426,-0.233089563734189,0,22.8256535754,45.1,428.7,25.2,114.3743464246,291.1,801.6,90,137.2,336.2,1230.3,115.3,561.6256535754,0.00981843392231441,508.7743464246,0.00974933527259503,5190,0.0181460060155934,0.00816733971595807,0.00997866629963529,3291.7,0.0110541689258916,-0.431656554576457,0.318551389399573,-6.25842690366153,-13.1502405430567,5.22407706668024,0.14063803884175,-0.153434983698133,-2.53262030636665,1.35021669778072,0.177913350557844,-6.10499191996331,-10.6176202366901,3.8757825197637,-0.100255893690829,0.0409324811069794,-0.141188374797814,-1.27344179715029,-0.125186506987725,-1.14863759579063,-0.889544444968446,-0.307625959592258,-0.58830883935153,-0.693149345813022,-0.0407750226683917,-0.652550205028337,-2.95639148162258,-0.432655008141395,-2.53068501496831,-0.0341116417504155,-0.199525762996674,-0.00790443439829926,-0.100401450478991,-0.0701339886441792,-0.054649690212719
"75",1988-09-30,-0.755335052275401,-0.740959242739434,-0.243112919247797,-0.400563007517458,-0.111659125510147,0,23.4815631609,45.8,439.9,27.3,117.2184368391,292.3,810.4,97.8,140.7,338.1,1250.4,125.1,564.1815631609,0.00571502792570455,514.0184368391,0.00841735685992062,5282.8,0.0203378107466627,0.00808992303884049,0.0122478877078223,3361.9,0.0123172735922499,-0.643675926765254,0.700132622214397,-4.96089950737257,-5.0069740152303,7.44705022843527,0.19010198475366,-0.220364568062173,2.45143480425156,1.58573864489652,0.510030637460744,-4.74053493931046,-7.55840881948211,5.96335230320186,0.0571703070068644,0.0583049722705735,-0.00113466526371155,-1.01380946123748,-0.138108994569649,-0.898582772295912,0.302869157776558,-0.38752312180588,0.696098858064254,-0.795007157040097,-0.0615497356229201,-0.733643928863849,-1.44877715349415,-0.528876879727875,-0.937262508359217,-0.0407612238711272,-0.0722360314727721,0.0044061893646909,-0.0781356039489385,0.0233425169769987,-0.0612722279028976
"76",1988-12-31,0.842308852470423,-0.586854231156834,0.284975140203914,0.67282027592135,-0.115486563654841,0,24.2249273578,46.5,448.7,28.2,120.8750726422,293.3,824.8,102.7,145.1,339.8,1273.5,130.9,582.1249273578,0.00806258187118325,527.7750726422,0.0114493594607865,5399.5,0.0171967072934134,0.00799151738378256,0.00920518990963082,3434.5,0.0100996291675923,0.957795416125264,1.85457568022156,-4.41661664901994,0.478830352160685,3.53679756642302,0.318555796500792,-0.128574512052964,0.84170463205021,0.406111699147463,1.53601988372075,-4.28804213696685,-0.261065165234186,3.13068586727555,0.524123290976748,0.112140324640698,0.411982966336049,-1.10414017052852,-0.114382228444568,-0.989757942083909,0.085416936833276,-0.429163513523385,0.514158969029677,-1.03063110347099,-0.0997775900065501,-0.931040020911112,-1.52523104618948,-0.531183007333805,-0.994656027629296,-0.0402198082330434,-0.0753127907646926,0.0396852647063488,-0.0836026478782854,0.00646755030160339,-0.0780367307845075
"77",1989-03-31,-1.34158201055331,-0.479838582167234,0.119353265010018,-1.10690585900784,-0.35402941655549,0,24.900326066,46.8,462.4,27.8,126.299673934,310.1,861.2,104.9,151.2,357,1323.6,132.7,576.100326066,0.00741242358797911,540.499673934,0.0131512169288819,5511.3,0.017527491069264,0.00790601366389465,0.00962147740536934,3490.2,0.0114874467077215,-0.987552593997823,3.28600890007849,10.6101021657249,25.4024282167468,-0.738603962644561,0.205593539481228,-0.601795907280156,4.99815433125588,-0.946895582479574,3.08041536059727,11.1118980730049,20.4042738854911,0.208291619835023,1.38583543318065,0.192350105904922,1.19348532727574,-1.13081420122407,-0.248438243496021,-0.904875957728036,-4.14836631003447,-0.939110964744709,-3.21567682661677,-0.885609508650544,-0.0492848862801403,-0.836511129817076,-4.77895458672842,-1.04448398861595,-3.76357858688614,-0.0773763488186646,-0.278809414715151,0.102663982456202,-0.0837717715510003,-0.307314848414443,-0.0656067790462483
"78",1989-06-30,0.643790645969644,-0.152704391097162,0.294687658932483,0.347966294446534,0.00113669259062655,0,25.854693964,47.7,475.4,24.2,130.645306036,311.4,873,94.4,156.5,359.2,1348.5,118.7,589.654693964,0.00733971622186291,556.145306036,0.0135685505825982,5612.5,0.0186840130692254,0.00786597088711893,0.0108180421821065,3553.8,0.0134811915633835,0.642653953379017,2.07230903748405,-5.42093699482933,-3.35510421948493,-16.8327684571816,0.422816592398618,-0.0990472026835221,3.12907208288766,-4.19345111612397,1.64949244508546,-5.31975507590079,-6.58417630237273,-12.7393173410577,1.78043090399966,0.255840280455217,1.52459062354445,-0.942378971736821,-0.236200992767733,-0.728197667813969,-0.512175646556266,-0.730883226289042,0.224394645285094,-0.310214651019773,0.104826301640923,-0.415227460107366,0.0156616346868003,-0.606417636960635,0.605560140908211,-0.0440126748288524,0.0439504393452152,0.129220394752574,-0.0683961295329103,-0.0371727647964194,-0.0225148078326183
