"","date","fim_bars","fim_bars_ma","state_local_cont","federal_cont","taxes_transfers_cont","subsidies_cont","recession","state_health_outlays","state_social_benefits","state_noncorp_taxes","state_corporate_taxes","state_subsidies","federal_health_outlays","federal_social_benefits","federal_noncorp_taxes","federal_corporate_taxes","federal_subsidies","health_outlays","social_benefits","noncorp_taxes","corporate_taxes","subsidies","federal_nom","federal_cgrants","federal_igrants","pi_federal","state_local_nom","pi_state_local","pi_state_local_c","pi_state_local_i","gdp","gdppot","gdppoth","pi_gdp","pce","pi_pce","add_state_health_outlays","add_state_social_benefits","add_state_noncorp_taxes","add_state_corporate_taxes","add_state_expenditures","add_federal_health_outlays","add_federal_social_benefits","add_federal_noncorp_taxes","add_federal_corporate_taxes","add_federal_subsidies","add_federal_grants","add_federal_nom","federal_cgrants_cont","federal_igrants_cont","federal_cont_0","state_local_cont_0","purchases_cont","subsidies_net","health_outlays_net","social_benefits_net","noncorp_taxes_net","corporate_taxes_net","state_subsidies_net","state_health_outlays_net","state_social_benefits_net","state_noncorp_taxes_net","state_corporate_taxes_net","federal_subsidies_net","federal_health_outlays_net","federal_social_benefits_net","federal_noncorp_taxes_net","federal_corporate_taxes_net","health_outlays_net_xmpc","state_health_outlays_net_xmpc","federal_health_outlays_net_xmpc","social_benefits_net_xmpc","state_social_benefits_net_xmpc","federal_social_benefits_net_xmpc","noncorp_taxes_net_xmpc","state_noncorp_taxes_net_xmpc","federal_noncorp_taxes_net_xmpc","corporate_taxes_net_xmpc","state_corporate_taxes_net_xmpc","federal_corporate_taxes_net_xmpc","subsidies_net_xmpc","state_subsidies_net_xmpc","federal_subsidies_net_xmpc","transfers_net_taxes","state_transfers_net_taxes","federal_transfers_net_taxes","state_taxes_transfers_cont","federal_taxes_transfers_cont","health_cont","social_benefits_cont","noncorp_cont","corporate_cont","state_subsidies_cont","federal_subsidies_cont"
"177",2014-03-31,-1.28406321836366,-1.28065392576449,-0.374104315282874,-0.247547023016271,-0.655345833296074,-0.00706604676843676,0,156.11,162.837,1478,56.4,0.5,890.89,1223.363,2632.3,336.4,58.2,1047,1386.2,4110.3,392.8,58.7,1211,164.41,65.276,-0.00260044970182816,1926.4,0.00791268235136133,0.00839645015683566,0.00562922921365794,17104.6,0.00822401698409925,0.00423575748394822,0.00398825950015103,11574.2,0.00468197879858656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0671951174389655,-0.0260969954042073,-0.154254910173098,-0.467396428126047,-0.621651338299145,-1.22971353518256,9.025432912528,-0.960995614856984,49.9105703309388,32.7172599207634,-0.00445886814126739,-11.867740666888,-1.16459586819863,6.69526517918007,1.3130915989736,-1.22525466704129,20.8931735794163,0.203600253341165,43.2153051517594,31.4041683217897,4.77098008839018,-0.337996437879956,5.10897652627012,-5.83367376477976,-1.22790088694633,-4.60577287783342,-23.8193761664167,-1.65988508946753,-22.1533869938213,-2.80450121026943,-0.0972843944575809,-2.7072123484066,-0.301774958874705,-0.0143685520811887,-0.287352774270185,-27.9883460119504,-3.33743536083259,-24.6447484680614,-0.0781458953195283,-0.577055650743985,0.111712279115387,-0.136595202622001,-0.557729596300829,-0.0656672667201955,-0.000336438985457879,-0.0067283519799143
"178",2014-06-30,-0.72881109267506,-1.13890712890049,-0.121661656026257,-0.101255840512937,-0.498227736542467,-0.00766585959339813,0,161.485,161.243,1490.3,55.1,0.5,915.615,1246.257,2655.3,360,58,1077.1,1407.4,4145.6,415.1,58.5,1209,172.485,67.164,0.00439112365717853,1944.2,0.0034352161997564,0.00319594863721728,0.00456325228404308,17432.9,0.00989365063046188,0.0042701075069187,0.00562354312354318,11756.9,0.00477739675840438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160132495570609,0.030667624061017,-0.292055960144563,0.0691384636053683,-0.222917496539195,-0.731088500374469,20.6272630342066,8.65834958740948,-1.88795678175757,18.7461403245811,-0.00452375213266154,3.96259410914041,-3.06726845205247,-1.07221130414769,-1.81027924056422,-0.726564748241806,16.6646689250664,11.8256180394615,-0.815745477609653,20.5564195651453,8.1603314243688,0.213241704409394,7.94708971995945,-2.88169028871155,-1.77178648581255,-1.08740380289898,-22.6900660683967,-1.89339536284439,-20.8026162383915,-3.56573676841817,-0.0117489220827508,-3.55065004559684,-0.327803655003094,0.000990779849785985,-0.328742882329549,-21.3049653561607,-3.4626982864805,-17.8223232492575,-0.0809770070385862,-0.416784332852156,0.190833610242129,-0.0673898317110379,-0.530619039752972,-0.0833866157271885,0.0000231699039974273,-0.00768782391472584
"179",2014-09-30,-0.223741846342521,-0.907799648686665,0.11353171146483,0.0592829282878082,-0.389092592604299,-0.00746389349086045,0,163.508,160.101,1515.6,57,0.5,947.692,1253.299,2692.7,330.1,57.7,1111.2,1413.4,4208.4,387.1,58.2,1228.2,167.408,68.84,0.00465493012725426,1962.7,0.00560460506974936,0.00576652203095018,0.0048312433233566,17721.7,0.00887606413511177,0.00432705361733587,0.0045490105177759,11915.4,0.00269334733485027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.156439614652631,0.0243422986255948,0.191380244314844,-0.0185656045622054,0.172814639752639,-0.710693455702888,26.5383261344004,-3.88051230010706,33.6962258126168,-30.9141684352525,-0.00351020047609307,0.889310552236196,-2.27399051073323,14.8374964609573,1.51317590753454,-0.707183255226795,25.6490155821641,-1.7072238294686,18.7587293516599,-32.427344342787,12.2941340942694,-1.94550864166263,14.239642735932,-1.51785938135152,-1.89171529790354,0.373697957530578,-23.8388132179996,-3.46021250244937,-20.3665054801376,-3.56969886685493,-0.189507844911257,-3.38354797299741,-0.325293272092053,0.0010253694914493,-0.323233394322713,-16.9575306440287,-7.48591891743534,-9.45994615399514,-0.171765315407886,-0.217059609221533,0.282090394467228,-0.0348274671764658,-0.546984453946264,-0.0819071724579371,0.0000235272270580179,-0.00741662934618366
"180",2014-12-31,-0.605977778278711,-0.710648483914985,0.469969003559706,-0.817878311373904,-0.248249336256339,-0.00981913420817239,0,169.588,160.109,1532.6,57.7,0.5,958.512,1263.991,2740,332.1,56.5,1128.1,1424,4272.6,389.8,57,1211.7,163.088,61.403,0.00132104245791598,1978.6,-0.000348924933987194,-0.000798924741289286,0.00176230018484991,17849.9,0.00500245970482616,0.004348676414758,0.000653783290068155,12044.5,-0.00127032766696078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.110920664002936,-0.177357242908231,-0.529600404462737,0.181691096648538,-0.347909307814199,-1.3791598971218,13.4793388714477,6.24906187986358,51.2450771297708,1.50837119972766,-0.00153917437389861,5.57666535294516,-0.48484671287099,12.3344546378382,0.524534121375559,-1.3776207227479,7.90267351850252,6.83390859273436,39.0109303268068,0.98383707835211,15.6758312143311,-0.323813396827412,15.9996446111586,2.26482829926953,-1.57290784736745,3.86007818761539,-26.1188670371342,-4.16806028584479,-21.9447484560616,-2.38526375555899,-0.131284271225265,-2.25397948433373,-0.435029376742421,0.00120439014787373,-0.433167912151161,-10.9985006558349,-6.19486141111705,-4.77217305377256,-0.139825443633896,-0.107713662995594,0.353822290510078,0.0511198880303702,-0.589534120025374,-0.0538382605632414,0.0000271845285243228,-0.00977711872227068
"181",2015-03-31,0.0719089265993943,-0.371655447674222,0.0205277356438936,0.0362439120935591,0.0232490206296401,-0.00811174176769847,0,160.808,160.753,1536.7,57.6,0.5,985.192,1290.947,2824.2,345.9,55.5,1146,1451.7,4361,403.5,56,1214.9,162.008,63.534,-0.00158121938206335,1973.2,-0.00840542248804288,-0.0101215336569215,-0.000296386947501337,18003.4,0.00409925102632525,0.00432984730988184,-0.000230596283556594,12099.1,-0.00427217647972655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00303520931846234,0.0422037867633713,-0.00292466535134991,0.0596963130888026,0.0567716477374527,-1.00328723731886,17.8349415365017,27.6178767378585,88.1535956110774,13.6775199104054,-0.0000288354150776993,-8.78978028074431,0.634766381054533,4.01161368570365,-0.103327606899967,-1.00325840190378,26.6247218172462,26.8831045897214,84.0419819253739,13.7808475173053,17.6579706547252,0.368727690054927,17.2892429646703,8.69507457863052,-1.16805134128549,9.86296666330093,-22.8009353841145,-2.06111536130557,-20.733807347027,-2.15264366745056,-0.138496230771195,-2.01414743667937,-0.361984448448103,-0.00153735587106413,-0.360447092577038,1.03748173334253,-3.00047259917839,4.04380775168786,-0.0672378578967588,0.090618048318206,0.395699038195737,0.194848701194528,-0.510948193191324,-0.0482387838016026,-0.0000344507447339007,-0.00807729102296456
"182",2015-06-30,0.293467439821691,-0.116085814550035,0.352829411697635,-0.0545571945723657,0.0021131189746627,-0.00691789627824021,0,174.49,161.101,1564,57.5,0.5,994.91,1303.399,2858.2,351,55.9,1169.4,1464.5,4422.2,408.5,56.4,1219.6,165.49,62.907,0.00194321913682205,2011,0.0065453991932416,0.00701307587045763,0.00438974005852999,18223.6,0.0100272524151601,0.00432828841569832,0.00569896399946179,12255.5,0.00492433107106627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0365399481148763,-0.0262370712439122,-0.0648600714433298,0.363132288568599,0.298272217125269,-0.118146691258822,12.7964980681679,-0.632027708935993,20.8493264182198,1.26656803709051,-0.0046263097433823,12.1941047655723,-1.13938634035591,13.0814996346887,-0.63295088243764,-0.113520381515436,0.602393302595488,0.507358631419265,7.8687520454796,1.89951891952813,15.8960485373665,2.22081758775209,13.6752309496144,6.60473968695279,-0.734277866153759,7.31635829649144,-20.3114468412482,-2.47853998114313,-17.8329867456645,-1.78286893306078,-0.11763897355013,-1.66522995951065,-0.311364134639175,-0.00173612890067467,-0.309628005738499,0.0951083153711064,-1.1113753619956,1.1837445351922,-0.0246925661151916,0.0263004662495351,0.353178811499305,0.1467442746804,-0.451280243537292,-0.0396118273895103,-0.0000385733561588293,-0.00687932292208136
"183",2015-09-30,0.0354901548142485,-0.0512778142608422,0.11067951043345,-0.0951754314707706,0.0229414158086333,-0.00295533995706405,0,175.016,161.639,1565.2,55.8,0.5,1004.884,1306.261,2873.8,323.8,57.2,1179.9,1467.9,4438.9,379.6,57.7,1220.2,165.016,66.76,0.00150307402882022,2028.9,0.00106805293005663,0.00067943757667277,0.00283752773254875,18347.4,0.00688433724845705,0.00427556681069974,0.00260877043775731,12389.3,0.00257139253034722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0284028112132898,0.0747500287883377,-0.141522649045819,0.157026728008498,0.0155040789626793,0.913831493164956,2.49316574657973,-6.62737195496311,-13.5786235979776,-31.6969828908177,-0.00342347967052348,-0.668725935419275,-0.565051996801998,-9.50864440939722,-2.0937001621102,0.91725497283548,3.1618916819989,-6.06231995816097,-3.96997918858006,-29.6032827287075,10.4858874501068,1.87025937802961,8.61562807207719,5.98669626461017,-0.349766700519233,6.33646166753566,-14.7561745718845,-2.22817013066552,-12.5400843267784,-0.536578846903086,0.0276064292739231,-0.564185276177007,-0.134642333103881,-0.00174014213098315,-0.132902190972897,1.04518796282552,-0.681811166012201,1.71491794568456,-0.0149654550365943,0.0376416941918076,0.230160614809518,0.131405348330959,-0.323891537827532,-0.0117776695472483,-0.0000381953539582334,-0.0029171446031058
"184",2015-12-31,-0.101721283466871,0.0747863094421177,-0.0589188597043301,0.0154986843434091,-0.0553515634133335,-0.00294954469261663,0,157.768,161.462,1580,54.1,0.5,1030.432,1311.538,2898.4,295.6,58.1,1188.2,1473,4478.4,349.7,58.7,1228.5,164.168,64.462,-0.000823029328892333,2024.7,-0.00324794878815626,-0.00382867165839951,-0.000550707849485965,18378.8,0.00435509927456512,0.00421213320517899,0.00014296606938613,12446,-0.00076459998838585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0198671700753952,-0.0554288183992516,0.0907946728180559,-0.134214848178977,-0.043420175360921,0.801077333391035,4.2322555575056,0.0393659910691895,24.1967448039768,-31.2086836090947,-0.00172376660839657,-17.8513734734703,-0.734255821629262,9.40392100907525,-1.89237235349705,0.702801099999434,22.083629030976,0.773621812698821,14.6924790415792,-29.3163112555976,8.40529370446986,-3.40104935791386,11.8063430623837,4.58951468963144,-0.405883749989844,4.97289714202766,-15.7921848559719,-2.98072028961458,-12.8114971817681,0.393774466179366,0.0673351334686968,0.326439332710667,-0.135291190733286,-0.001592155611633,-0.142190635121652,-2.53889318642449,-6.72191041966121,4.15199172023231,-0.146547421861653,0.0905194571488561,0.183247625374055,0.100058094108842,-0.344292594176218,0.00858485597260355,-0.0000347113075778149,-0.00309996261315831
"185",2016-03-31,0.318760448300906,0.136499189867496,0.262875118017448,0.0894743398996011,-0.0339923631781017,0.000403353561958379,0,177.693,161.325,1575.8,53.7,0.5,1025.207,1321.875,2876,301.4,60.1,1202.9,1483.2,4451.9,355.1,60.7,1229.4,166.193,67.049,-0.00269400728738656,2036.9,-0.00663073440119732,-0.00748797758339959,-0.00266955472587183,18470.2,0.00387998516490207,0.00419446555752612,-0.00031448039262405,12551.6,0.0007942427089489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0558401915742817,0.0541646070030666,-0.0205304586777472,0.372879916594796,0.352349457917049,1.70716282475792,8.7724168377747,2.85163272348223,-48.8414311005818,3.65544871921372,-0.00249435413323751,19.1379414742148,-0.942486814121651,-12.0821590610306,-0.6698891172163,1.7101560497178,-10.3655246364406,3.79411953760359,-36.8592720395509,4.32533783642992,6.36622564725629,2.88268803695194,3.48353761030421,-0.98289021360323,-0.760765718904485,-0.222124494698841,-7.75129631992438,-1.69966395610394,-6.03366497923122,0.787580889215785,0.139844497191101,0.647736392024687,0.0185328861113016,-0.00154743179261907,0.0139710800190372,-1.56184711094424,0.560555427341996,-2.11054439158213,0.01220004412349,-0.0459343241469984,0.138555850159016,-0.0213918256600699,-0.168700814414965,0.0171410731759589,-0.000033678625212072,0.000304069471761752
"186",2016-06-30,-0.471012545650383,-0.054620806500523,0.000709244194572273,-0.401596330409381,-0.0712418035575562,0.00111634412198208,0,171.565,161.292,1594.4,52.6,0.5,1045.935,1327.808,2889.8,312.3,61.8,1217.5,1489.1,4484.3,364.9,62.4,1227.1,164.565,67.197,0.00574265891909742,2056,0.00734249396866571,0.00709618961323866,0.00851590779196032,18656.2,0.010676585131246,0.00407041937654173,0.0066061657547043,12707.5,0.00599080571013788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0754472013911839,-0.0150707767175427,-0.311078352300654,-0.0898087339141544,-0.400887086214809,1.08928363723854,2.49735234323293,-9.0228090485632,-12.3915679633883,6.22725897172,-0.00503061254333981,-7.91580926932741,-1.65612713710848,2.74552150841032,-1.6402877871547,1.09532037229055,10.4131616125605,-7.36668191145463,-15.1360833492904,7.86754675887482,4.04891785914592,-1.64204262090049,5.69096048004635,-2.87081601501935,-0.877032398173814,-1.99378361684547,-4.92578088298464,-1.52922395481753,-3.38473096347821,0.40650539068155,0.195804553612438,0.210700837069112,0.0515477480045837,-0.00172666678402232,0.0477589392253247,-3.28962590017194,-3.85422108706341,0.570905676017109,-0.0834689626980414,0.012363822287081,0.0876854145411726,-0.0621718447016135,-0.106675204014784,0.00880348649568602,-0.0000373935698373017,0.00103429176133068
"187",2016-09-30,-0.0883251840177501,-0.0855746412085227,0.0144963251003945,0.0314799838877554,-0.135015714435174,0.000714221429273696,0,170.004,162.016,1621.8,53.1,0.5,1061.596,1332.584,2917.9,324.8,62.5,1231.6,1494.6,4539.7,378,63,1237.8,166.304,68.094,0.00429930921211552,2073.1,0.00348356194208588,0.00408186458816728,0.000698944027806681,18821.4,0.00730266897908671,0.00402599868219755,0.00327667029688916,12841.2,0.00405987839605948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00867764026784647,0.0124247815678612,0.0103775620520476,0.0355987469361022,0.0459763089881499,0.095441270316762,4.25544465722191,-6.54067955723258,19.1405014179727,10.149463454144,-0.00404293853912852,-2.94825350093114,-0.580187285706188,14.507877586427,0.0746828656836769,0.200292796563716,7.2036981581532,-5.96049227152639,4.73343241925249,9.97478058846031,4.44543061404041,-2.15493632314066,6.60036693718106,-2.85131022552998,-0.880437838177257,-1.97087238735269,-8.13135337041926,-3.10484902119316,-5.03877541506196,0.206720908223072,0.145214132131215,0.0648401094251919,0.0333116445720398,-0.00174315070565193,0.0391134443532066,-6.29720042911372,-5.99675220108551,-0.305327311455187,-0.128573926117548,-0.00654639876191694,0.0953126706197491,-0.0611337834184879,-0.174341042021832,0.00443221895612338,-0.000037374185646636,0.000838615459808677
"188",2016-12-31,-0.200959442912802,-0.110384181070006,0.107607462136045,-0.202115288631435,-0.102829714095664,-0.00362190232174799,0,166.202,161.443,1629,54.1,0.5,1081.198,1340.757,2952.2,309,60.4,1247.4,1502.2,4581.2,363,61,1244.5,164.802,66.717,0.00505050505050497,2092.3,0.00525436999443429,0.00542350499905675,0.0045116472231661,19032.6,0.00932076607087984,0.00398760893624828,0.00533315713463156,12979.5,0.00460878063737225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0651833740720038,-0.0415643543821216,-0.0953675601773095,0.000859733681919346,-0.0945078264953902,-2.54157254313809,5.21268660112923,-5.2481638567333,2.47497025263419,-18.2494352588286,-0.00429819478681026,-5.26342061307381,-1.9657526531598,-6.74162461049787,0.543531713640753,-2.63727434835128,10.4761072142028,-3.28241120357347,9.21659486313274,-18.5921073335119,4.66602759885573,0.677353070448545,3.98867452840709,-4.04100444128554,-1.15752462527163,-2.88347981601395,-6.09713925075241,-1.3910554991585,-4.71227597998691,0.804041321878251,0.162459698089065,0.638219635823943,-0.170423180896369,-0.00181064031672356,-0.174634832550136,-4.83849795220034,-1.71057799620924,-3.14349646431996,-0.036353894953813,-0.0668068573925417,0.0991643044376237,-0.0858810596721932,-0.129578867687896,0.017087811148549,-0.0000384804598323942,-0.00371141004495172
"189",2017-03-31,-0.216044100442499,-0.244085318255857,-0.0971923892039138,-0.176063258656878,0.0628276579248153,-0.0056161105065225,0,180.194,161.686,1652.9,54.3,0.5,1071.706,1365.214,2970.4,247.8,58.9,1251.9,1526.9,4623.3,302.1,59.5,1246.5,168.794,67.197,0.00571428571428578,2115.1,0.00835178859652408,0.0086495614240818,0.00699077293142647,19237.4,0.00888999196489038,0.00396069220713025,0.00492929975776013,13153.2,0.00547464400507414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0402216193493061,-0.00526778053758454,-0.211017097468599,-0.0622385503921923,-0.273255647860792,-2.07555550894447,-7.26963839110385,10.5262379420269,-1.12516225535001,-64.3250270450301,-0.00471766810610219,12.4238282508592,-1.28026898410687,8.52983731031941,-0.31045168908026,-2.06989430721715,-19.6934666419629,11.8065069261336,-9.6549995656701,-64.1155188895711,1.05656517235805,-0.833322404806454,1.88988757716456,-2.31421826711299,-1.2335256135183,-1.08069265359471,0.475526041632602,-1.30346650006899,1.77284882857109,4.03878422073803,0.21657780769086,3.82220920953597,-0.2672229620661,-0.00188247183729527,-0.269481220620934,2.9894342055496,-3.15561918254018,6.13477174105598,-0.066320296387045,0.128931869341151,0.0222053775597249,-0.0486369338316991,0.00999392708579178,0.0848813976175201,-0.0000395631040907763,-0.00566357135905624
"190",2017-06-30,0.0647261463172429,-0.11015064526395,-0.0119368442799441,-0.000825197663553847,0.0846043709231367,-0.0071161826623958,0,192.658,162.066,1650,52.9,0.6,1062.742,1371.834,3007.5,255.8,57.6,1255.4,1533.9,4657.5,308.7,58.1,1257.9,167.058,68.784,0.00374980965433225,2126.3,0.00236380218512111,0.0017206581284821,0.00528132873005505,19379.2,0.00717645114767818,0.00402783065455004,0.00314862049312814,13241.3,0.00221018582635324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0562718541100809,0.0199913172639275,0.0354553391825995,-0.0482173811260974,-0.0127620419434979,-1.77116198061374,-4.3093728324427,-2.52482736469119,5.3597784038393,4.71549522111911,0.0968809917595483,11.3399468582401,-0.628599932731333,-13.2108174412851,-1.73872429491305,-1.6674191707252,-15.6493196906831,-1.89622743195969,18.5705958451254,6.45421951603217,-0.474947992168967,3.49922272389624,-3.97417071606526,-0.852172388241786,-1.00233199253344,0.150159604291656,1.23181043342312,0.662224094336675,0.569498141672784,4.50647239085343,0.214192642835821,4.29228254450641,-0.342242130873932,0.00673155221170433,-0.336636578491483,4.06892031299187,3.380039020747,0.701132995914109,0.0702805788879371,0.0145785396345475,-0.00987551316017688,-0.0177190761379768,0.0256128257128952,0.0937023171707909,0.00013996802502842,-0.00699962736110874
"191",2017-09-30,-0.230240383916914,-0.145629445238741,0.0774077524545132,-0.333039380620876,0.0247273392057486,0.000663905043700197,0,181.602,166.611,1684.8,54.1,0.6,1093.498,1380.489,3045.9,254.5,61.3,1275.1,1547.1,4730.6,308.6,61.9,1262.7,165.702,63.911,0.00508220658790504,2148.4,0.00884799643480516,0.00877421032107106,0.00920769287888912,19617.3,0.00974830644800795,0.00416004923915603,0.00558825720885192,13370.9,0.00406988850398471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0725885802017079,-0.119560905999167,-0.140889894420002,-0.114741733746361,-0.255631628166363,3.32184061712352,9.36813615726101,0.576098495796259,34.7690649613223,-2.6405817813075,-0.00493796264588442,-12.641563345718,3.21120690972023,21.2206027238178,0.764636293387859,3.22595558599509,22.0096995029792,-2.63510841392417,13.6484622375042,-3.40521807469543,0.675407595339829,1.3182280088192,-0.642820413479416,0.749102673689703,-0.149268298562497,0.898370972252155,-3.82270451313521,-1.94297665846613,-1.88581605208273,3.5640195023886,0.239143963307377,3.32487833557003,0.0321648715571872,0.00427915236543899,0.0272155281290454,1.19799012984011,-0.530593832536613,1.72182837038908,-0.0109518211801646,0.0355397203267232,0.0139408767201913,0.0154619937601078,-0.0789032470511727,0.073563810732922,0.0000883246442668219,0.000561747195530163
"192",2017-12-31,0.0328432170110503,-0.087178780257778,-0.102867490385908,0.299499968635525,-0.160172795865477,-0.00361646537308908,0,175.656,163.864,1752.7,55.4,0.6,1105.944,1389.136,3093.3,223.5,59.4,1281.6,1553.1,4846.1,279,60,1288.3,172.756,64.776,0.00782060715835553,2182.9,0.0121202639401441,0.0136681178495495,0.00514126995806063,19938,0.0104594941529998,0.00426321377362826,0.00619628037937159,13596,0.00651370611967872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083247796330304,0.00538198508916174,0.210870187216059,-0.0142377089664425,0.196632478249617,-2.5670913413957,-7.24165055595563,-10.6729727669351,64.5187027527218,-32.9257574790745,-0.00646615193598421,-7.90311020646436,-4.54255340034385,49.7430453637564,0.71696863377209,-2.56062518945971,0.661459650508505,-6.23041936659115,14.5745796969763,-33.7427261128466,-2.12681826500427,0.724297850306324,-2.85111611531063,-0.471479331105707,-0.729048466678909,0.235069135573178,-9.79155745099286,-8.1405558880495,-1.63898112251762,4.71182379168201,0.232729479560826,4.48243044194332,-0.177363215408751,0.00348456784896252,-0.178651772784328,-7.85539447082957,-7.9090924570123,0.0487505669039232,-0.161267706708106,0.000994032143137397,-0.0433661770988722,-0.00961354174337358,-0.199651480091406,0.0960748684412638,0.0000710509162619224,-0.00364273927164958
"193",2018-03-31,0.0122318348514225,-0.0301097964342977,0.0571507457844158,-0.108632551552956,0.0695684753664983,-0.00585483474653569,0,170.416,164.499,1775.6,55.4,0.6,1127.484,1428.501,3076.5,188.7,57.6,1297.9,1593,4852.2,244.1,58.2,1308.1,170.116,65.084,0.0105868146886203,2213.4,0.011020385895361,0.0113590963570986,0.00946132659877197,20242.2,0.0103997065062951,0.00437045312116835,0.00602925338512672,13755.5,0.00664949660501057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.107480671073678,-0.0117959145980308,0.0106440341187527,-0.0621258398872928,-0.0514818057685401,-2.46119698357073,2.17683243092938,22.7849160802716,-47.3037783680365,-37.9745659736039,-0.00661196983570733,-7.17572028910169,-1.1707730419306,3.58533411492635,-0.610505214830312,-2.45458501373503,9.35255272003064,24.056791117175,-50.8880104879895,-37.262958763801,-0.00136233004678843,-3.68560057118488,3.68423824113792,2.28672324999935,-0.704411879689249,2.99138307855749,-4.95944601518404,-8.02248936207343,3.07493154791832,6.43355998781565,0.249635399825171,6.18389065131353,-0.291834237941072,0.00214956118559924,-0.293361247377493,3.46764065464311,-12.1607168519368,15.6410822715498,-0.243970646041464,0.313794408096093,-0.0000273313280527321,0.0458766827164079,-0.0994973621262722,0.129071320850951,0.0000431249109358861,-0.00588546990425304
"194",2018-06-30,0.42181404177232,0.0591621774294716,0.103456173920859,0.0863156522712437,0.238564520347847,-0.00652230476762903,0,187.212,164.192,1754.1,60.8,0.6,1132.888,1431.708,3101.3,204.7,57.2,1320.1,1595.9,4855.5,265.5,57.8,1329.3,172.612,64.961,0.00741927715307233,2250.7,0.0105674970770753,0.00985787777308933,0.0137961040962282,20552.7,0.012474854490738,0.00448707862425191,0.00798777586648614,13939.9,0.00554495976182734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00110054040588357,-0.0259446634097031,0.111159775275063,0.0786120509170391,0.189771826192102,-0.983864634069818,9.17941737870751,-13.081037149024,-45.3774566569336,18.9511794299581,-0.00601922303164759,15.086380146398,-1.95726028247179,-39.3128873583225,4.84422507341121,-0.97784541103816,-5.90696276769017,-11.1237768665533,-6.0635660947728,14.1069543565469,3.03361546746201,-2.84265308134936,5.87626854881133,-0.0884239514755393,-1.00336045838085,0.915184455773931,3.61347687100801,-0.155628866744714,3.76886926015221,5.84407294138674,0.0670628679635428,5.77697613674624,-0.330064493918251,0.00130197500554319,-0.331268071447785,12.072676834463,-3.93327756350584,16.0060303300359,-0.0777243098775002,0.31629033069599,0.0599463589424472,-0.00174731899646361,0.0714048249895368,0.115482960179955,0.0000257279348201913,-0.00654608829964698
"195",2018-09-30,0.156977569812731,0.155966665861883,0.00296080051709349,0.114727784401891,0.0461979822273269,-0.00690899733358025,0,180.273,165.189,1780,62.1,0.6,1154.727,1435.211,3143.5,214.2,57.3,1335,1600.4,4923.4,276.3,57.9,1352,169.473,68.573,0.0059762970863253,2279.1,0.00919325412717487,0.00949493692268044,0.00784134903391354,20742.7,0.00917897786828448,0.0045858675337862,0.00459311033449827,14086.3,0.0038859744080828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.108394825377487,0.0545858322175801,0.168536777561798,-0.0508481926428131,0.117688584918985,-0.389672464240029,3.71632145253875,-9.02021255502882,26.7649714512545,8.55072596443381,-0.00508310516512145,-8.5250304736212,-0.394008672119298,11.0395420497678,0.784912009934366,-0.384589359074916,12.24135192616,-8.62620388290884,15.9262765856815,7.76581395449941,1.7619571588995,-1.91643318512758,3.67839034402701,-2.24759393791118,-1.81453396429475,-0.432812024747619,-1.28811632014636,-0.394781210635647,-0.91155861425379,4.50248264621169,-0.0288908711046095,4.53133958063934,-0.354996373744687,0.00128669068252859,-0.356186634583889,2.37373317330896,-4.15335254048005,6.50917265108105,-0.0808332246464951,0.126682579925383,0.0342914976406896,-0.0437430398519159,-0.0250695299429538,0.0876280517150873,0.0000250417839510836,-0.00693216238419067
