"year","quarter","impact","recession","total","federal","state_local","consumption","projection"
"1999","Q4",-0.423918530313646,0,-0.0252162155098613,0.230723699250738,0.139537678379002,-0.395477593139601,0
"2000","Q1",-0.729666173912804,0,-1.89330631217801,-1.29467365163399,0.0219218858397271,-0.62055454638375,0
"2000","Q2",-0.600713873730076,0,-0.312650222574552,0.472344556802442,-0.512366645381553,-0.27262813399544,0
"2000","Q3",-0.8338615473245,0,-1.10427343903558,-0.790486539213985,-0.224439199692326,-0.0893477001292678,0
"2000","Q4",-0.881727994296415,0,-0.216682003397524,0.0593933256564977,-0.30050537676536,0.0244300477113383,0
"2001","Q1",-0.229449529342634,1,0.715807547637117,0.368635423147844,0.0836683450087233,0.26350377948055,0
"2001","Q2",0.116689211943842,1,1.07190474257135,0.225053045860291,0.4237868451007,0.423064851610359,0
"2001","Q3",0.612873539833286,1,0.880463872522197,-0.176037056803774,-0.493328163156535,1.54982909248251,0
"2001","Q4",1.1295877663107,1,1.85017490251213,0.115000175369018,0.541664591981538,1.19351013516157,0
"2002","Q1",1.50909572206846,0,2.23383937066817,1.0431954925532,-0.287529509328124,1.4781733874431,0
"2002","Q2",1.70533602273228,0,1.85686594522663,0.304197497712777,-0.245229038919661,1.79789748643351,0
"2002","Q3",1.83475280318351,0,1.3981309943271,-0.0796783828910135,-0.029512666155719,1.50732204337384,0
"2002","Q4",1.68907741542495,0,1.26747335147788,0.333727553968053,-0.245515887732716,1.17926168524255,0
"2003","Q1",1.32647275316157,0,0.78342072161468,0.0535110059171051,-0.474781683266369,1.20469139896394,0
"2003","Q2",1.19925835793153,0,1.34800836430645,1.61276955084516,-1.3820758272221,1.11731464068339,0
"2003","Q3",0.974126934781776,0,0.497605301728083,-0.707139883820234,0.374654052301163,0.830091133247154,0
"2003","Q4",0.823383134036547,0,0.664498148496966,0.534226096669432,-0.57195005802806,0.702222109855594,0
"2004","Q1",0.652713181618333,0,0.100740911941827,-0.404369289710055,0.233818698979709,0.271291502672173,0
"2004","Q2",0.283886101307467,0,-0.127299956937013,-0.272123366627466,-0.0449220307707551,0.189745440461208,0
"2004","Q3",0.0266720514085574,0,-0.531250897867556,0.31936629158265,-0.710930872434667,-0.139686317015538,0
"2004","Q4",-0.315499677126262,0,-0.704188765642313,-0.388392818507321,-0.19738306073445,-0.118412886400542,0
"2005","Q1",-0.495102883247877,0,-0.61767191254463,0.0080119038199106,-0.144502161779357,-0.481181654585183,0
"2005","Q2",-0.7166334815442,0,-1.01342235012231,-0.239740150229913,-0.306899724116878,-0.466782475775516,0
"2005","Q3",-0.767578321391224,0,-0.73503025725565,-0.132526735835533,-0.0995641272722222,-0.502939394147895,0
"2005","Q4",-0.804391135037697,0,-0.851440020228205,-0.231193611599273,-0.1758659965924,-0.444380412036532,0
"2006","Q1",-0.675204649289944,0,-0.100925969553619,0.65203912989842,-0.132618384759949,-0.62034671469209,0
"2006","Q2",-0.706049597578522,0,-1.13680214327662,-0.384454113422333,-0.0728451423983132,-0.679502887455975,0
"2006","Q3",-0.730001504406435,0,-0.830837884567301,-0.607109454669906,0.0838718997078753,-0.30760032960527,0
"2006","Q4",-0.538393835610695,0,-0.0850093450452433,0.0251063412537726,0.218156039556282,-0.328271725855298,0
"2007","Q1",-0.665397514762023,0,-0.60894068615893,-0.375466554024152,0.118670083307305,-0.352144215442084,0
"2007","Q2",-0.361951440458357,0,0.0769821539380401,0.642067958880365,-0.314046160981112,-0.251039643961213,0
"2007","Q3",-0.169810427800941,0,-0.0622738339376343,-0.0656238664245812,0.0455442438517126,-0.0421942113647657,0
"2007","Q4",-0.079333713775395,1,0.27689751105694,0.143190758601703,0.0990064767338239,0.0347002757214133,0
"2008","Q1",0.0514778649783167,1,-0.0856943711440831,0.34476985268988,-0.528388463047185,0.0979242392132217,0
