"","date","health_outlays","social_benefits","noncorporate_taxes","corporate_taxes","federal_nom","pi_federal","state_local_nom","pi_state_local","gdp","gdppoth","pi_gdp","pce","pi_pce","federal_cont","state_local_cont","health_outlays_xmpc","social_benefits_xmpc","noncorporate_taxes_xmpc","corporate_taxes_xmpc","transfers_net_taxes","taxes_transfers_cont","fim_bars","fim_bars_ma"
"123",2000-09-30,4.30192372208256,-9.0004635494796,-8.49836517358926,-22.4977387153311,754.176344300664,0.00716115349657076,1078.22365569934,0.0106170695669394,10319.8,0.0102229972493342,0.00608933595406014,6815.4,0.0061816269734396,-0.495482676955131,-0.522836420909462,0.537671177892283,-2.61485101106257,-1.82203105247865,1.52575132155904,-2.3734595640899,-0.0926436005772963,-1.11096269844189,-0.834629719715354
"124",2000-12-31,-0.556083582815916,-4.79468340847905,-18.6039452812365,-1.07434149150808,760.076344300664,0.0044985916263296,1101.22365569934,0.0124197389443221,10439,0.00988886464109018,0.00528634361233493,6912.1,0.00551908737492846,-0.1918905084032,-0.0408404857229946,0.49546123156554,-1.90496425566766,0.702132284347727,1.12744143771492,0.420070697960524,0.0162821255435386,-0.216448868582656,-0.875030129827387
"125",2001-03-31,10.3416994400456,14.6746039743521,21.9118309383894,-39.7686486996939,780.273866293077,0.00171514912268766,1125.12613370692,0.0117314277207086,10472.9,0.00934407483527666,0.00638900532205411,6986.9,0.00678176655511598,0.451831304747246,0.0265786392253656,4.3328146917299,1.32760424821791,-2.61907146127654,2.30026763948825,5.34161511815952,0.204679188357487,0.683089132330098,-0.235041442060604
"126",2001-06-30,15.6456357335999,0.710013254104979,-29.5623996805934,-8.59702055639627,792.566542483893,0.00524534916903341,1154.43345751611,0.00388475234703778,10597.8,0.00880633468205083,0.00666397415185793,7036.3,0.00468378177605988,0.0507410365573096,0.573986197809868,6.68996444540523,0.357630810862139,-0.554691716965053,2.3809524282181,8.87385596752041,0.33892640882737,0.963653643194547,0.0798328021250246
"127",2001-09-30,-11.5114540604046,7.41534923531026,-219.693425296312,-21.3022322567746,804.558132707512,0.00639405204460974,1148.14186729249,0.00265310310457045,10596.3,0.00836200885784688,0.00313440320962899,7064.7,0.000589009336424473,0.0111883618666688,-0.717424522497829,3.13195444434561,4.05118868743986,27.4774080756664,3.1928393419203,37.8533905493722,1.42872636016427,0.722490199533108,0.538196026618774
"128",2001-12-31,29.6186714589844,6.53802663002466,110.467182657351,-18.2692263311394,811.792362982528,0.00647431764453055,1180.20763701747,0.00203207461661026,10660.3,0.00796903205321664,0.00342457192850887,7174.7,0.000626236817715009,-0.165577954110192,0.776991230452021,9.92127432875069,6.60104844610319,13.4919973635049,3.55704943272226,33.5713695710811,1.2672864894758,1.87869976581763,1.06198318521885
"129",2002-03-31,-2.45708596977926,21.0905787089075,-166.981493501961,0.0651186753289892,847.818093437753,0.00645936207126652,1191.08190656225,0.00601091301683621,10789,0.00750914883184084,0.00272781625230434,7209.9,0.00186501777399495,0.926285375902908,-0.190696723431129,7.04154761154009,8.04464276137817,22.4379498958372,3.82896095804271,41.3531012267982,1.55166744751267,2.28725609998445,1.46302492713243
"130",2002-06-30,-4.66428866766825,12.7446564768406,-46.2692679784304,4.07778615148158,877.662111801242,0.00945447794839138,1195.83788819876,0.0090640136902862,10893.2,0.00713699933315315,0.00408680421847629,7302.1,0.00762109418922807,0.584946287045479,-0.539095443273217,2.47181462125477,10.7524374864937,34.2288386878065,3.49293820243865,50.9460289979936,1.88881375467582,1.93466459844808,1.70577766594582
"131",2002-09-30,5.09033860031053,-6.98027029565174,-17.0266693160174,6.23310900946097,895.488171752633,0.00857777135576088,1204.91182824737,0.007071099038503,10992.1,0.00689402696209274,0.00426811163895513,7390.9,0.00488524630816745,0.155952291939207,-0.280031092291433,6.20721796991567,7.51342309202724,25.7432474851955,3.28105104576959,42.744939592908,1.56960083695913,1.44552203660691,1.88653562521427
"132",2002-12-31,6.97756930962839,-4.9855085075983,-24.3939195937942,15.7056874408451,920.101836348906,0.0185334722584007,1221.89816365109,0.00833440367627136,11071.5,0.00672934956097282,0.00574054227182574,7467.7,0.00462705904127336,0.0724559082224438,-0.0423634810319529,1.11296998631057,4.92062768606208,24.7781250408708,2.79076279931422,33.6024855125577,1.22278674730243,1.25287917449292,1.73008047738309
"133",2003-03-31,-3.13056968204353,3.97081130293043,-33.9373591172275,18.1852236361586,936.045864672836,0.0111504673733744,1236.25413532716,0.0140259005024415,11183.5,0.00670954458251805,0.00494837279374827,7555.8,0.00704986489805948,-0.0176670360439079,-0.396716997542518,0.961436151051109,1.06868001971723,29.1437178322804,2.4207647738388,33.5945987768876,1.21373251237457,0.799348478788142,1.35810357208401
"134",2003-06-30,0.281397948820995,8.87297853256791,3.99211199794445,-4.83989399969076,993.304562337571,0.00710717673095163,1206.19543766243,0.00051642799318885,11312.9,0.00657659149937206,0.00292515265640447,7642.6,0.00025611630119271,1.58984443151423,-1.3887413544729,2.07421563976119,0.19755248225587,25.4272852360638,2.40273923790863,30.1017925959895,1.07665015767835,1.27775323471968,1.19387573115191
"135",2003-09-30,10.4058862857881,-4.22182566962033,-80.3931282057188,18.8472421717766,999.869740819369,0.00906613759935704,1221.33025918063,0.00659849615668984,11567.3,0.00655318751886913,0.00548081714000981,7802.6,0.00618179601292446,-0.316437639111779,-0.0257645459196993,3.27021386899365,0.818202523112936,19.8566135559377,1.02457320833837,24.9696031563827,0.882871877463167,0.540669692431689,0.967662645108109
"136",2003-12-31,-5.62733148306427,-3.53203150155957,62.6131091106913,20.3200541052706,1030.05671746671,0.00749138242138403,1221.84328253329,0.00771938577526443,11769.3,0.00653372710056344,0.00553554594019667,7891.5,0.00459271467002731,0.558944404473736,-0.584223965492764,0.434111190637802,1.14523484947165,19.2105981419725,0.311426688445747,21.1013708705277,0.729690450512312,0.704410889493284,0.830545573858199
"137",2004-03-31,16.9686739085114,1.4025623870175,-8.85869544909292,6.86674210223842,1031.33503506533,0.00851027037709517,1255.96496493467,0.0128037627384376,11920.2,0.0066344098329556,0.00754843982883791,8027.7,0.00829905549993359,-0.486743034356522,0.352485936132235,4.95644099851266,0.567378843391239,5.43116429340282,-1.24308633828533,9.71189779702139,0.330075630564992,0.195818532340705,0.67966308724634
